zeitstempel;Particles > 0.3um / 0.1L air;Particles > 0.5um / 0.1L air;Particles > 1.0um / 0.1L air;Particles > 2.5um / 0.1L air;Particles > 5.0um / 0.1L air;Particles > 10.0um / 0.1L air
2024-06-11 16:00:47.238847;648;201;34;18;0;0
2024-06-11 16:00:47.255542;648;201;34;18;0;0
2024-06-11 16:00:47.758784;702;221;28;16;0;0
2024-06-11 16:00:48.769796;702;221;28;16;0;0
2024-06-11 16:00:49.276524;702;221;28;16;0;0
2024-06-11 16:00:49.781595;696;221;30;14;0;0
2024-06-11 16:00:50.282518;696;221;30;14;0;0
2024-06-11 16:00:50.788571;696;221;30;14;0;0
2024-06-11 16:00:51.794932;675;214;26;12;0;0
2024-06-11 16:00:52.805358;675;214;24;12;2;0
2024-06-11 16:00:53.310490;675;214;24;12;2;0
2024-06-11 16:00:53.815526;675;214;24;12;2;0
2024-06-11 16:00:54.846950;681;209;22;10;2;0
2024-06-11 16:00:55.352566;681;209;22;10;2;0
2024-06-11 16:00:55.858076;681;209;22;10;2;0
2024-06-11 16:00:56.366952;660;203;20;8;2;0
2024-06-11 16:00:56.871601;660;203;20;8;2;0
2024-06-11 16:00:57.905876;660;196;16;6;2;0
2024-06-11 16:00:58.407845;660;196;16;6;2;0
2024-06-11 16:00:58.913343;660;196;16;6;2;0
2024-06-11 16:00:59.946370;627;185;10;4;2;0
2024-06-11 16:01:00.457974;627;185;10;4;2;0
2024-06-11 16:01:00.962944;627;185;10;4;2;0
2024-06-11 16:01:01.468568;633;185;10;2;2;0
2024-06-11 16:01:01.974057;633;185;10;2;2;0
2024-06-11 16:01:02.995547;633;185;10;2;2;0
2024-06-11 16:01:03.518515;627;185;14;2;2;0
2024-06-11 16:01:04.028209;627;185;14;2;2;0
2024-06-11 16:01:04.539213;519;151;16;2;2;0
2024-06-11 16:01:05.044516;519;151;16;2;2;0
2024-06-11 16:01:06.050166;519;151;16;2;2;0
2024-06-11 16:01:06.552076;525;153;12;2;2;0
2024-06-11 16:01:07.057844;525;153;12;2;2;0
2024-06-11 16:01:07.563384;525;153;12;2;2;0
2024-06-11 16:01:08.068287;534;151;14;2;2;0
2024-06-11 16:01:08.576231;534;151;14;2;2;0
2024-06-11 16:01:09.082565;534;151;14;2;2;0
2024-06-11 16:01:09.587045;567;160;20;0;0;0
2024-06-11 16:01:10.093747;567;160;20;0;0;0
2024-06-11 16:01:10.599698;567;160;20;0;0;0
2024-06-11 16:01:11.604178;534;156;22;0;0;0
2024-06-11 16:01:12.109239;534;156;22;0;0;0
2024-06-11 16:01:12.612554;534;156;22;0;0;0
2024-06-11 16:01:13.617823;528;153;22;0;0;0
2024-06-11 16:01:14.121898;528;153;22;0;0;0
2024-06-11 16:01:14.623578;528;158;22;0;0;0
2024-06-11 16:01:15.128448;528;158;22;0;0;0
2024-06-11 16:01:16.135426;528;158;22;0;0;0
2024-06-11 16:01:16.644858;549;165;24;2;0;0
2024-06-11 16:01:17.150376;549;165;24;2;0;0
2024-06-11 16:01:17.656176;549;165;24;2;0;0
2024-06-11 16:01:18.161592;576;178;20;2;0;0
2024-06-11 16:01:18.662715;576;178;20;2;0;0
