zeitstempel;Particles > 0.3um / 0.1L air;Particles > 0.5um / 0.1L air;Particles > 1.0um / 0.1L air;Particles > 2.5um / 0.1L air;Particles > 5.0um / 0.1L air;Particles > 10.0um / 0.1L air
2024-06-11 09:29:15.580411;744;231;20;2;2;2
2024-06-11 09:29:16.086172;744;231;20;2;2;2
2024-06-11 09:29:16.601439;744;231;20;2;2;2
2024-06-11 09:29:16.619428;771;244;18;2;2;2
2024-06-11 09:29:17.626905;771;244;18;2;2;2
2024-06-11 09:29:18.629194;738;231;20;2;2;2
2024-06-11 09:29:19.137466;738;231;20;2;2;2
2024-06-11 09:29:19.645718;738;231;20;2;2;2
2024-06-11 09:29:20.661136;720;225;18;4;2;2
2024-06-11 09:29:21.168903;720;225;18;4;2;2
2024-06-11 09:29:21.677044;720;225;18;4;2;2
2024-06-11 09:29:22.183747;693;216;22;8;6;6
2024-06-11 09:29:22.712108;693;216;22;8;6;6
2024-06-11 09:29:23.720472;738;232;28;8;6;6
2024-06-11 09:29:24.233780;738;232;28;8;6;6
2024-06-11 09:29:24.740986;738;232;28;8;6;6
2024-06-11 09:29:25.748733;732;230;28;10;8;6
2024-06-11 09:29:26.277325;732;230;28;10;8;6
2024-06-11 09:29:26.786016;732;230;28;10;8;6
2024-06-11 09:29:27.294109;759;241;32;10;8;6
2024-06-11 09:29:27.830425;759;241;32;10;8;6
2024-06-11 09:29:28.845196;726;227;32;10;8;6
2024-06-11 09:29:29.354566;726;227;32;10;8;6
2024-06-11 09:29:29.864242;726;227;32;10;8;6
2024-06-11 09:29:30.866757;645;200;30;10;8;6
2024-06-11 09:29:31.375033;645;200;30;10;8;6
2024-06-11 09:29:31.882235;645;200;30;10;8;6
2024-06-11 09:29:32.396436;621;193;28;10;8;6
2024-06-11 09:29:32.904679;621;193;28;10;8;6
2024-06-11 09:29:33.914341;615;189;28;10;8;6
2024-06-11 09:29:34.416102;615;189;28;10;8;6
2024-06-11 09:29:34.924021;615;189;28;10;8;6
2024-06-11 09:29:35.431692;615;189;28;10;8;6
2024-06-11 09:29:35.940196;615;191;24;10;8;6
2024-06-11 09:29:36.956301;615;191;24;10;8;6
2024-06-11 09:29:37.490775;654;200;31;8;6;4
2024-06-11 09:29:38.000675;654;200;31;8;6;4
2024-06-11 09:29:38.522858;654;200;31;8;6;4
2024-06-11 09:29:39.030292;654;193;25;4;2;0
2024-06-11 09:29:40.039896;654;193;25;4;2;0
2024-06-11 09:29:40.548461;654;193;25;4;2;0
2024-06-11 09:29:41.059796;582;166;19;4;2;0
2024-06-11 09:29:41.568987;582;166;19;4;2;0
2024-06-11 09:29:42.077412;582;166;19;4;2;0
2024-06-11 09:29:42.579082;615;177;19;4;2;2
2024-06-11 09:29:43.087228;615;177;19;4;2;2
2024-06-11 09:29:44.096338;603;173;15;4;2;2
2024-06-11 09:29:44.610775;603;173;15;4;2;2
2024-06-11 09:29:45.118095;603;173;15;4;2;2
2024-06-11 09:29:46.126806;582;171;17;4;2;2
2024-06-11 09:29:46.635089;582;171;17;4;2;2
2024-06-11 09:29:47.144215;597;173;17;4;2;2
2024-06-11 09:29:48.152807;597;173;17;4;2;2
2024-06-11 09:29:48.655150;597;173;17;4;2;2
2024-06-11 09:29:49.162978;588;171;17;4;2;2
2024-06-11 09:29:50.171433;588;171;17;4;2;2
2024-06-11 09:29:50.686439;528;153;17;4;2;2
2024-06-11 09:29:51.194823;528;153;17;4;2;2
2024-06-11 09:29:51.711130;528;153;17;4;2;2
2024-06-11 09:29:52.227244;522;151;17;4;2;2
2024-06-11 09:29:53.236164;522;151;17;4;2;2
2024-06-11 09:29:53.745277;522;151;17;4;2;2
2024-06-11 09:29:54.252534;462;135;6;2;2;2
2024-06-11 09:29:54.760231;462;135;6;2;2;2
2024-06-11 09:29:55.768192;462;142;8;2;2;2
2024-06-11 09:29:56.282675;462;142;8;2;2;2
2024-06-11 09:29:56.790995;462;142;8;2;2;2
2024-06-11 09:29:57.298364;489;153;8;2;2;2
2024-06-11 09:29:58.301276;489;153;8;2;2;2
2024-06-11 09:29:58.816010;489;153;8;2;2;2
2024-06-11 09:29:59.323193;489;155;6;0;0;0
2024-06-11 09:29:59.832596;489;155;6;0;0;0
2024-06-11 09:30:00.341138;489;155;6;0;0;0
2024-06-11 09:30:00.850633;456;141;6;0;0;0
2024-06-11 09:30:01.866696;456;141;6;0;0;0
2024-06-11 09:30:02.380713;456;141;6;0;0;0
2024-06-11 09:30:02.889765;462;143;10;0;0;0
2024-06-11 09:30:03.397119;462;143;10;0;0;0
2024-06-11 09:30:03.905080;462;143;10;0;0;0
2024-06-11 09:30:04.923182;489;152;10;0;0;0
2024-06-11 09:30:05.435883;489;152;10;0;0;0
2024-06-11 09:30:05.941604;510;161;10;0;0;0
2024-06-11 09:30:06.455955;510;161;10;0;0;0
2024-06-11 09:30:06.963257;510;161;10;0;0;0
2024-06-11 09:30:07.971765;531;165;10;0;0;0
2024-06-11 09:30:08.474076;531;165;10;0;0;0
2024-06-11 09:30:08.981480;531;165;10;0;0;0
2024-06-11 09:30:09.488720;582;176;10;0;0;0
2024-06-11 09:30:09.997477;582;176;10;0;0;0
2024-06-11 09:30:11.013471;582;176;10;0;0;0
2024-06-11 09:30:11.522023;603;183;16;2;2;2
2024-06-11 09:30:12.029320;603;183;16;2;2;2
2024-06-11 09:30:12.531320;603;183;16;2;2;2
2024-06-11 09:30:13.039630;636;194;16;2;2;2
2024-06-11 09:30:14.048349;636;194;16;2;2;2
2024-06-11 09:30:14.562328;669;208;16;2;2;2
2024-06-11 09:30:15.071120;669;208;16;2;2;2
2024-06-11 09:30:15.579410;669;208;16;2;2;2
2024-06-11 09:30:16.088023;717;222;14;2;2;2
2024-06-11 09:30:17.090810;717;222;14;2;2;2
2024-06-11 09:30:17.599270;717;222;14;2;2;2
2024-06-11 09:30:18.109016;750;234;14;2;2;2
2024-06-11 09:30:18.616975;750;234;14;2;2;2
2024-06-11 09:30:19.125077;750;234;14;2;2;2
2024-06-11 09:30:19.633451;759;232;8;2;2;2
2024-06-11 09:30:20.142053;759;232;8;2;2;2
2024-06-11 09:30:21.156864;759;232;8;2;2;2
2024-06-11 09:30:21.664960;765;230;8;2;2;2
2024-06-11 09:30:22.173206;765;230;8;2;2;2
2024-06-11 09:30:22.681712;717;214;8;2;2;2
2024-06-11 09:30:23.189147;717;214;8;2;2;2
2024-06-11 09:30:24.197865;717;214;8;2;2;2
2024-06-11 09:30:24.706081;762;230;16;6;6;6
2024-06-11 09:30:25.217110;762;230;16;6;6;6
2024-06-11 09:30:25.725861;762;230;16;6;6;6
2024-06-11 09:30:26.242554;711;219;16;6;6;6
2024-06-11 09:30:26.751388;711;219;16;6;6;6
2024-06-11 09:30:27.760448;711;219;16;6;6;6
2024-06-11 09:30:28.262093;657;201;10;4;4;4
2024-06-11 09:30:28.779629;657;201;10;4;4;4
2024-06-11 09:30:29.290729;657;201;10;4;4;4
2024-06-11 09:30:29.802031;597;179;8;4;4;4
2024-06-11 09:30:30.316320;597;179;8;4;4;4
2024-06-11 09:30:31.324515;597;179;8;4;4;4
2024-06-11 09:30:31.832241;537;159;8;4;4;4
2024-06-11 09:30:32.344120;537;159;8;4;4;4
2024-06-11 09:30:32.847056;462;134;8;4;4;4
2024-06-11 09:30:33.354469;462;134;8;4;4;4
