zeitstempel;Latitude;Longitude;Altitude [m];Geschwindigkeit [Km/h];Horizontale Abnahme der Genauigkeit;Number of Satellites
2024-06-11 09:29:31.882235;49.787266;9.978615;388.20;0.00;120;8
2024-06-11 09:29:32.391435;49.787266;9.978615;388.20;0.00;120;8
2024-06-11 09:29:32.899691;49.787266;9.978615;388.20;0.00;120;8
2024-06-11 09:29:33.908341;49.787289;9.978613;388.50;0.00;120;8
2024-06-11 09:29:34.416102;49.787289;9.978613;388.50;0.00;120;8
2024-06-11 09:29:34.924021;49.787289;9.978613;388.50;0.00;120;8
2024-06-11 09:29:35.431692;49.787289;9.978613;388.50;0.00;120;8
2024-06-11 09:29:35.940196;49.787289;9.978613;388.50;0.00;120;8
2024-06-11 09:29:36.950306;49.787327;9.978605;390.20;0.00;120;8
2024-06-11 09:29:37.458662;49.787327;9.978605;390.20;0.00;120;8
2024-06-11 09:29:37.994674;49.787327;9.978605;390.20;0.00;120;8
2024-06-11 09:29:38.504232;49.787327;9.978605;390.20;0.00;120;8
2024-06-11 09:29:39.025313;49.787327;9.978605;390.20;0.00;120;8
2024-06-11 09:29:40.034374;49.787346;9.978573;390.70;0.00;120;8
2024-06-11 09:29:40.542461;49.787346;9.978573;390.70;0.00;120;8
2024-06-11 09:29:41.052796;49.787346;9.978573;390.70;0.00;120;8
2024-06-11 09:29:41.562968;49.787346;9.978573;390.70;0.00;120;8
2024-06-11 09:29:42.071416;49.787346;9.978573;390.70;0.00;120;8
2024-06-11 09:29:42.579082;49.787334;9.978579;388.30;0.00;120;8
2024-06-11 09:29:43.087228;49.787334;9.978579;388.30;0.00;120;8
2024-06-11 09:29:44.096338;49.787334;9.978579;388.30;0.00;120;8
2024-06-11 09:29:44.605794;49.787323;9.978582;387.20;0.00;120;8
2024-06-11 09:29:45.114092;49.787323;9.978582;387.20;0.00;120;8
2024-06-11 09:29:46.121808;49.787323;9.978582;387.20;0.00;120;8
2024-06-11 09:29:46.630092;49.787323;9.978589;386.50;0.00;110;10
2024-06-11 09:29:47.138221;49.787323;9.978589;386.50;0.00;110;10
2024-06-11 09:29:48.147827;49.787323;9.978589;386.50;0.00;110;10
2024-06-11 09:29:48.655150;49.787319;9.978595;386.10;0.00;110;10
2024-06-11 09:29:49.162978;49.787319;9.978595;386.10;0.00;110;10
2024-06-11 09:29:50.171433;49.787319;9.978595;386.10;0.00;110;10
2024-06-11 09:29:50.680439;49.787319;9.978592;386.10;0.00;100;11
2024-06-11 09:29:51.188826;49.787319;9.978592;386.10;0.00;100;11
2024-06-11 09:29:51.698866;49.787319;9.978592;386.10;0.00;100;11
2024-06-11 09:29:52.214714;49.787319;9.978592;386.10;0.00;100;11
2024-06-11 09:29:53.231182;49.787319;9.978592;386.10;0.00;100;11
2024-06-11 09:29:53.739282;49.787319;9.978587;386.10;0.00;100;11
2024-06-11 09:29:54.246530;49.787319;9.978587;386.10;0.00;100;11
2024-06-11 09:29:54.760231;49.787319;9.978587;386.10;0.00;100;11
2024-06-11 09:29:55.768192;49.787315;9.978581;385.80;0.00;100;11
2024-06-11 09:29:56.277692;49.787315;9.978581;385.80;0.00;100;11
2024-06-11 09:29:56.785994;49.787315;9.978581;385.80;0.00;100;11
2024-06-11 09:29:57.293356;49.787315;9.978581;385.80;0.00;100;11
2024-06-11 09:29:58.301276;49.787315;9.978581;385.80;0.00;100;11
2024-06-11 09:29:58.816010;49.787308;9.978581;385.10;0.00;100;11
2024-06-11 09:29:59.323193;49.787308;9.978581;385.10;0.00;100;11
2024-06-11 09:29:59.832596;49.787308;9.978581;385.10;0.00;100;11
2024-06-11 09:30:00.341138;49.787308;9.978581;385.10;0.00;100;11
2024-06-11 09:30:00.850633;49.787308;9.978581;385.10;0.00;100;11
2024-06-11 09:30:01.866696;49.787308;9.978584;384.40;0.00;90;12
2024-06-11 09:30:02.375728;49.787308;9.978584;384.40;0.00;90;12
2024-06-11 09:30:02.883766;49.787308;9.978584;384.40;0.00;90;12
2024-06-11 09:30:03.392120;49.787308;9.978584;384.40;0.00;90;12
2024-06-11 09:30:03.900083;49.787308;9.978584;384.40;0.00;90;12
2024-06-11 09:30:04.909316;49.787308;9.978589;383.80;0.00;90;12
2024-06-11 09:30:05.433378;49.787308;9.978589;383.80;0.00;90;12
2024-06-11 09:30:05.941604;49.787308;9.978589;383.80;0.00;90;12
2024-06-11 09:30:06.449956;49.787308;9.978589;383.80;0.00;90;12
2024-06-11 09:30:06.958274;49.787308;9.978589;383.80;0.00;90;12
2024-06-11 09:30:07.966784;49.787308;9.978597;383.10;0.00;90;12
2024-06-11 09:30:08.474076;49.787308;9.978597;383.10;0.00;90;12
2024-06-11 09:30:08.981480;49.787308;9.978597;383.10;0.00;90;12
2024-06-11 09:30:09.488720;49.787308;9.978597;383.10;0.00;90;12
2024-06-11 09:30:09.997477;49.787308;9.978597;383.10;0.00;90;12
2024-06-11 09:30:11.006880;49.787308;9.978601;382.50;0.00;90;12
2024-06-11 09:30:11.516022;49.787308;9.978601;382.50;0.00;90;12
2024-06-11 09:30:12.024318;49.787308;9.978601;382.50;0.00;90;12
2024-06-11 09:30:12.531320;49.787308;9.978601;382.50;0.00;90;12
2024-06-11 09:30:13.039630;49.787308;9.978601;382.50;0.00;90;12
2024-06-11 09:30:14.048349;49.787304;9.978604;382.00;0.00;90;12
2024-06-11 09:30:14.557327;49.787304;9.978604;382.00;0.00;90;12
2024-06-11 09:30:15.066112;49.787304;9.978604;382.00;0.00;90;12
