zeitstempel;Latitude;Longitude;Altitude [m];Geschwindigkeit [Km/h];Horizontale Abnahme der Genauigkeit;Number of Satellites
2024-06-12 19:44:24.108687;49.785954;9.978526;242.20;0.00;910;5
2024-06-12 19:44:24.614127;49.785954;9.978526;242.20;0.00;910;5
2024-06-12 19:44:25.119806;49.785954;9.978526;242.20;0.00;910;5
2024-06-12 19:44:25.625767;49.785954;9.978526;242.20;0.00;910;5
2024-06-12 19:44:26.130872;49.785954;9.978526;242.20;0.00;910;5
2024-06-12 19:44:26.636240;49.785954;9.978526;242.20;0.00;910;5
2024-06-12 19:44:27.141969;49.785954;9.978526;242.20;0.00;910;5
2024-06-12 19:44:27.647582;49.785992;9.978446;245.00;0.00;170;6
2024-06-12 19:44:28.670085;49.785992;9.978446;245.00;0.00;170;6
2024-06-12 19:44:29.175360;49.785992;9.978446;245.00;0.00;170;6
2024-06-12 19:44:29.680575;49.785992;9.978446;245.00;0.00;170;6
2024-06-12 19:44:30.185526;49.785992;9.978446;245.00;0.00;170;6
2024-06-12 19:44:30.690356;49.786125;9.978361;251.50;0.00;180;6
2024-06-12 19:44:31.195836;49.786125;9.978361;251.50;0.00;180;6
2024-06-12 19:44:32.205255;49.786125;9.978361;251.50;0.00;180;6
2024-06-12 19:44:32.710939;49.786125;9.978361;251.50;0.00;180;6
2024-06-12 19:44:33.215888;49.786125;9.978361;251.50;0.00;180;6
2024-06-12 19:44:33.720589;49.786209;9.978436;253.10;0.00;180;6
2024-06-12 19:44:34.225784;49.786209;9.978436;253.10;0.00;180;6
2024-06-12 19:44:35.230945;49.786209;9.978436;253.10;0.00;180;6
2024-06-12 19:44:35.735791;49.786247;9.978455;255.10;0.00;180;6
2024-06-12 19:44:36.241114;49.786247;9.978455;255.10;0.00;180;6
2024-06-12 19:44:37.247717;49.786247;9.978455;255.10;0.00;180;6
2024-06-12 19:44:37.752881;49.786247;9.978455;255.10;0.00;180;6
2024-06-12 19:44:38.257608;49.786247;9.978455;255.10;0.00;180;6
2024-06-12 19:44:38.762987;49.786304;9.978474;258.70;0.00;180;6
2024-06-12 19:44:39.268286;49.786304;9.978474;258.70;0.00;180;6
2024-06-12 19:44:39.779635;49.786304;9.978474;258.70;0.00;180;6
2024-06-12 19:44:40.805902;49.786327;9.978483;261.10;0.00;180;6
2024-06-12 19:44:41.311106;49.786327;9.978483;261.10;0.00;180;6
2024-06-12 19:44:41.816431;49.786327;9.978483;261.10;0.00;180;6
2024-06-12 19:44:42.321258;49.786327;9.978483;261.10;0.00;180;6
2024-06-12 19:44:43.329284;49.786327;9.978483;261.10;0.00;180;6
