zeitstempel;temperature
2024-06-12 19:38:23.021900;22.40
2024-06-12 19:38:23.529708;22.40
2024-06-12 19:38:24.037825;22.40
2024-06-12 19:38:24.545475;22.40
2024-06-12 19:38:25.050605;22.40
2024-06-12 19:38:26.058388;22.40
2024-06-12 19:38:26.565811;22.40
2024-06-12 19:38:27.075955;22.40
2024-06-12 19:38:28.083631;22.40
2024-06-12 19:38:28.591776;22.40
2024-06-12 19:38:29.122701;22.40
2024-06-12 19:38:29.629797;22.40
2024-06-12 19:38:30.136815;22.40
2024-06-12 19:38:30.643700;22.40
2024-06-12 19:38:31.155054;22.40
2024-06-12 19:38:32.163896;22.40
2024-06-12 19:38:32.671491;22.40
2024-06-12 19:38:33.202869;22.40
2024-06-12 19:38:33.708822;22.40
2024-06-12 19:38:34.240196;22.40
2024-06-12 19:38:34.766399;22.40
2024-06-12 19:38:35.799842;22.40
2024-06-12 19:38:36.307679;22.40
2024-06-12 19:38:36.812215;22.40
2024-06-12 19:38:37.820526;22.40
2024-06-12 19:38:38.330123;22.40
2024-06-12 19:38:38.838020;22.40
2024-06-12 19:38:39.345932;22.40
2024-06-12 19:38:39.855526;22.40
2024-06-12 19:38:40.863786;22.40
2024-06-12 19:38:41.371395;22.40
2024-06-12 19:38:41.878092;22.50
2024-06-12 19:38:42.887066;22.50
2024-06-12 19:38:43.395208;22.50
2024-06-12 19:38:43.902049;22.50
2024-06-12 19:38:44.411041;22.40
2024-06-12 19:38:44.918787;22.40
2024-06-12 19:38:45.926513;22.40
2024-06-12 19:38:46.434850;22.40
2024-06-12 19:38:46.940170;22.50
2024-06-12 19:38:47.947572;22.50
2024-06-12 19:38:48.455380;22.50
2024-06-12 19:38:48.964862;22.50
2024-06-12 19:38:49.471819;22.50
2024-06-12 19:38:49.980847;22.50
2024-06-12 19:38:50.989099;22.50
2024-06-12 19:38:51.494692;22.50
2024-06-12 19:38:52.001512;22.50
2024-06-12 19:38:53.011955;22.50
2024-06-12 19:38:53.519639;22.50
2024-06-12 19:38:54.026885;22.50
2024-06-12 19:38:54.533167;22.50
2024-06-12 19:38:55.040537;22.50
2024-06-12 19:38:56.048114;22.50
2024-06-12 19:38:56.554168;22.50
2024-06-12 19:38:57.062436;22.50
2024-06-12 19:38:58.067311;22.50
2024-06-12 19:38:58.574387;22.50
2024-06-12 19:38:59.081750;22.50
2024-06-12 19:38:59.589928;22.50
2024-06-12 19:39:00.098071;22.50
2024-06-12 19:39:00.606250;22.50
2024-06-12 19:39:01.108464;22.50
2024-06-12 19:39:02.142618;22.50
2024-06-12 19:39:02.650579;22.50
2024-06-12 19:39:03.160396;22.50
2024-06-12 19:39:04.167734;22.50
2024-06-12 19:39:04.675827;22.50
2024-06-12 19:39:05.182120;22.50
2024-06-12 19:39:05.690060;22.50
2024-06-12 19:39:06.197538;22.50
2024-06-12 19:39:07.205609;22.50
2024-06-12 19:39:07.713122;22.50
2024-06-12 19:39:08.220370;22.50
2024-06-12 19:39:08.723469;22.50
2024-06-12 19:39:09.745118;22.50
2024-06-12 19:39:10.253451;22.50
2024-06-12 19:39:10.764639;22.50
2024-06-12 19:39:11.272227;22.50
2024-06-12 19:39:11.780523;22.50
2024-06-12 19:39:12.788361;22.50
2024-06-12 19:39:13.296739;22.50
2024-06-12 19:39:13.804392;22.50
2024-06-12 19:39:14.813232;22.50
2024-06-12 19:39:15.321599;22.50
2024-06-12 19:39:15.829300;22.50
2024-06-12 19:39:16.336816;22.50
2024-06-12 19:39:16.841543;22.50
2024-06-12 19:39:17.349526;22.50
2024-06-12 19:39:17.857714;22.50
2024-06-12 19:39:18.868418;22.50
2024-06-12 19:39:19.877662;22.50
2024-06-12 19:39:20.384785;22.50
2024-06-12 19:39:20.890546;22.50
2024-06-12 19:39:21.898998;22.50
2024-06-12 19:39:22.409343;22.50
2024-06-12 19:39:22.918533;22.50
2024-06-12 19:39:23.426709;22.50
2024-06-12 19:39:23.934469;22.50
2024-06-12 19:39:24.940144;22.50
2024-06-12 19:39:25.448137;22.50
2024-06-12 19:39:25.955943;22.50
2024-06-12 19:39:26.967109;22.50
2024-06-12 19:39:27.474747;22.50
2024-06-12 19:39:27.984077;22.50
2024-06-12 19:39:28.491409;22.50
2024-06-12 19:39:28.997116;22.50
2024-06-12 19:39:30.005529;22.50
2024-06-12 19:39:30.513678;22.50
2024-06-12 19:39:31.022592;22.50
2024-06-12 19:39:32.029458;22.50
2024-06-12 19:39:32.537814;22.50
2024-06-12 19:39:33.046165;22.50
2024-06-12 19:39:33.553722;22.50
2024-06-12 19:39:34.062321;22.50
2024-06-12 19:39:35.067858;22.50
2024-06-12 19:39:35.576186;22.50
2024-06-12 19:39:36.084385;22.50
2024-06-12 19:39:37.093806;22.50
2024-06-12 19:39:37.602029;22.50
2024-06-12 19:39:38.110348;22.50
2024-06-12 19:39:38.617459;22.50
2024-06-12 19:39:39.122433;22.50
2024-06-12 19:39:39.630216;22.50
2024-06-12 19:39:40.137216;22.50
2024-06-12 19:39:41.149085;22.50
2024-06-12 19:39:41.657421;22.50
2024-06-12 19:39:42.165021;22.50
2024-06-12 19:39:43.169829;22.50
2024-06-12 19:39:43.677302;22.50
2024-06-12 19:39:44.185023;22.50
2024-06-12 19:39:44.692770;22.50
