zeitstempel;Particles > 0.3um / 0.1L air;Particles > 0.5um / 0.1L air;Particles > 1.0um / 0.1L air;Particles > 2.5um / 0.1L air;Particles > 5.0um / 0.1L air;Particles > 10.0um / 0.1L air
2024-06-12 19:38:23.023888;312;84;2;0;0;0
2024-06-12 19:38:23.531710;312;84;2;0;0;0
2024-06-12 19:38:24.039825;312;84;2;0;0;0
2024-06-12 19:38:24.547483;342;94;2;0;0;0
2024-06-12 19:38:25.050605;342;94;2;0;0;0
2024-06-12 19:38:26.058388;342;94;2;0;0;0
2024-06-12 19:38:26.565811;312;87;0;0;0;0
2024-06-12 19:38:27.078956;312;87;0;0;0;0
2024-06-12 19:38:28.086632;327;92;0;0;0;0
2024-06-12 19:38:28.619585;327;92;0;0;0;0
2024-06-12 19:38:29.122701;327;92;0;0;0;0
2024-06-12 19:38:29.629797;336;95;0;0;0;0
2024-06-12 19:38:30.136815;336;95;0;0;0;0
2024-06-12 19:38:30.643700;336;95;0;0;0;0
2024-06-12 19:38:31.157055;351;100;0;0;0;0
2024-06-12 19:38:32.165902;351;100;0;0;0;0
2024-06-12 19:38:32.673490;336;98;0;0;0;0
2024-06-12 19:38:33.202869;336;98;0;0;0;0
2024-06-12 19:38:33.730117;336;98;0;0;0;0
2024-06-12 19:38:34.240196;291;86;0;0;0;0
2024-06-12 19:38:34.794417;291;86;0;0;0;0
2024-06-12 19:38:35.801830;291;86;0;0;0;0
2024-06-12 19:38:36.309679;267;76;0;0;0;0
2024-06-12 19:38:36.812215;267;76;0;0;0;0
2024-06-12 19:38:37.820526;237;71;0;0;0;0
2024-06-12 19:38:38.330123;237;71;0;0;0;0
2024-06-12 19:38:38.841041;237;71;0;0;0;0
2024-06-12 19:38:39.348933;276;84;0;0;0;0
2024-06-12 19:38:39.857514;276;84;0;0;0;0
2024-06-12 19:38:40.865777;276;84;0;0;0;0
2024-06-12 19:38:41.373390;231;71;0;0;0;0
2024-06-12 19:38:41.881092;231;71;0;0;0;0
2024-06-12 19:38:42.889068;261;81;2;0;0;0
2024-06-12 19:38:43.397213;261;81;2;0;0;0
2024-06-12 19:38:43.905061;261;81;2;0;0;0
2024-06-12 19:38:44.413041;246;76;2;0;0;0
2024-06-12 19:38:44.920798;246;76;2;0;0;0
2024-06-12 19:38:45.929505;246;76;2;0;0;0
2024-06-12 19:38:46.437841;231;71;2;0;0;0
2024-06-12 19:38:46.943675;231;71;2;0;0;0
2024-06-12 19:38:47.947572;231;69;2;0;0;0
2024-06-12 19:38:48.455380;231;69;2;0;0;0
2024-06-12 19:38:48.967852;231;69;2;0;0;0
2024-06-12 19:38:49.474812;231;69;2;0;0;0
2024-06-12 19:38:49.982846;291;84;2;0;0;0
2024-06-12 19:38:50.991184;291;84;2;0;0;0
2024-06-12 19:38:51.494692;291;84;2;0;0;0
2024-06-12 19:38:52.001512;291;84;2;0;0;0
2024-06-12 19:38:53.013945;291;84;2;0;0;0
2024-06-12 19:38:53.521639;321;96;2;0;0;0
2024-06-12 19:38:54.028884;321;96;2;0;0;0
2024-06-12 19:38:54.535158;321;96;2;0;0;0
2024-06-12 19:38:55.043083;375;109;2;0;0;0
2024-06-12 19:38:56.050636;375;109;2;0;0;0
2024-06-12 19:38:56.558191;345;99;2;0;0;0
2024-06-12 19:38:57.063436;345;99;2;0;0;0
2024-06-12 19:38:58.070312;345;99;2;0;0;0
2024-06-12 19:38:58.576387;375;107;2;0;0;0
2024-06-12 19:38:59.083739;375;107;2;0;0;0
2024-06-12 19:38:59.591929;375;107;2;0;0;0
2024-06-12 19:39:00.100074;345;97;0;0;0;0
2024-06-12 19:39:01.108464;345;97;0;0;0;0
2024-06-12 19:39:01.131376;366;104;0;0;0;0
2024-06-12 19:39:02.142618;366;104;0;0;0;0
2024-06-12 19:39:02.650579;366;104;0;0;0;0
2024-06-12 19:39:03.162394;381;109;2;0;0;0
2024-06-12 19:39:04.169747;381;109;2;0;0;0
2024-06-12 19:39:04.677825;381;109;2;0;0;0
2024-06-12 19:39:05.185109;390;109;2;0;0;0
2024-06-12 19:39:05.692060;390;109;2;0;0;0
2024-06-12 19:39:06.199538;390;109;2;0;0;0
2024-06-12 19:39:07.207609;315;89;2;0;0;0
2024-06-12 19:39:07.715123;315;89;2;0;0;0
2024-06-12 19:39:08.221370;324;91;4;0;0;0
2024-06-12 19:39:08.723469;324;91;4;0;0;0
2024-06-12 19:39:09.745118;303;81;4;0;0;0
2024-06-12 19:39:10.253451;303;81;4;0;0;0
2024-06-12 19:39:10.766640;303;81;4;0;0;0
2024-06-12 19:39:11.274231;303;81;4;0;0;0
2024-06-12 19:39:11.782523;303;81;4;0;0;0
2024-06-12 19:39:12.793378;303;81;4;0;0;0
2024-06-12 19:39:13.296739;333;88;6;0;0;0
2024-06-12 19:39:13.804392;333;88;6;0;0;0
2024-06-12 19:39:14.816219;333;88;6;0;0;0
2024-06-12 19:39:15.324599;312;83;6;0;0;0
2024-06-12 19:39:15.831301;312;83;6;0;0;0
2024-06-12 19:39:16.338807;312;83;6;0;0;0
2024-06-12 19:39:16.841543;333;90;6;0;0;0
2024-06-12 19:39:17.349526;333;90;6;0;0;0
2024-06-12 19:39:17.857714;333;90;6;0;0;0
2024-06-12 19:39:18.871418;378;98;8;0;0;0
2024-06-12 19:39:19.879649;378;98;8;0;0;0
2024-06-12 19:39:20.387773;369;95;6;0;0;0
2024-06-12 19:39:20.890546;369;95;6;0;0;0
2024-06-12 19:39:21.898998;429;117;6;0;0;0
2024-06-12 19:39:22.409343;429;117;6;0;0;0
2024-06-12 19:39:22.920533;429;117;6;0;0;0
2024-06-12 19:39:23.428708;459;124;6;0;0;0
2024-06-12 19:39:23.936470;459;124;6;0;0;0
2024-06-12 19:39:24.940144;459;124;6;0;0;0
2024-06-12 19:39:25.448137;474;132;4;0;0;0
2024-06-12 19:39:25.955943;474;132;4;0;0;0
2024-06-12 19:39:26.969123;510;140;4;0;0;0
2024-06-12 19:39:27.477742;510;140;4;0;0;0
2024-06-12 19:39:27.986074;510;140;4;0;0;0
2024-06-12 19:39:28.494396;471;132;4;0;0;0
2024-06-12 19:39:28.997116;471;132;4;0;0;0
2024-06-12 19:39:30.005529;471;132;4;0;0;0
2024-06-12 19:39:30.513678;591;167;6;0;0;0
