zeitstempel;Particles > 0.3um / 0.1L air;Particles > 0.5um / 0.1L air;Particles > 1.0um / 0.1L air;Particles > 2.5um / 0.1L air;Particles > 5.0um / 0.1L air;Particles > 10.0um / 0.1L air
2024-06-12 19:38:23.025905;249;71;2;0;0;0
2024-06-12 19:38:23.532710;249;71;2;0;0;0
2024-06-12 19:38:24.040825;249;71;2;0;0;0
2024-06-12 19:38:24.548483;228;62;2;0;0;0
2024-06-12 19:38:25.050605;228;62;2;0;0;0
2024-06-12 19:38:26.058388;228;62;2;0;0;0
2024-06-12 19:38:26.565811;270;74;4;2;2;0
2024-06-12 19:38:27.079971;270;74;4;2;2;0
2024-06-12 19:38:28.087632;282;76;4;2;2;0
2024-06-12 19:38:28.621584;282;76;4;2;2;0
2024-06-12 19:38:29.122701;282;76;4;2;2;0
2024-06-12 19:38:29.629797;255;72;4;2;2;0
2024-06-12 19:38:30.136815;255;72;4;2;2;0
2024-06-12 19:38:30.643700;255;72;4;2;2;0
2024-06-12 19:38:31.158055;249;72;4;2;2;0
2024-06-12 19:38:32.166897;249;72;4;2;2;0
2024-06-12 19:38:32.674490;228;68;4;2;2;0
2024-06-12 19:38:33.202869;228;68;4;2;2;0
2024-06-12 19:38:33.737527;228;68;4;2;2;0
2024-06-12 19:38:34.262365;234;70;2;2;2;0
2024-06-12 19:38:34.795417;234;70;2;2;2;0
2024-06-12 19:38:35.802831;234;70;2;2;2;0
2024-06-12 19:38:36.310680;228;68;2;2;2;0
2024-06-12 19:38:36.812215;228;68;2;2;2;0
2024-06-12 19:38:37.820526;267;79;4;2;2;0
2024-06-12 19:38:38.330123;267;79;4;2;2;0
2024-06-12 19:38:38.842041;267;79;4;2;2;0
2024-06-12 19:38:39.349948;255;75;4;2;2;0
2024-06-12 19:38:39.858524;255;75;4;2;2;0
2024-06-12 19:38:40.866777;255;75;4;2;2;0
2024-06-12 19:38:41.374390;288;88;4;2;2;0
2024-06-12 19:38:41.882092;288;88;4;2;2;0
2024-06-12 19:38:42.890070;240;74;2;0;0;0
2024-06-12 19:38:43.398206;240;74;2;0;0;0
2024-06-12 19:38:43.906050;240;74;2;0;0;0
2024-06-12 19:38:44.414055;246;76;2;0;0;0
2024-06-12 19:38:44.921789;246;76;2;0;0;0
2024-06-12 19:38:45.930506;246;76;2;0;0;0
2024-06-12 19:38:46.438855;267;82;6;0;0;0
2024-06-12 19:38:46.943675;267;82;6;0;0;0
2024-06-12 19:38:47.947572;267;82;6;0;0;0
2024-06-12 19:38:48.455380;288;89;8;2;2;0
2024-06-12 19:38:48.968853;288;89;8;2;2;0
2024-06-12 19:38:49.475812;288;89;8;2;2;0
2024-06-12 19:38:49.983861;342;107;8;2;2;0
2024-06-12 19:38:50.993246;342;107;8;2;2;0
2024-06-12 19:38:51.494692;369;112;10;2;2;0
2024-06-12 19:38:52.001512;369;112;10;2;2;0
2024-06-12 19:38:53.014948;369;112;10;2;2;0
2024-06-12 19:38:53.522639;381;116;12;2;2;0
2024-06-12 19:38:54.029888;381;116;12;2;2;0
2024-06-12 19:38:54.536158;381;116;12;2;2;0
2024-06-12 19:38:55.043589;360;111;10;2;2;0
2024-06-12 19:38:56.050668;360;111;10;2;2;0
2024-06-12 19:38:56.558191;372;115;10;2;2;0
2024-06-12 19:38:57.064437;372;115;10;2;2;0
2024-06-12 19:38:58.071312;372;115;10;2;2;0
2024-06-12 19:38:58.577388;339;104;10;2;2;0
2024-06-12 19:38:59.084739;339;104;10;2;2;0
2024-06-12 19:38:59.592930;339;104;10;2;2;0
2024-06-12 19:39:00.101077;360;111;10;2;2;0
2024-06-12 19:39:01.108464;360;111;10;2;2;0
2024-06-12 19:39:01.138666;360;111;10;2;2;0
2024-06-12 19:39:02.142618;360;113;10;2;2;0
2024-06-12 19:39:02.650579;360;113;10;2;2;0
2024-06-12 19:39:03.162394;318;102;8;2;2;0
2024-06-12 19:39:04.171737;318;102;8;2;2;0
2024-06-12 19:39:04.678828;318;102;8;2;2;0
2024-06-12 19:39:05.186109;324;102;8;2;2;0
2024-06-12 19:39:05.693060;324;102;8;2;2;0
2024-06-12 19:39:06.200537;324;102;8;2;2;0
2024-06-12 19:39:07.208610;282;88;8;2;2;0
2024-06-12 19:39:07.716122;282;88;8;2;2;0
2024-06-12 19:39:08.222370;243;76;6;2;2;0
2024-06-12 19:39:08.743598;243;76;6;2;2;0
2024-06-12 19:39:09.745118;243;76;6;2;2;0
2024-06-12 19:39:10.253451;255;80;4;2;2;0
2024-06-12 19:39:10.767640;255;80;4;2;2;0
2024-06-12 19:39:11.275227;255;80;4;2;2;0
2024-06-12 19:39:11.786782;261;82;4;2;2;0
2024-06-12 19:39:12.793378;261;82;4;2;2;0
2024-06-12 19:39:13.296739;255;80;4;2;2;0
2024-06-12 19:39:13.804392;255;80;4;2;2;0
2024-06-12 19:39:14.817220;255;80;4;2;2;0
2024-06-12 19:39:15.325600;288;91;4;2;2;0
2024-06-12 19:39:15.832301;288;91;4;2;2;0
2024-06-12 19:39:16.339810;288;91;4;2;2;0
2024-06-12 19:39:16.841543;261;82;4;2;2;0
2024-06-12 19:39:17.349526;261;82;4;2;2;0
2024-06-12 19:39:17.857714;261;82;4;2;2;0
2024-06-12 19:39:18.872418;270;80;4;2;2;0
2024-06-12 19:39:19.880649;270;80;4;2;2;0
2024-06-12 19:39:20.388773;291;87;6;2;2;0
2024-06-12 19:39:20.890546;291;87;6;2;2;0
2024-06-12 19:39:21.898998;264;80;4;0;0;0
2024-06-12 19:39:22.409343;264;80;4;0;0;0
2024-06-12 19:39:22.921537;264;80;4;0;0;0
2024-06-12 19:39:23.429709;291;89;6;0;0;0
2024-06-12 19:39:23.937471;291;89;6;0;0;0
2024-06-12 19:39:24.940144;291;89;6;0;0;0
2024-06-12 19:39:25.448137;297;92;6;0;0;0
2024-06-12 19:39:25.955943;297;92;6;0;0;0
2024-06-12 19:39:26.970112;306;95;10;2;2;2
2024-06-12 19:39:27.478735;306;95;10;2;2;2
2024-06-12 19:39:27.987070;306;95;10;2;2;2
2024-06-12 19:39:28.495396;294;91;10;2;2;2
2024-06-12 19:39:28.997116;294;91;10;2;2;2
2024-06-12 19:39:30.005529;294;91;10;2;2;2
2024-06-12 19:39:30.513678;348;104;10;2;2;2
2024-06-12 19:39:31.024592;348;104;10;2;2;2
2024-06-12 19:39:32.033445;369;106;10;2;2;2
2024-06-12 19:39:32.541808;369;106;10;2;2;2
2024-06-12 19:39:33.049165;369;106;10;2;2;2
2024-06-12 19:39:33.556709;369;106;10;2;2;2
2024-06-12 19:39:34.065308;357;102;10;2;2;2
2024-06-12 19:39:35.067858;357;102;10;2;2;2
2024-06-12 19:39:35.576186;363;109;10;2;2;2
2024-06-12 19:39:36.084385;363;109;10;2;2;2
2024-06-12 19:39:37.097789;363;109;10;2;2;2
2024-06-12 19:39:37.606017;369;109;6;2;2;2
2024-06-12 19:39:38.113348;369;109;6;2;2;2
2024-06-12 19:39:38.620442;369;109;6;2;2;2
2024-06-12 19:39:39.122433;390;114;6;2;2;2
2024-06-12 19:39:39.630216;390;114;6;2;2;2
2024-06-12 19:39:40.137216;378;108;4;2;2;2
2024-06-12 19:39:41.153073;378;108;4;2;2;2
2024-06-12 19:39:41.660408;378;108;4;2;2;2
2024-06-12 19:39:42.168021;384;108;4;2;2;2
2024-06-12 19:39:43.169829;384;108;4;2;2;2
2024-06-12 19:39:43.677302;384;108;4;2;2;2
2024-06-12 19:39:44.185023;390;108;0;0;0;0
2024-06-12 19:39:44.692770;390;108;0;0;0;0
2024-06-12 19:39:45.208031;390;108;0;0;0;0
2024-06-12 19:39:46.216115;438;119;0;0;0;0
2024-06-12 19:39:46.718278;438;119;0;0;0;0
2024-06-12 19:39:47.230014;396;110;0;0;0;0
2024-06-12 19:39:47.733670;396;110;0;0;0;0
2024-06-12 19:39:48.266443;396;110;0;0;0;0
2024-06-12 19:39:48.786834;375;108;2;0;0;0
2024-06-12 19:39:49.794729;375;108;2;0;0;0
2024-06-12 19:39:50.303245;375;108;2;0;0;0
2024-06-12 19:39:50.805117;393;112;2;0;0;0
2024-06-12 19:39:51.813834;393;112;2;0;0;0
2024-06-12 19:39:52.321458;366;103;2;0;0;0
2024-06-12 19:39:52.833501;366;103;2;0;0;0
2024-06-12 19:39:53.341597;366;103;2;0;0;0
2024-06-12 19:39:53.849765;345;98;2;0;0;0
2024-06-12 19:39:54.851877;345;98;2;0;0;0
2024-06-12 19:39:55.359814;345;98;2;0;0;0
2024-06-12 19:39:55.867390;345;100;2;0;0;0
2024-06-12 19:39:56.880243;345;100;2;0;0;0
2024-06-12 19:39:57.388323;330;95;2;0;0;0
2024-06-12 19:39:57.894442;330;95;2;0;0;0
2024-06-12 19:39:58.402910;330;95;2;0;0;0
2024-06-12 19:39:58.904280;297;86;2;0;0;0
2024-06-12 19:39:59.912720;297;86;2;0;0;0
2024-06-12 19:40:00.420525;297;86;2;0;0;0
2024-06-12 19:40:00.932236;330;97;4;0;0;0
2024-06-12 19:40:01.940190;330;97;4;0;0;0
2024-06-12 19:40:02.448081;294;90;4;0;0;0
2024-06-12 19:40:02.956097;294;90;4;0;0;0
2024-06-12 19:40:03.463461;294;90;4;0;0;0
2024-06-12 19:40:03.972150;282;86;4;0;0;0
2024-06-12 19:40:04.974086;282;86;4;0;0;0
2024-06-12 19:40:05.482232;282;86;4;0;0;0
2024-06-12 19:40:05.990345;261;79;2;0;0;0
2024-06-12 19:40:07.001971;261;79;2;0;0;0
2024-06-12 19:40:07.510592;276;83;4;0;0;0
2024-06-12 19:40:08.018166;276;83;4;0;0;0
2024-06-12 19:40:09.019661;276;83;4;0;0;0
2024-06-12 19:40:09.527593;270;81;4;0;0;0
2024-06-12 19:40:10.038506;270;81;4;0;0;0
2024-06-12 19:40:10.542856;270;81;4;0;0;0
2024-06-12 19:40:11.057673;279;84;6;0;0;0
2024-06-12 19:40:12.066729;279;84;6;0;0;0
2024-06-12 19:40:12.573624;279;84;6;0;0;0
2024-06-12 19:40:13.077136;279;84;8;0;0;0
2024-06-12 19:40:14.082002;279;84;8;0;0;0
2024-06-12 19:40:14.590155;294;89;8;0;0;0
2024-06-12 19:40:15.098066;294;89;8;0;0;0
2024-06-12 19:40:15.606023;294;89;8;0;0;0
2024-06-12 19:40:16.114008;306;93;10;2;2;2
2024-06-12 19:40:16.622055;306;93;10;2;2;2
2024-06-12 19:40:17.637346;306;93;10;2;2;2
2024-06-12 19:40:18.145902;267;82;8;2;2;2
2024-06-12 19:40:18.654321;267;82;8;2;2;2
2024-06-12 19:40:19.162892;282;87;8;2;2;2
2024-06-12 19:40:20.171458;282;87;8;2;2;2
2024-06-12 19:40:20.679036;282;87;8;2;2;2
2024-06-12 19:40:21.181043;282;87;8;2;2;2
2024-06-12 19:40:22.187001;282;87;8;2;2;2
2024-06-12 19:40:22.694863;282;87;8;2;2;2
2024-06-12 19:40:23.208931;309;94;8;2;2;2
2024-06-12 19:40:23.716559;309;94;8;2;2;2
2024-06-12 19:40:24.224648;348;110;6;2;2;2
2024-06-12 19:40:24.746922;348;110;6;2;2;2
2024-06-12 19:40:25.755564;348;110;6;2;2;2
2024-06-12 19:40:26.262617;387;123;6;2;2;2
2024-06-12 19:40:26.764569;387;123;6;2;2;2
2024-06-12 19:40:27.269691;387;123;6;2;2;2
2024-06-12 19:40:27.780600;399;125;4;2;2;2
2024-06-12 19:40:28.799791;399;125;4;2;2;2
2024-06-12 19:40:29.308264;420;129;4;2;2;2
2024-06-12 19:40:29.814260;420;129;4;2;2;2
2024-06-12 19:40:30.815757;420;129;4;2;2;2
2024-06-12 19:40:31.322645;441;135;4;2;2;2
2024-06-12 19:40:31.830120;441;135;4;2;2;2
2024-06-12 19:40:32.335375;441;135;4;2;2;2
2024-06-12 19:40:32.848176;456;142;2;0;0;0
2024-06-12 19:40:33.857648;456;142;2;0;0;0
2024-06-12 19:40:34.365006;456;142;2;0;0;0
2024-06-12 19:40:34.867207;447;139;2;0;0;0
2024-06-12 19:40:35.872573;447;139;2;0;0;0
2024-06-12 19:40:36.380628;447;139;2;0;0;0
2024-06-12 19:40:36.895085;447;139;2;0;0;0
2024-06-12 19:40:37.904838;453;141;2;0;0;0
2024-06-12 19:40:38.413179;453;141;2;0;0;0
2024-06-12 19:40:38.919304;453;141;2;0;0;0
2024-06-12 19:40:39.421799;453;141;2;0;0;0
2024-06-12 19:40:39.929986;408;128;2;0;0;0
2024-06-12 19:40:40.945544;408;128;2;0;0;0
2024-06-12 19:40:41.453598;354;110;2;0;0;0
2024-06-12 19:40:41.959501;354;110;2;0;0;0
2024-06-12 19:40:42.961401;354;110;2;0;0;0
2024-06-12 19:40:43.469423;381;119;2;0;0;0
2024-06-12 19:40:43.977757;381;119;2;0;0;0
2024-06-12 19:40:44.485359;381;119;2;0;0;0
2024-06-12 19:40:45.000619;396;126;2;0;0;0
2024-06-12 19:40:46.009947;396;126;2;0;0;0
2024-06-12 19:40:46.517853;354;115;0;0;0;0
2024-06-12 19:40:47.019450;354;115;0;0;0;0
2024-06-12 19:40:48.024971;354;115;0;0;0;0
2024-06-12 19:40:48.532868;300;100;0;0;0;0
2024-06-12 19:40:49.048089;300;100;0;0;0;0
2024-06-12 19:40:49.555288;300;100;0;0;0;0
2024-06-12 19:40:50.063609;273;89;0;0;0;0
2024-06-12 19:40:51.065662;273;89;0;0;0;0
2024-06-12 19:40:51.581318;288;92;0;0;0;0
2024-06-12 19:40:52.082469;288;92;0;0;0;0
2024-06-12 19:40:53.093763;288;92;0;0;0;0
2024-06-12 19:40:53.601279;294;94;0;0;0;0
2024-06-12 19:40:54.108078;294;94;0;0;0;0
2024-06-12 19:40:54.616560;294;94;0;0;0;0
2024-06-12 19:40:55.117680;300;96;0;0;0;0
2024-06-12 19:40:55.625342;300;96;0;0;0;0
2024-06-12 19:40:56.639582;300;96;0;0;0;0
2024-06-12 19:40:57.149022;372;120;0;0;0;0
2024-06-12 19:40:57.657610;372;120;0;0;0;0
2024-06-12 19:40:58.164851;372;120;0;0;0;0
2024-06-12 19:40:59.166818;372;120;0;0;0;0
2024-06-12 19:40:59.677910;372;120;0;0;0;0
2024-06-12 19:41:00.182028;339;107;0;0;0;0
2024-06-12 19:41:00.689135;339;107;0;0;0;0
2024-06-12 19:41:01.199217;339;107;0;0;0;0
