zeitstempel;Particles > 0.3um / 0.1L air;Particles > 0.5um / 0.1L air;Particles > 1.0um / 0.1L air;Particles > 2.5um / 0.1L air;Particles > 5.0um / 0.1L air;Particles > 10.0um / 0.1L air
2024-06-12 19:38:23.022889;309;87;0;0;0;0
2024-06-12 19:38:23.530710;309;87;0;0;0;0
2024-06-12 19:38:24.038824;309;87;0;0;0;0
2024-06-12 19:38:24.546480;297;83;0;0;0;0
2024-06-12 19:38:25.050605;297;83;0;0;0;0
2024-06-12 19:38:26.058388;276;78;0;0;0;0
2024-06-12 19:38:26.565811;276;78;0;0;0;0
2024-06-12 19:38:27.076955;276;78;0;0;0;0
2024-06-12 19:38:28.085632;276;78;0;0;0;0
2024-06-12 19:38:28.592776;276;78;0;0;0;0
2024-06-12 19:38:29.122701;276;78;0;0;0;0
2024-06-12 19:38:29.629797;297;85;2;0;0;0
2024-06-12 19:38:30.136815;297;85;2;0;0;0
2024-06-12 19:38:30.643700;297;85;2;0;0;0
2024-06-12 19:38:31.156058;282;78;2;0;0;0
2024-06-12 19:38:32.164897;282;78;2;0;0;0
2024-06-12 19:38:32.672493;318;90;4;0;0;0
2024-06-12 19:38:33.202869;318;90;4;0;0;0
2024-06-12 19:38:33.719972;318;90;4;0;0;0
2024-06-12 19:38:34.240196;312;90;4;0;0;0
2024-06-12 19:38:34.792418;312;90;4;0;0;0
2024-06-12 19:38:35.800836;312;90;4;0;0;0
2024-06-12 19:38:36.308679;297;85;4;0;0;0
2024-06-12 19:38:36.812215;297;85;4;0;0;0
2024-06-12 19:38:37.820526;333;92;4;0;0;0
2024-06-12 19:38:38.330123;333;92;4;0;0;0
2024-06-12 19:38:38.840042;333;92;4;0;0;0
2024-06-12 19:38:39.347932;306;90;4;0;0;0
2024-06-12 19:38:39.856523;306;90;4;0;0;0
2024-06-12 19:38:40.864776;306;90;4;0;0;0
2024-06-12 19:38:41.372390;354;104;8;2;0;0
2024-06-12 19:38:41.879092;354;104;8;2;0;0
2024-06-12 19:38:42.888063;342;100;8;2;0;0
2024-06-12 19:38:43.396213;342;100;8;2;0;0
2024-06-12 19:38:43.903060;342;100;8;2;0;0
2024-06-12 19:38:44.412041;399;118;8;2;0;0
2024-06-12 19:38:44.919797;399;118;8;2;0;0
2024-06-12 19:38:45.928505;399;118;8;2;0;0
2024-06-12 19:38:46.436841;369;111;6;2;0;0
2024-06-12 19:38:46.943675;369;111;6;2;0;0
2024-06-12 19:38:47.947572;342;102;6;2;0;0
2024-06-12 19:38:48.455380;342;102;6;2;0;0
2024-06-12 19:38:48.966852;342;102;6;2;0;0
2024-06-12 19:38:49.473811;312;90;4;2;0;0
2024-06-12 19:38:49.981846;312;90;4;2;0;0
2024-06-12 19:38:50.990147;312;90;4;2;0;0
2024-06-12 19:38:51.494692;291;83;4;2;0;0
2024-06-12 19:38:52.001512;291;83;4;2;0;0
2024-06-12 19:38:53.012945;270;76;4;2;0;0
2024-06-12 19:38:53.520644;270;76;4;2;0;0
2024-06-12 19:38:54.027884;270;76;4;2;0;0
2024-06-12 19:38:54.534168;270;76;4;2;0;0
2024-06-12 19:38:55.041560;222;65;4;2;0;0
2024-06-12 19:38:56.048114;222;65;4;2;0;0
2024-06-12 19:38:56.557182;237;65;6;2;0;0
2024-06-12 19:38:57.062436;237;65;6;2;0;0
2024-06-12 19:38:58.069312;237;65;6;2;0;0
2024-06-12 19:38:58.575387;237;67;2;0;0;0
2024-06-12 19:38:59.082739;237;67;2;0;0;0
2024-06-12 19:38:59.590929;237;67;2;0;0;0
2024-06-12 19:39:00.099071;243;69;2;0;0;0
2024-06-12 19:39:00.607250;243;69;2;0;0;0
2024-06-12 19:39:01.128521;171;48;2;0;0;0
2024-06-12 19:39:02.142618;171;48;2;0;0;0
2024-06-12 19:39:02.650579;171;48;2;0;0;0
2024-06-12 19:39:03.161394;201;58;2;0;0;0
2024-06-12 19:39:04.168735;201;58;2;0;0;0
2024-06-12 19:39:04.676836;201;58;2;0;0;0
2024-06-12 19:39:05.184109;228;67;2;0;0;0
2024-06-12 19:39:05.691060;228;67;2;0;0;0
2024-06-12 19:39:06.198536;243;65;2;0;0;0
2024-06-12 19:39:07.206608;243;65;2;0;0;0
2024-06-12 19:39:07.714122;243;65;2;0;0;0
2024-06-12 19:39:08.221370;255;67;2;0;0;0
2024-06-12 19:39:08.723469;255;67;2;0;0;0
2024-06-12 19:39:09.745118;255;67;4;0;0;0
2024-06-12 19:39:10.253451;255;67;4;0;0;0
2024-06-12 19:39:10.765639;255;67;4;0;0;0
2024-06-12 19:39:11.273227;309;85;4;0;0;0
2024-06-12 19:39:11.781523;309;85;4;0;0;0
2024-06-12 19:39:12.793378;309;85;4;0;0;0
2024-06-12 19:39:13.296739;294;83;2;0;0;0
2024-06-12 19:39:13.804392;294;83;2;0;0;0
2024-06-12 19:39:14.815219;288;78;4;0;0;0
2024-06-12 19:39:15.322599;288;78;4;0;0;0
2024-06-12 19:39:15.830301;288;78;4;0;0;0
2024-06-12 19:39:16.337809;309;85;4;0;0;0
2024-06-12 19:39:16.841543;309;85;4;0;0;0
2024-06-12 19:39:17.349526;309;85;4;0;0;0
2024-06-12 19:39:17.857714;309;85;4;0;0;0
2024-06-12 19:39:18.870418;351;95;4;0;0;0
2024-06-12 19:39:19.878648;342;92;4;0;0;0
2024-06-12 19:39:20.386774;342;92;4;0;0;0
2024-06-12 19:39:20.890546;342;92;4;0;0;0
2024-06-12 19:39:21.898998;342;90;4;0;0;0
2024-06-12 19:39:22.409343;342;90;4;0;0;0
2024-06-12 19:39:22.919533;342;90;4;0;0;0
2024-06-12 19:39:23.427708;315;87;4;0;0;0
2024-06-12 19:39:23.935469;315;87;4;0;0;0
2024-06-12 19:39:24.940144;315;87;4;0;0;0
2024-06-12 19:39:25.448137;330;92;4;0;0;0
2024-06-12 19:39:25.955943;330;92;4;0;0;0
2024-06-12 19:39:26.968111;339;95;2;0;0;0
2024-06-12 19:39:27.476748;339;95;2;0;0;0
2024-06-12 19:39:27.985077;339;95;2;0;0;0
2024-06-12 19:39:28.493396;339;91;2;0;0;0
2024-06-12 19:39:28.997116;339;91;2;0;0;0
2024-06-12 19:39:30.005529;339;91;2;0;0;0
2024-06-12 19:39:30.513678;339;93;2;0;0;0
2024-06-12 19:39:31.023592;339;93;2;0;0;0
2024-06-12 19:39:32.031445;324;89;0;0;0;0
2024-06-12 19:39:32.538822;324;89;0;0;0;0
2024-06-12 19:39:33.047166;324;89;0;0;0;0
2024-06-12 19:39:33.554709;330;89;0;0;0;0
2024-06-12 19:39:34.063321;330;89;0;0;0;0
2024-06-12 19:39:35.067858;330;89;0;0;0;0
2024-06-12 19:39:35.576186;303;82;0;0;0;0
2024-06-12 19:39:36.084385;303;82;0;0;0;0
2024-06-12 19:39:37.095789;297;80;0;0;0;0
2024-06-12 19:39:37.604016;297;80;0;0;0;0
2024-06-12 19:39:38.111348;297;80;0;0;0;0
2024-06-12 19:39:38.618446;285;77;0;0;0;0
2024-06-12 19:39:39.122433;285;77;0;0;0;0
2024-06-12 19:39:39.630216;285;77;0;0;0;0
2024-06-12 19:39:40.137216;318;89;0;0;0;0
2024-06-12 19:39:41.151072;318;89;0;0;0;0
2024-06-12 19:39:41.658410;312;86;0;0;0;0
2024-06-12 19:39:42.166021;312;86;0;0;0;0
2024-06-12 19:39:43.169829;312;86;0;0;0;0
2024-06-12 19:39:43.677302;312;86;0;0;0;0
2024-06-12 19:39:44.185023;345;95;0;0;0;0
2024-06-12 19:39:44.692770;345;95;0;0;0;0
2024-06-12 19:39:45.205044;312;85;0;0;0;0
2024-06-12 19:39:46.214115;312;85;0;0;0;0
2024-06-12 19:39:46.718278;312;85;0;0;0;0
2024-06-12 19:39:47.230014;318;87;0;0;0;0
2024-06-12 19:39:47.733670;318;87;0;0;0;0
2024-06-12 19:39:48.243987;318;87;0;0;0;0
2024-06-12 19:39:48.774845;303;82;0;0;0;0
2024-06-12 19:39:49.792729;303;82;0;0;0;0
2024-06-12 19:39:50.301245;297;77;0;0;0;0
2024-06-12 19:39:50.805117;297;77;0;0;0;0
2024-06-12 19:39:51.813834;297;77;0;0;0;0
2024-06-12 19:39:52.321458;297;79;0;0;0;0
2024-06-12 19:39:52.831510;297;79;0;0;0;0
2024-06-12 19:39:53.338597;297;79;0;0;0;0
2024-06-12 19:39:53.847762;324;86;0;0;0;0
2024-06-12 19:39:54.851877;324;86;0;0;0;0
2024-06-12 19:39:55.359814;330;91;0;0;0;0
2024-06-12 19:39:55.867390;330;91;0;0;0;0
2024-06-12 19:39:56.877255;330;91;0;0;0;0
2024-06-12 19:39:57.385322;297;82;0;0;0;0
2024-06-12 19:39:57.892442;297;82;0;0;0;0
2024-06-12 19:39:58.400910;297;82;0;0;0;0
2024-06-12 19:39:58.904280;282;80;0;0;0;0
2024-06-12 19:39:59.912720;282;80;0;0;0;0
2024-06-12 19:40:00.420525;282;80;0;0;0;0
2024-06-12 19:40:00.931234;255;71;0;0;0;0
2024-06-12 19:40:01.938202;255;71;0;0;0;0
2024-06-12 19:40:02.446080;240;69;0;0;0;0
2024-06-12 19:40:02.954094;240;69;0;0;0;0
2024-06-12 19:40:03.461461;240;69;0;0;0;0
2024-06-12 19:40:03.970150;255;69;0;0;0;0
2024-06-12 19:40:04.974086;255;69;0;0;0;0
2024-06-12 19:40:05.482232;255;69;0;0;0;0
2024-06-12 19:40:05.990345;276;76;0;0;0;0
2024-06-12 19:40:06.999968;276;76;0;0;0;0
2024-06-12 19:40:07.507580;276;81;0;0;0;0
2024-06-12 19:40:08.015167;276;81;0;0;0;0
2024-06-12 19:40:09.019661;291;79;0;0;0;0
2024-06-12 19:40:09.527593;291;79;0;0;0;0
2024-06-12 19:40:10.038506;291;79;0;0;0;0
2024-06-12 19:40:10.542856;291;79;0;0;0;0
2024-06-12 19:40:11.054673;258;70;0;0;0;0
2024-06-12 19:40:12.063728;258;70;0;0;0;0
2024-06-12 19:40:12.571626;258;70;0;0;0;0
2024-06-12 19:40:13.077136;258;70;0;0;0;0
2024-06-12 19:40:14.082002;258;70;0;0;0;0
2024-06-12 19:40:14.590155;291;77;0;0;0;0
2024-06-12 19:40:15.098066;291;77;0;0;0;0
2024-06-12 19:40:15.606023;291;77;0;0;0;0
2024-06-12 19:40:16.114008;306;82;0;0;0;0
2024-06-12 19:40:16.622055;306;82;0;0;0;0
2024-06-12 19:40:17.134266;327;91;2;0;0;0
2024-06-12 19:40:18.142902;327;91;2;0;0;0
2024-06-12 19:40:18.652322;327;91;2;0;0;0
2024-06-12 19:40:19.160892;333;91;2;0;0;0
2024-06-12 19:40:20.169478;333;91;2;0;0;0
2024-06-12 19:40:20.677047;297;80;2;0;0;0
2024-06-12 19:40:21.181043;297;80;2;0;0;0
2024-06-12 19:40:22.187001;297;80;2;0;0;0
2024-06-12 19:40:22.694863;348;96;2;0;0;0
2024-06-12 19:40:23.206928;348;96;2;0;0;0
2024-06-12 19:40:23.714559;348;96;2;0;0;0
2024-06-12 19:40:24.221650;327;89;2;0;0;0
2024-06-12 19:40:24.734043;327;89;2;0;0;0
2024-06-12 19:40:25.752577;312;89;2;0;0;0
2024-06-12 19:40:26.260618;312;89;2;0;0;0
2024-06-12 19:40:26.764569;312;89;2;0;0;0
2024-06-12 19:40:27.269691;324;91;2;0;0;0
2024-06-12 19:40:27.780600;324;91;2;0;0;0
2024-06-12 19:40:28.797792;324;91;2;0;0;0
2024-06-12 19:40:29.305276;309;86;2;0;0;0
2024-06-12 19:40:29.812260;309;86;2;0;0;0
2024-06-12 19:40:30.815757;318;88;2;0;0;0
2024-06-12 19:40:31.322645;318;88;2;0;0;0
2024-06-12 19:40:31.830120;318;88;2;0;0;0
2024-06-12 19:40:32.335375;324;85;2;0;0;0
2024-06-12 19:40:32.845189;324;85;2;0;0;0
2024-06-12 19:40:33.855648;324;85;2;0;0;0
2024-06-12 19:40:34.363008;339;90;0;0;0;0
2024-06-12 19:40:34.867207;339;90;0;0;0;0
2024-06-12 19:40:35.872573;339;90;0;0;0;0
2024-06-12 19:40:36.380628;354;97;0;0;0;0
2024-06-12 19:40:36.893075;354;97;0;0;0;0
2024-06-12 19:40:37.901851;369;106;0;0;0;0
2024-06-12 19:40:38.410179;369;106;0;0;0;0
2024-06-12 19:40:38.914297;369;106;0;0;0;0
2024-06-12 19:40:39.421799;318;90;0;0;0;0
2024-06-12 19:40:39.929986;318;90;0;0;0;0
2024-06-12 19:40:40.943543;318;90;0;0;0;0
2024-06-12 19:40:41.451598;339;97;0;0;0;0
2024-06-12 19:40:41.958501;339;97;0;0;0;0
2024-06-12 19:40:42.961401;333;97;0;0;0;0
2024-06-12 19:40:43.469423;333;97;0;0;0;0
2024-06-12 19:40:43.977757;333;97;0;0;0;0
2024-06-12 19:40:44.485359;348;102;0;0;0;0
2024-06-12 19:40:44.997619;348;102;0;0;0;0
2024-06-12 19:40:46.006952;348;102;0;0;0;0
2024-06-12 19:40:46.515851;363;107;0;0;0;0
2024-06-12 19:40:47.019450;363;107;0;0;0;0
2024-06-12 19:40:48.024971;327;98;2;2;0;0
2024-06-12 19:40:48.532868;327;98;2;2;0;0
2024-06-12 19:40:49.045101;327;98;2;2;0;0
2024-06-12 19:40:49.553287;354;112;4;2;0;0
2024-06-12 19:40:50.061609;354;112;4;2;0;0
2024-06-12 19:40:51.065662;354;112;4;2;0;0
2024-06-12 19:40:51.574313;312;98;4;2;0;0
2024-06-12 19:40:52.082469;312;98;4;2;0;0
2024-06-12 19:40:53.091766;318;96;4;2;0;0
2024-06-12 19:40:53.599278;318;96;4;2;0;0
2024-06-12 19:40:54.106078;318;96;4;2;0;0
2024-06-12 19:40:54.613561;312;94;4;2;0;0
2024-06-12 19:40:55.117680;312;94;4;2;0;0
2024-06-12 19:40:55.625342;312;94;4;2;0;0
