zeitstempel;Latitude;Longitude;Altitude [m];Geschwindigkeit [Km/h];Horizontale Abnahme der Genauigkeit;Number of Satellites
2024-06-12 10:52:40.837407;49.787193;9.978567;429.00;0.00;240;6
2024-06-12 10:52:41.343677;49.787193;9.978567;429.00;0.00;240;6
2024-06-12 10:52:41.848039;49.787197;9.978543;429.60;0.00;240;6
2024-06-12 10:52:42.863683;49.787197;9.978543;429.60;0.00;240;6
2024-06-12 10:52:43.367950;49.787197;9.978543;429.60;0.00;240;6
2024-06-12 10:52:43.872676;49.787189;9.978540;430.10;0.00;240;6
2024-06-12 10:52:44.877261;49.787189;9.978540;430.10;0.00;240;6
2024-06-12 10:52:45.382172;49.787189;9.978540;430.10;0.00;240;6
2024-06-12 10:52:45.888072;49.787197;9.978551;428.50;0.00;140;9
2024-06-12 10:52:46.898773;49.787197;9.978551;428.50;0.00;140;9
2024-06-12 10:52:47.403720;49.787197;9.978551;428.50;0.00;140;9
2024-06-12 10:52:47.910153;49.787197;9.978551;428.50;0.00;140;9
2024-06-12 10:52:48.415683;49.787197;9.978551;428.50;0.00;140;9
2024-06-12 10:52:48.921152;49.787216;9.978579;425.90;0.00;140;9
2024-06-12 10:52:49.425516;49.787216;9.978579;425.90;0.00;140;9
2024-06-12 10:52:49.930257;49.787216;9.978579;425.90;0.00;140;9
2024-06-12 10:52:50.935379;49.787216;9.978579;425.90;0.00;140;9
2024-06-12 10:52:51.441923;49.787216;9.978579;425.90;0.00;140;9
2024-06-12 10:52:51.946440;49.787235;9.978605;423.00;0.00;140;9
2024-06-12 10:52:52.449984;49.787235;9.978605;423.00;0.00;140;9
2024-06-12 10:52:52.954561;49.787235;9.978605;423.00;0.00;140;9
2024-06-12 10:52:53.963118;49.787235;9.978605;423.00;0.00;140;9
2024-06-12 10:52:54.468003;49.787235;9.978605;423.00;0.00;140;9
2024-06-12 10:52:54.973434;49.787247;9.978623;420.40;0.00;140;9
2024-06-12 10:52:55.479067;49.787247;9.978623;420.40;0.00;140;9
2024-06-12 10:52:55.984884;49.787247;9.978623;420.40;0.00;140;9
2024-06-12 10:52:56.489822;49.787247;9.978623;420.40;0.00;140;9
2024-06-12 10:52:56.995400;49.787247;9.978623;420.40;0.00;140;9
2024-06-12 10:52:58.007251;49.787258;9.978637;418.10;0.00;140;9
2024-06-12 10:52:58.513456;49.787258;9.978637;418.10;0.00;140;9
2024-06-12 10:52:59.019910;49.787258;9.978637;418.10;0.00;140;9
2024-06-12 10:52:59.524842;49.787258;9.978637;418.10;0.00;140;9
2024-06-12 10:53:00.531468;49.787258;9.978637;418.10;0.00;140;9
2024-06-12 10:53:01.037485;49.787270;9.978649;416.10;0.00;140;9
2024-06-12 10:53:01.543258;49.787270;9.978649;416.10;0.00;140;9
2024-06-12 10:53:02.048060;49.787270;9.978649;416.10;0.00;140;9
