zeitstempel;Particles > 0.3um / 0.1L air;Particles > 0.5um / 0.1L air;Particles > 1.0um / 0.1L air;Particles > 2.5um / 0.1L air;Particles > 5.0um / 0.1L air;Particles > 10.0um / 0.1L air
2024-06-12 10:52:40.332132;1356;413;35;4;0;0
2024-06-12 10:52:40.837407;1347;413;31;2;0;0
2024-06-12 10:52:41.343677;1347;413;31;2;0;0
2024-06-12 10:52:41.860221;1383;420;35;2;0;0
2024-06-12 10:52:42.866686;1383;420;35;2;0;0
2024-06-12 10:52:43.371955;1383;420;35;2;0;0
2024-06-12 10:52:43.875677;1338;407;35;2;0;0
2024-06-12 10:52:44.877261;1338;407;35;2;0;0
2024-06-12 10:52:45.382172;1338;407;35;2;0;0
2024-06-12 10:52:45.888072;1338;409;37;2;0;0
2024-06-12 10:52:46.901773;1338;409;37;2;0;0
2024-06-12 10:52:47.406698;1398;429;34;0;0;0
2024-06-12 10:52:47.913162;1398;429;34;0;0;0
2024-06-12 10:52:48.418675;1398;429;34;0;0;0
2024-06-12 10:52:48.924156;1440;443;36;0;0;0
2024-06-12 10:52:49.429504;1440;443;36;0;0;0
2024-06-12 10:52:49.933259;1440;443;36;0;0;0
2024-06-12 10:52:50.939383;1413;446;32;0;0;0
2024-06-12 10:52:51.444922;1413;446;32;0;0;0
2024-06-12 10:52:51.948441;1413;446;32;0;0;0
2024-06-12 10:52:52.449984;1386;439;30;0;0;0
2024-06-12 10:52:52.954561;1386;439;30;0;0;0
2024-06-12 10:52:53.965295;1386;439;30;0;0;0
2024-06-12 10:52:54.468003;1299;410;34;0;0;0
2024-06-12 10:52:54.973434;1299;410;34;0;0;0
2024-06-12 10:52:55.479067;1353;423;34;0;0;0
2024-06-12 10:52:55.984884;1353;423;34;0;0;0
2024-06-12 10:52:56.493542;1353;423;34;0;0;0
2024-06-12 10:52:57.005693;1353;423;34;0;0;0
2024-06-12 10:52:58.007251;1299;403;30;0;0;0
2024-06-12 10:52:58.513456;1299;403;30;0;0;0
2024-06-12 10:52:59.019910;1290;403;28;0;0;0
2024-06-12 10:52:59.524842;1290;403;28;0;0;0
2024-06-12 10:53:00.535458;1290;403;28;0;0;0
2024-06-12 10:53:01.040474;1248;387;30;0;0;0
2024-06-12 10:53:01.546247;1248;387;30;0;0;0
2024-06-12 10:53:02.048060;1248;387;30;0;0;0
2024-06-12 10:53:02.554160;1275;398;32;0;0;0
2024-06-12 10:53:03.060256;1275;398;32;0;0;0
