zeitstempel;Latitude;Longitude;Altitude [m];Geschwindigkeit [Km/h];Horizontale Abnahme der Genauigkeit;Number of Satellites
2024-06-13 07:43:16.266504;49.787025;9.978729;347.90;0.00;190;9
2024-06-13 07:43:16.774635;49.787025;9.978729;347.90;0.00;190;9
2024-06-13 07:43:17.282122;49.787025;9.978729;347.90;0.00;190;9
2024-06-13 07:43:18.290677;49.787022;9.978730;347.60;0.00;190;9
2024-06-13 07:43:18.798681;49.787022;9.978730;347.60;0.00;190;9
2024-06-13 07:43:19.306106;49.787022;9.978730;347.60;0.00;190;9
2024-06-13 07:43:19.813876;49.787022;9.978730;347.60;0.00;190;9
2024-06-13 07:43:20.822985;49.787022;9.978730;347.60;0.00;190;9
2024-06-13 07:43:21.331436;49.787022;9.978730;346.80;0.00;190;9
2024-06-13 07:43:21.839724;49.787022;9.978730;346.80;0.00;190;9
2024-06-13 07:43:22.346738;49.787022;9.978730;346.80;0.00;190;9
2024-06-13 07:43:22.854900;49.787022;9.978730;346.80;0.00;190;9
2024-06-13 07:43:23.863310;49.787022;9.978730;346.80;0.00;190;9
2024-06-13 07:43:24.371846;49.787022;9.978724;345.80;0.00;190;9
2024-06-13 07:43:24.880241;49.787022;9.978724;345.80;0.00;190;9
2024-06-13 07:43:25.387507;49.787022;9.978724;345.80;0.00;190;9
2024-06-13 07:43:25.896627;49.787022;9.978724;345.80;0.00;190;9
2024-06-13 07:43:26.404610;49.787022;9.978724;345.80;0.00;190;9
2024-06-13 07:43:27.419905;49.787029;9.978710;345.10;0.00;190;9
2024-06-13 07:43:27.928049;49.787029;9.978710;345.10;0.00;190;9
2024-06-13 07:43:28.436213;49.787029;9.978710;345.10;0.00;190;9
2024-06-13 07:43:28.944148;49.787029;9.978710;345.10;0.00;190;9
2024-06-13 07:43:29.451815;49.787029;9.978710;345.10;0.00;190;9
2024-06-13 07:43:30.467462;49.786957;9.978760;348.00;0.00;190;9
2024-06-13 07:43:30.975795;49.786957;9.978760;348.00;0.00;190;9
2024-06-13 07:43:31.484419;49.786957;9.978760;348.00;0.00;190;9
2024-06-13 07:43:31.991097;49.786957;9.978760;348.00;0.00;190;9
2024-06-13 07:43:32.499532;49.786957;9.978760;348.00;0.00;190;9
2024-06-13 07:43:33.508117;49.786976;9.978725;346.80;0.00;130;12
2024-06-13 07:43:34.017506;49.786976;9.978725;346.80;0.00;130;12
2024-06-13 07:43:34.525586;49.786976;9.978725;346.80;0.00;130;12
