zeitstempel;temperature
2024-06-13 07:33:52.201375;21.10
2024-06-13 07:33:52.712646;21.10
2024-06-13 07:33:53.224323;21.10
2024-06-13 07:33:53.731023;21.10
2024-06-13 07:33:54.242593;21.10
2024-06-13 07:33:54.753555;21.10
2024-06-13 07:33:55.264504;21.10
2024-06-13 07:33:55.779368;21.10
2024-06-13 07:33:56.290363;21.10
2024-06-13 07:33:56.801979;21.10
2024-06-13 07:33:57.337826;21.10
2024-06-13 07:33:57.846409;21.10
2024-06-13 07:33:58.359534;21.10
2024-06-13 07:33:58.867514;21.10
2024-06-13 07:33:59.379363;21.10
2024-06-13 07:33:59.898329;21.10
2024-06-13 07:34:00.409713;21.10
2024-06-13 07:34:01.448786;21.10
2024-06-13 07:34:01.960992;21.10
2024-06-13 07:34:02.472361;21.10
2024-06-13 07:34:02.983390;21.10
2024-06-13 07:34:03.500008;21.10
2024-06-13 07:34:04.507970;21.10
2024-06-13 07:34:05.019054;21.10
2024-06-13 07:34:05.530870;21.20
2024-06-13 07:34:06.046882;21.20
2024-06-13 07:34:06.560026;21.20
2024-06-13 07:34:07.072165;21.20
2024-06-13 07:34:07.585153;21.10
2024-06-13 07:34:08.092459;21.10
2024-06-13 07:34:08.604912;21.10
2024-06-13 07:34:09.115793;21.10
2024-06-13 07:34:09.632281;21.20
2024-06-13 07:34:10.143529;21.20
2024-06-13 07:34:10.655069;21.20
2024-06-13 07:34:11.167172;21.20
2024-06-13 07:34:11.685927;21.20
2024-06-13 07:34:12.209451;21.20
2024-06-13 07:34:13.236276;21.20
2024-06-13 07:34:13.748901;21.20
2024-06-13 07:34:14.272569;21.10
2024-06-13 07:34:14.783756;21.10
2024-06-13 07:34:15.294370;21.10
2024-06-13 07:34:15.801741;21.10
2024-06-13 07:34:16.312654;21.20
2024-06-13 07:34:16.823481;21.20
2024-06-13 07:34:17.334752;21.20
2024-06-13 07:34:17.851004;21.20
2024-06-13 07:34:18.362458;21.20
2024-06-13 07:34:19.379721;21.20
2024-06-13 07:34:19.892061;21.20
2024-06-13 07:34:20.404241;21.20
2024-06-13 07:34:20.915636;21.20
2024-06-13 07:34:21.425888;21.20
2024-06-13 07:34:22.434018;21.20
2024-06-13 07:34:22.945151;21.20
2024-06-13 07:34:23.456139;21.20
2024-06-13 07:34:23.971786;21.20
2024-06-13 07:34:24.483289;21.20
2024-06-13 07:34:24.994192;21.20
2024-06-13 07:34:25.505789;21.10
2024-06-13 07:34:26.011788;21.10
2024-06-13 07:34:26.518444;21.10
2024-06-13 07:34:27.025549;21.10
2024-06-13 07:34:27.533891;21.20
2024-06-13 07:34:28.046897;21.20
2024-06-13 07:34:28.567173;21.20
2024-06-13 07:34:29.591786;21.20
2024-06-13 07:34:30.096049;21.10
2024-06-13 07:34:30.603222;21.10
2024-06-13 07:34:31.111113;21.10
2024-06-13 07:34:31.618141;21.10
2024-06-13 07:34:32.627532;21.20
2024-06-13 07:34:33.133943;21.20
2024-06-13 07:34:33.640302;21.20
2024-06-13 07:34:34.146552;21.20
2024-06-13 07:34:34.655159;21.20
2024-06-13 07:34:35.161915;21.20
2024-06-13 07:34:35.666385;21.20
2024-06-13 07:34:36.174037;21.20
2024-06-13 07:34:36.682069;21.20
2024-06-13 07:34:37.189271;21.20
2024-06-13 07:34:37.699914;21.20
2024-06-13 07:34:38.207016;21.20
2024-06-13 07:34:38.714282;21.20
2024-06-13 07:34:39.221038;21.20
2024-06-13 07:34:40.231279;21.20
2024-06-13 07:34:40.739432;21.20
2024-06-13 07:34:41.249545;21.20
2024-06-13 07:34:41.756977;21.20
2024-06-13 07:34:42.263633;21.20
2024-06-13 07:34:42.771577;21.20
2024-06-13 07:34:43.279303;21.20
2024-06-13 07:34:43.786547;21.20
2024-06-13 07:34:44.304985;21.20
2024-06-13 07:34:44.824958;21.20
2024-06-13 07:34:45.349044;21.20
2024-06-13 07:34:46.373148;21.20
2024-06-13 07:34:46.881167;21.20
2024-06-13 07:34:47.388611;21.20
2024-06-13 07:34:47.898525;21.20
2024-06-13 07:34:48.406600;21.20
2024-06-13 07:34:49.414573;21.20
2024-06-13 07:34:49.922344;21.20
2024-06-13 07:34:50.429260;21.20
2024-06-13 07:34:50.935643;21.20
2024-06-13 07:34:51.443677;21.20
2024-06-13 07:34:51.953180;21.20
2024-06-13 07:34:52.461325;21.20
2024-06-13 07:34:52.968477;21.20
2024-06-13 07:34:53.475314;21.20
2024-06-13 07:34:54.481689;21.20
2024-06-13 07:34:54.987767;21.20
2024-06-13 07:34:55.495281;21.20
2024-06-13 07:34:56.003917;21.20
2024-06-13 07:34:56.511992;21.20
2024-06-13 07:34:57.520352;21.30
2024-06-13 07:34:58.525817;21.30
2024-06-13 07:34:59.031296;21.30
2024-06-13 07:34:59.539459;21.30
2024-06-13 07:35:00.046878;21.30
2024-06-13 07:35:00.555445;21.30
2024-06-13 07:35:01.065850;21.30
2024-06-13 07:35:01.571909;21.20
2024-06-13 07:35:02.082588;21.20
2024-06-13 07:35:02.590598;21.20
2024-06-13 07:35:03.098857;21.20
2024-06-13 07:35:03.606834;21.30
2024-06-13 07:35:04.612518;21.30
2024-06-13 07:35:05.120536;21.30
2024-06-13 07:35:05.628491;21.30
2024-06-13 07:35:06.133547;21.30
2024-06-13 07:35:07.141695;21.30
2024-06-13 07:35:07.652494;21.30
2024-06-13 07:35:08.168217;21.30
2024-06-13 07:35:08.688704;21.30
2024-06-13 07:35:09.212800;21.30
2024-06-13 07:35:09.730588;21.30
2024-06-13 07:35:10.254884;21.30
2024-06-13 07:35:10.779528;21.30
2024-06-13 07:35:11.292725;21.30
2024-06-13 07:35:11.823365;21.30
2024-06-13 07:35:12.346143;21.30
2024-06-13 07:35:13.372703;21.30
2024-06-13 07:35:13.880510;21.30
2024-06-13 07:35:14.388193;21.30
2024-06-13 07:35:14.895157;21.30
2024-06-13 07:35:15.403130;21.30
2024-06-13 07:35:16.412189;21.30
2024-06-13 07:35:16.917062;21.30
2024-06-13 07:35:17.424753;21.30
2024-06-13 07:35:17.932679;21.30
2024-06-13 07:35:18.440800;21.30
2024-06-13 07:35:18.950175;21.30
2024-06-13 07:35:19.456623;21.30
2024-06-13 07:35:19.968281;21.30
2024-06-13 07:35:20.476257;21.30
2024-06-13 07:35:20.985115;21.30
2024-06-13 07:35:21.492925;21.30
2024-06-13 07:35:22.498476;21.30
2024-06-13 07:35:23.006430;21.30
2024-06-13 07:35:23.514113;21.30
2024-06-13 07:35:24.021151;21.30
2024-06-13 07:35:24.529206;21.30
2024-06-13 07:35:25.540330;21.30
2024-06-13 07:35:26.047241;21.30
2024-06-13 07:35:26.555438;21.30
2024-06-13 07:35:27.063210;21.30
2024-06-13 07:35:27.571488;21.30
2024-06-13 07:35:28.082182;21.30
2024-06-13 07:35:28.590527;21.30
2024-06-13 07:35:29.098725;21.30
2024-06-13 07:35:29.607652;21.30
2024-06-13 07:35:30.115548;21.30
2024-06-13 07:35:30.624515;21.30
2024-06-13 07:35:31.132311;21.30
2024-06-13 07:35:31.637293;21.30
2024-06-13 07:35:32.645484;21.30
2024-06-13 07:35:33.153339;21.30
2024-06-13 07:35:33.663947;21.30
2024-06-13 07:35:34.171149;21.30
2024-06-13 07:35:34.679077;21.30
2024-06-13 07:35:35.186485;21.30
2024-06-13 07:35:35.691246;21.30
2024-06-13 07:35:36.196856;21.30
2024-06-13 07:35:36.732408;21.30
2024-06-13 07:35:37.253553;21.30
2024-06-13 07:35:37.777707;21.30
2024-06-13 07:35:38.301196;21.30
2024-06-13 07:35:39.322392;21.30
2024-06-13 07:35:39.833662;21.30
2024-06-13 07:35:40.341523;21.30
2024-06-13 07:35:40.849771;21.30
2024-06-13 07:35:41.358392;21.30
2024-06-13 07:35:42.364350;21.30
2024-06-13 07:35:43.372950;21.30
2024-06-13 07:35:43.883975;21.30
2024-06-13 07:35:44.392025;21.30
2024-06-13 07:35:44.899821;21.30
2024-06-13 07:35:45.407746;21.30
2024-06-13 07:35:45.912605;21.30
2024-06-13 07:35:46.420266;21.30
2024-06-13 07:35:46.928447;21.30
2024-06-13 07:35:47.436674;21.30
2024-06-13 07:35:47.947618;21.30
2024-06-13 07:35:48.455367;21.30
2024-06-13 07:35:49.463654;21.30
2024-06-13 07:35:49.968560;21.30
2024-06-13 07:35:50.476581;21.30
2024-06-13 07:35:50.984591;21.30
2024-06-13 07:35:51.492733;21.30
2024-06-13 07:35:52.501754;21.30
2024-06-13 07:35:53.010006;21.30
2024-06-13 07:35:53.517980;21.30
2024-06-13 07:35:54.023865;21.30
2024-06-13 07:35:54.532021;21.30
2024-06-13 07:35:55.040482;21.30
2024-06-13 07:35:55.549232;21.30
2024-06-13 07:35:56.060240;21.30
2024-06-13 07:35:56.567827;21.30
2024-06-13 07:35:57.075646;21.30
2024-06-13 07:35:57.583629;21.30
2024-06-13 07:35:58.092112;21.30
2024-06-13 07:35:58.599811;21.30
2024-06-13 07:35:59.607653;21.30
2024-06-13 07:36:00.115575;21.30
2024-06-13 07:36:00.623837;21.30
2024-06-13 07:36:01.132144;21.30
2024-06-13 07:36:01.636875;21.30
2024-06-13 07:36:02.646005;21.30
2024-06-13 07:36:03.154435;21.30
2024-06-13 07:36:03.664510;21.30
2024-06-13 07:36:04.171524;21.30
2024-06-13 07:36:04.679563;21.30
2024-06-13 07:36:05.187500;21.30
2024-06-13 07:36:05.691750;21.30
2024-06-13 07:36:06.208776;21.30
2024-06-13 07:36:06.720373;21.30
2024-06-13 07:36:07.252734;21.30
2024-06-13 07:36:07.779444;21.30
2024-06-13 07:36:08.801199;21.30
2024-06-13 07:36:09.309096;21.30
2024-06-13 07:36:10.315028;21.30
2024-06-13 07:36:10.822804;21.30
2024-06-13 07:36:11.330629;21.30
2024-06-13 07:36:11.841283;21.30
2024-06-13 07:36:12.348385;21.30
2024-06-13 07:36:13.356850;21.30
2024-06-13 07:36:13.862520;21.30
2024-06-13 07:36:14.370658;21.30
2024-06-13 07:36:14.879489;21.30
2024-06-13 07:36:15.387185;21.30
2024-06-13 07:36:15.895276;21.30
2024-06-13 07:36:16.404070;21.30
2024-06-13 07:36:16.911262;21.30
2024-06-13 07:36:17.419732;21.30
2024-06-13 07:36:18.431011;21.30
2024-06-13 07:36:19.440335;21.30
2024-06-13 07:36:19.944967;21.30
2024-06-13 07:36:20.452439;21.30
2024-06-13 07:36:20.960374;21.30
2024-06-13 07:36:21.468737;21.30
2024-06-13 07:36:22.478756;21.30
2024-06-13 07:36:22.985683;21.30
2024-06-13 07:36:23.493754;21.30
2024-06-13 07:36:24.000801;21.30
2024-06-13 07:36:24.508704;21.30
2024-06-13 07:36:25.016716;21.30
2024-06-13 07:36:25.524491;21.30
2024-06-13 07:36:26.035481;21.30
2024-06-13 07:36:26.543354;21.30
2024-06-13 07:36:27.050879;21.30
2024-06-13 07:36:28.073605;21.30
2024-06-13 07:36:28.580944;21.30
2024-06-13 07:36:29.592409;21.30
2024-06-13 07:36:30.097129;21.30
2024-06-13 07:36:30.605416;21.30
2024-06-13 07:36:31.113419;21.30
2024-06-13 07:36:31.623588;21.30
2024-06-13 07:36:32.131096;21.30
2024-06-13 07:36:32.638833;21.30
2024-06-13 07:36:33.146711;21.30
2024-06-13 07:36:33.655029;21.30
2024-06-13 07:36:34.162897;21.30
2024-06-13 07:36:34.670707;21.30
2024-06-13 07:36:35.178875;21.30
2024-06-13 07:36:35.690426;21.30
2024-06-13 07:36:36.214622;21.30
2024-06-13 07:36:36.736155;21.30
2024-06-13 07:36:37.256265;21.30
2024-06-13 07:36:37.778784;21.30
2024-06-13 07:36:38.803116;21.30
2024-06-13 07:36:39.309414;21.30
2024-06-13 07:36:39.820724;21.30
2024-06-13 07:36:40.328387;21.30
2024-06-13 07:36:40.835953;21.30
2024-06-13 07:36:41.343459;21.30
2024-06-13 07:36:41.851809;21.30
2024-06-13 07:36:42.359787;21.30
2024-06-13 07:36:42.868523;21.30
2024-06-13 07:36:43.376285;21.30
2024-06-13 07:36:43.881278;21.30
2024-06-13 07:36:44.389235;21.30
2024-06-13 07:36:45.397500;21.30
2024-06-13 07:36:45.908149;21.30
2024-06-13 07:36:46.415854;21.30
2024-06-13 07:36:46.923547;21.30
2024-06-13 07:36:47.431138;21.30
2024-06-13 07:36:48.438220;21.30
2024-06-13 07:36:48.944982;21.30
2024-06-13 07:36:49.452873;21.30
2024-06-13 07:36:49.961093;21.30
2024-06-13 07:36:50.468351;21.30
2024-06-13 07:36:50.975925;21.30
2024-06-13 07:36:51.484017;21.30
2024-06-13 07:36:51.991535;21.30
2024-06-13 07:36:52.500531;21.30
2024-06-13 07:36:53.008177;21.30
2024-06-13 07:36:53.516113;21.40
2024-06-13 07:36:54.521400;21.40
2024-06-13 07:36:55.031749;21.40
2024-06-13 07:36:55.537786;21.40
2024-06-13 07:36:56.048185;21.40
2024-06-13 07:36:56.556223;21.40
2024-06-13 07:36:57.063987;21.40
2024-06-13 07:36:57.571377;21.40
2024-06-13 07:36:58.578773;21.30
2024-06-13 07:36:59.087000;21.30
2024-06-13 07:36:59.595008;21.30
2024-06-13 07:37:00.102970;21.30
2024-06-13 07:37:00.611304;21.30
2024-06-13 07:37:01.119567;21.30
2024-06-13 07:37:01.630658;21.30
2024-06-13 07:37:02.138673;21.30
2024-06-13 07:37:02.646674;21.30
2024-06-13 07:37:03.154452;21.30
2024-06-13 07:37:03.659484;21.30
2024-06-13 07:37:04.168287;21.30
2024-06-13 07:37:04.684758;21.30
2024-06-13 07:37:05.208514;21.30
2024-06-13 07:37:06.220515;21.30
2024-06-13 07:37:06.728310;21.30
2024-06-13 07:37:07.234372;21.30
2024-06-13 07:37:07.743542;21.30
2024-06-13 07:37:08.251095;21.30
2024-06-13 07:37:08.757625;21.30
2024-06-13 07:37:09.264588;21.30
2024-06-13 07:37:09.779992;21.30
2024-06-13 07:37:10.300361;21.30
2024-06-13 07:37:10.813147;21.30
2024-06-13 07:37:11.344649;21.30
2024-06-13 07:37:12.367974;21.30
2024-06-13 07:37:12.875785;21.30
2024-06-13 07:37:13.384146;21.30
2024-06-13 07:37:13.892083;21.30
2024-06-13 07:37:14.400385;21.30
2024-06-13 07:37:15.408899;21.30
2024-06-13 07:37:15.914162;21.30
2024-06-13 07:37:16.422131;21.30
2024-06-13 07:37:16.930102;21.30
