zeitstempel;Particles > 0.3um / 0.1L air;Particles > 0.5um / 0.1L air;Particles > 1.0um / 0.1L air;Particles > 2.5um / 0.1L air;Particles > 5.0um / 0.1L air;Particles > 10.0um / 0.1L air
2024-06-13 07:33:52.205376;495;146;4;2;2;2
2024-06-13 07:33:52.716647;519;149;2;0;0;0
2024-06-13 07:33:53.227324;519;149;2;0;0;0
2024-06-13 07:33:53.731023;519;149;2;0;0;0
2024-06-13 07:33:54.242593;474;129;0;0;0;0
2024-06-13 07:33:54.753555;474;129;0;0;0;0
2024-06-13 07:33:55.264504;474;129;0;0;0;0
2024-06-13 07:33:55.782369;543;144;0;0;0;0
2024-06-13 07:33:56.294381;543;144;0;0;0;0
2024-06-13 07:33:56.829239;543;144;0;0;0;0
2024-06-13 07:33:57.340827;528;141;0;0;0;0
2024-06-13 07:33:57.846409;528;141;0;0;0;0
2024-06-13 07:33:58.362599;528;141;0;0;0;0
2024-06-13 07:33:58.867514;483;128;0;0;0;0
2024-06-13 07:33:59.379363;483;128;0;0;0;0
2024-06-13 07:33:59.903311;483;128;0;0;0;0
2024-06-13 07:34:00.413733;483;128;0;0;0;0
2024-06-13 07:34:01.452771;513;141;0;0;0;0
2024-06-13 07:34:01.963992;513;141;0;0;0;0
2024-06-13 07:34:02.475346;519;143;2;0;0;0
2024-06-13 07:34:02.990449;519;143;2;0;0;0
2024-06-13 07:34:03.503006;519;143;2;0;0;0
2024-06-13 07:34:04.507970;513;140;2;0;0;0
2024-06-13 07:34:05.019054;513;140;2;0;0;0
2024-06-13 07:34:05.530870;513;140;2;0;0;0
2024-06-13 07:34:06.051883;579;163;6;0;0;0
2024-06-13 07:34:06.564028;579;163;6;0;0;0
2024-06-13 07:34:07.076166;579;163;6;0;0;0
2024-06-13 07:34:07.589155;555;155;6;0;0;0
2024-06-13 07:34:08.100333;555;155;6;0;0;0
2024-06-13 07:34:08.604912;555;155;6;0;0;0
2024-06-13 07:34:09.124890;555;155;6;0;0;0
2024-06-13 07:34:09.636280;531;152;6;0;0;0
2024-06-13 07:34:10.146529;531;152;6;0;0;0
2024-06-13 07:34:10.658068;522;152;6;0;0;0
2024-06-13 07:34:11.179516;522;152;6;0;0;0
2024-06-13 07:34:11.703219;522;152;6;0;0;0
2024-06-13 07:34:12.225087;522;152;6;0;0;0
2024-06-13 07:34:13.236276;462;139;6;0;0;0
2024-06-13 07:34:13.752919;462;139;6;0;0;0
2024-06-13 07:34:14.275577;441;132;6;0;0;0
2024-06-13 07:34:14.787740;441;132;6;0;0;0
2024-06-13 07:34:15.298371;441;132;6;0;0;0
2024-06-13 07:34:15.801741;432;127;6;0;0;0
2024-06-13 07:34:16.312654;432;127;6;0;0;0
2024-06-13 07:34:16.823481;432;127;6;0;0;0
