zeitstempel;Particles > 0.3um / 0.1L air;Particles > 0.5um / 0.1L air;Particles > 1.0um / 0.1L air;Particles > 2.5um / 0.1L air;Particles > 5.0um / 0.1L air;Particles > 10.0um / 0.1L air
2024-06-13 07:33:52.207379;696;207;10;0;0;0
2024-06-13 07:33:52.718647;678;198;10;0;0;0
2024-06-13 07:33:53.229341;678;198;10;0;0;0
2024-06-13 07:33:53.741045;678;198;10;0;0;0
2024-06-13 07:33:54.242593;645;192;12;0;0;0
2024-06-13 07:33:54.753555;645;192;12;0;0;0
2024-06-13 07:33:55.264504;645;192;12;0;0;0
2024-06-13 07:33:55.784384;633;192;10;0;0;0
2024-06-13 07:33:56.296381;633;192;10;0;0;0
2024-06-13 07:33:56.831238;633;192;10;0;0;0
2024-06-13 07:33:57.342844;645;196;10;0;0;0
2024-06-13 07:33:57.846409;645;196;10;0;0;0
2024-06-13 07:33:58.362599;645;196;10;0;0;0
2024-06-13 07:33:58.867514;618;192;12;0;0;0
2024-06-13 07:33:59.379363;618;192;12;0;0;0
2024-06-13 07:33:59.905311;618;192;12;0;0;0
2024-06-13 07:34:00.414714;618;192;12;0;0;0
2024-06-13 07:34:01.455788;579;181;10;0;0;0
2024-06-13 07:34:01.965993;579;181;10;0;0;0
2024-06-13 07:34:02.477362;585;185;10;0;0;0
2024-06-13 07:34:02.993448;585;185;10;0;0;0
2024-06-13 07:34:03.505013;585;185;10;0;0;0
2024-06-13 07:34:04.507970;558;179;12;0;0;0
2024-06-13 07:34:05.019054;558;179;12;0;0;0
2024-06-13 07:34:05.530870;558;179;12;0;0;0
2024-06-13 07:34:06.053884;531;170;14;0;0;0
2024-06-13 07:34:06.566028;531;170;14;0;0;0
2024-06-13 07:34:07.078167;531;170;14;0;0;0
2024-06-13 07:34:07.591154;558;179;14;0;0;0
2024-06-13 07:34:08.100333;558;179;14;0;0;0
2024-06-13 07:34:08.604912;558;179;14;0;0;0
2024-06-13 07:34:09.126025;558;179;14;0;0;0
2024-06-13 07:34:09.638281;678;222;16;0;0;0
2024-06-13 07:34:10.149531;678;222;16;0;0;0
2024-06-13 07:34:10.660070;678;222;16;0;0;0
2024-06-13 07:34:11.183204;657;215;14;0;0;0
2024-06-13 07:34:11.708058;657;215;14;0;0;0
2024-06-13 07:34:12.231640;657;215;14;0;0;0
2024-06-13 07:34:13.236276;663;219;16;0;0;0
2024-06-13 07:34:13.754922;663;219;16;0;0;0
2024-06-13 07:34:14.277570;711;232;20;0;0;0
2024-06-13 07:34:14.789740;711;232;20;0;0;0
2024-06-13 07:34:15.300371;711;232;20;0;0;0
2024-06-13 07:34:15.801741;711;232;20;0;0;0
2024-06-13 07:34:16.312654;711;232;20;0;0;0
2024-06-13 07:34:16.823481;711;232;20;0;0;0
2024-06-13 07:34:17.345142;711;232;20;0;0;0
2024-06-13 07:34:17.856988;717;234;22;2;2;2
2024-06-13 07:34:18.368462;717;234;22;2;2;2
2024-06-13 07:34:19.385719;705;228;26;2;2;2
2024-06-13 07:34:19.897063;705;228;26;2;2;2
2024-06-13 07:34:20.409579;705;228;26;2;2;2
2024-06-13 07:34:20.920634;705;228;26;2;2;2
2024-06-13 07:34:21.431893;705;230;24;2;2;2
2024-06-13 07:34:22.442088;705;230;24;2;2;2
2024-06-13 07:34:22.945151;732;235;22;2;2;2
2024-06-13 07:34:23.456139;732;235;22;2;2;2
2024-06-13 07:34:23.976796;732;235;22;2;2;2
2024-06-13 07:34:24.488290;744;232;26;2;2;2
2024-06-13 07:34:25.000177;744;232;26;2;2;2
2024-06-13 07:34:25.510790;744;232;26;2;2;2
2024-06-13 07:34:26.014820;744;232;26;2;2;2
2024-06-13 07:34:26.520121;642;196;20;2;2;2
2024-06-13 07:34:27.029114;642;196;20;2;2;2
2024-06-13 07:34:27.537428;642;196;20;2;2;2
2024-06-13 07:34:28.063346;654;198;22;2;2;2
2024-06-13 07:34:28.587537;654;198;22;2;2;2
2024-06-13 07:34:29.594786;654;198;22;2;2;2
2024-06-13 07:34:30.096049;660;198;24;2;2;2
2024-06-13 07:34:30.603222;660;198;24;2;2;2
2024-06-13 07:34:31.111113;585;176;20;2;2;2
2024-06-13 07:34:31.618141;585;176;20;2;2;2
2024-06-13 07:34:32.630519;585;176;20;2;2;2
2024-06-13 07:34:33.136943;597;176;18;2;2;2
2024-06-13 07:34:33.643301;597;176;18;2;2;2
2024-06-13 07:34:34.150554;597;176;18;2;2;2
2024-06-13 07:34:34.658160;597;176;18;2;2;2
2024-06-13 07:34:35.164916;603;178;16;0;0;0
2024-06-13 07:34:35.666385;603;178;16;0;0;0
2024-06-13 07:34:36.174037;603;178;16;0;0;0
2024-06-13 07:34:36.682069;603;178;12;0;0;0
2024-06-13 07:34:37.189271;603;178;12;0;0;0
2024-06-13 07:34:37.703904;603;178;12;0;0;0
2024-06-13 07:34:38.210017;642;191;18;0;0;0
2024-06-13 07:34:38.717282;642;191;18;0;0;0
2024-06-13 07:34:39.229359;642;191;18;0;0;0
2024-06-13 07:34:40.231279;654;195;18;0;0;0
2024-06-13 07:34:40.739432;654;195;18;0;0;0
2024-06-13 07:34:41.249545;633;193;14;0;0;0
2024-06-13 07:34:41.758968;633;193;14;0;0;0
2024-06-13 07:34:42.267620;633;193;14;0;0;0
2024-06-13 07:34:42.775578;615;186;14;0;0;0
2024-06-13 07:34:43.282318;615;186;14;0;0;0
2024-06-13 07:34:43.800159;615;186;14;0;0;0
2024-06-13 07:34:44.814593;615;186;14;0;0;0
2024-06-13 07:34:44.841067;615;188;12;0;0;0
2024-06-13 07:34:45.369055;615;188;12;0;0;0
2024-06-13 07:34:46.376147;615;188;12;0;0;0
2024-06-13 07:34:46.884169;603;186;6;0;0;0
2024-06-13 07:34:47.392612;603;186;6;0;0;0
2024-06-13 07:34:47.901523;603;186;6;0;0;0
2024-06-13 07:34:48.409590;645;200;6;0;0;0
2024-06-13 07:34:49.418573;645;200;6;0;0;0
2024-06-13 07:34:49.926343;633;200;6;0;0;0
2024-06-13 07:34:50.431261;633;200;6;0;0;0
2024-06-13 07:34:50.938647;633;200;6;0;0;0
2024-06-13 07:34:51.446680;681;207;6;0;0;0
2024-06-13 07:34:51.955700;681;207;6;0;0;0
2024-06-13 07:34:52.464326;681;207;6;0;0;0
2024-06-13 07:34:52.971466;681;207;6;0;0;0
2024-06-13 07:34:53.477314;714;213;6;0;0;0
2024-06-13 07:34:54.485774;714;213;6;0;0;0
2024-06-13 07:34:54.993307;720;211;0;0;0;0
2024-06-13 07:34:55.495281;720;211;0;0;0;0
2024-06-13 07:34:56.006915;720;211;0;0;0;0
2024-06-13 07:34:56.515994;720;211;0;0;0;0
2024-06-13 07:34:57.524353;669;198;0;0;0;0
2024-06-13 07:34:58.525817;711;214;2;0;0;0
2024-06-13 07:34:59.031296;711;214;2;0;0;0
2024-06-13 07:34:59.539459;711;214;2;0;0;0
2024-06-13 07:35:00.046878;735;223;2;0;0;0
2024-06-13 07:35:00.555445;735;223;2;0;0;0
2024-06-13 07:35:01.065850;735;223;2;0;0;0
2024-06-13 07:35:01.571909;735;223;2;0;0;0
2024-06-13 07:35:02.086589;735;219;4;0;0;0
2024-06-13 07:35:02.594601;735;219;4;0;0;0
2024-06-13 07:35:03.102858;735;217;10;0;0;0
2024-06-13 07:35:03.610823;735;217;10;0;0;0
2024-06-13 07:35:04.612518;735;217;10;0;0;0
2024-06-13 07:35:05.120536;735;217;10;0;0;0
2024-06-13 07:35:05.628491;741;219;10;0;0;0
2024-06-13 07:35:06.133547;741;219;10;0;0;0
2024-06-13 07:35:07.141695;699;205;10;0;0;0
2024-06-13 07:35:07.656494;699;205;10;0;0;0
2024-06-13 07:35:08.676139;693;209;12;0;0;0
2024-06-13 07:35:08.708710;693;209;12;0;0;0
2024-06-13 07:35:09.229600;693;209;12;0;0;0
2024-06-13 07:35:09.753553;693;209;12;0;0;0
2024-06-13 07:35:10.277661;627;194;12;0;0;0
2024-06-13 07:35:11.292725;627;194;12;0;0;0
2024-06-13 07:35:11.318411;627;194;12;0;0;0
2024-06-13 07:35:11.842602;567;178;12;0;0;0
2024-06-13 07:35:12.366934;567;178;12;0;0;0
2024-06-13 07:35:13.375717;567;178;12;0;0;0
2024-06-13 07:35:13.884512;573;180;12;0;0;0
2024-06-13 07:35:14.391188;573;180;12;0;0;0
2024-06-13 07:35:14.899142;573;180;12;0;0;0
2024-06-13 07:35:15.407115;558;173;21;0;0;0
2024-06-13 07:35:16.414200;558;173;21;0;0;0
2024-06-13 07:35:16.917062;519;162;21;0;0;0
2024-06-13 07:35:17.424753;519;162;21;0;0;0
2024-06-13 07:35:17.932679;519;162;21;0;0;0
2024-06-13 07:35:18.440800;519;162;21;0;0;0
2024-06-13 07:35:18.950175;540;173;21;0;0;0
2024-06-13 07:35:19.456623;540;173;21;0;0;0
2024-06-13 07:35:19.972295;540;173;21;0;0;0
2024-06-13 07:35:20.480247;492;159;15;0;0;0
2024-06-13 07:35:20.989117;492;159;15;0;0;0
2024-06-13 07:35:21.496922;492;159;15;0;0;0
2024-06-13 07:35:22.498476;477;152;15;0;0;0
2024-06-13 07:35:23.006430;477;152;15;0;0;0
2024-06-13 07:35:23.514113;477;152;15;0;0;0
2024-06-13 07:35:24.021151;492;157;17;0;0;0
2024-06-13 07:35:24.529206;492;157;17;0;0;0
2024-06-13 07:35:25.540330;459;146;15;0;0;0
2024-06-13 07:35:26.047241;459;146;15;0;0;0
2024-06-13 07:35:26.555438;459;146;15;0;0;0
2024-06-13 07:35:27.063210;459;146;15;0;0;0
2024-06-13 07:35:27.571488;519;166;21;0;0;0
2024-06-13 07:35:28.086174;519;166;21;0;0;0
2024-06-13 07:35:28.594515;519;166;21;0;0;0
2024-06-13 07:35:29.101714;555;178;21;0;0;0
2024-06-13 07:35:29.611652;555;178;21;0;0;0
2024-06-13 07:35:30.119538;555;178;21;0;0;0
2024-06-13 07:35:30.627502;582;182;21;0;0;0
2024-06-13 07:35:31.136300;582;182;21;0;0;0
2024-06-13 07:35:31.637293;582;182;21;0;0;0
2024-06-13 07:35:32.645484;522;164;10;0;0;0
2024-06-13 07:35:33.153339;522;164;10;0;0;0
2024-06-13 07:35:33.666947;522;164;10;0;0;0
2024-06-13 07:35:34.175151;543;166;10;0;0;0
2024-06-13 07:35:34.682069;543;166;10;0;0;0
2024-06-13 07:35:36.196856;522;157;8;0;0;0
2024-06-13 07:35:36.230472;522;157;8;0;0;0
2024-06-13 07:35:36.751551;522;157;8;0;0;0
2024-06-13 07:35:37.275393;603;184;10;0;0;0
2024-06-13 07:35:37.799276;603;184;10;0;0;0
2024-06-13 07:35:38.319852;603;184;10;0;0;0
2024-06-13 07:35:39.322392;618;191;12;0;0;0
2024-06-13 07:35:39.837665;618;191;12;0;0;0
2024-06-13 07:35:40.344524;618;191;12;0;0;0
2024-06-13 07:35:40.852778;618;189;10;0;0;0
2024-06-13 07:35:41.361393;618;189;10;0;0;0
2024-06-13 07:35:42.364350;624;192;10;0;0;0
2024-06-13 07:35:43.372950;624;192;10;0;0;0
2024-06-13 07:35:43.886964;624;192;10;0;0;0
2024-06-13 07:35:44.395025;723;218;32;6;2;0
2024-06-13 07:35:44.903811;741;224;40;6;2;0
2024-06-13 07:35:45.411745;741;224;40;6;2;0
2024-06-13 07:35:45.912605;714;220;42;6;2;0
2024-06-13 07:35:46.420266;714;220;42;6;2;0
2024-06-13 07:35:46.928447;774;238;46;6;2;0
2024-06-13 07:35:47.436674;774;243;46;6;2;0
2024-06-13 07:35:47.950607;774;243;46;6;2;0
2024-06-13 07:35:48.459368;789;248;50;6;2;0
2024-06-13 07:35:49.466653;750;235;52;6;2;0
2024-06-13 07:35:49.968560;750;235;52;6;2;0
2024-06-13 07:35:50.476581;768;241;52;6;2;0
2024-06-13 07:35:50.984591;840;265;52;6;2;0
2024-06-13 07:35:51.492733;840;265;52;6;2;0
2024-06-13 07:35:52.501754;819;260;54;6;2;0
2024-06-13 07:35:53.010006;705;223;28;0;0;0
2024-06-13 07:35:53.517980;705;223;28;0;0;0
2024-06-13 07:35:54.023865;753;232;26;0;0;0
2024-06-13 07:35:54.532021;765;234;24;0;0;0
2024-06-13 07:35:55.040482;765;234;24;0;0;0
2024-06-13 07:35:55.549232;765;234;24;0;0;0
2024-06-13 07:35:56.063238;765;234;24;0;0;0
2024-06-13 07:35:56.570816;720;218;22;0;0;0
2024-06-13 07:35:57.079645;720;218;22;0;0;0
2024-06-13 07:35:57.587632;720;218;22;0;0;0
2024-06-13 07:35:58.095113;714;216;22;0;0;0
2024-06-13 07:35:58.602800;714;216;22;0;0;0
2024-06-13 07:35:59.611654;714;216;22;0;0;0
2024-06-13 07:36:00.119584;699;211;18;0;0;0
2024-06-13 07:36:00.626836;699;211;18;0;0;0
2024-06-13 07:36:01.135142;711;211;14;0;0;0
2024-06-13 07:36:01.636875;711;211;14;0;0;0
2024-06-13 07:36:02.646005;711;211;14;0;0;0
2024-06-13 07:36:03.154435;672;198;12;0;0;0
2024-06-13 07:36:03.667510;672;198;12;0;0;0
2024-06-13 07:36:04.174526;672;198;12;0;0;0
2024-06-13 07:36:04.683566;633;187;14;0;0;0
2024-06-13 07:36:05.190499;633;187;14;0;0;0
2024-06-13 07:36:05.691750;633;187;14;0;0;0
2024-06-13 07:36:06.720373;627;185;12;0;0;0
2024-06-13 07:36:06.751174;627;185;12;0;0;0
2024-06-13 07:36:07.275353;627;185;12;0;0;0
2024-06-13 07:36:07.795722;582;176;10;0;0;0
2024-06-13 07:36:08.804201;582;176;10;0;0;0
2024-06-13 07:36:09.313096;582;176;10;0;0;0
2024-06-13 07:36:10.315028;501;156;4;0;0;0
2024-06-13 07:36:10.822804;501;156;4;0;0;0
2024-06-13 07:36:11.330629;483;149;4;0;0;0
2024-06-13 07:36:11.844272;483;149;4;0;0;0
2024-06-13 07:36:12.352375;483;149;4;0;0;0
2024-06-13 07:36:13.360856;501;156;2;0;0;0
2024-06-13 07:36:13.862520;501;156;2;0;0;0
2024-06-13 07:36:14.370658;501;156;2;0;0;0
2024-06-13 07:36:14.879489;486;151;2;0;0;0
2024-06-13 07:36:15.387185;486;151;2;0;0;0
2024-06-13 07:36:15.895276;486;151;2;0;0;0
2024-06-13 07:36:16.404070;486;147;2;0;0;0
2024-06-13 07:36:16.911262;486;147;2;0;0;0
2024-06-13 07:36:17.419732;486;147;2;0;0;0
2024-06-13 07:36:18.435011;432;133;2;0;0;0
2024-06-13 07:36:19.443336;432;133;2;0;0;0
2024-06-13 07:36:19.944967;432;133;2;0;0;0
2024-06-13 07:36:20.452439;438;131;2;0;0;0
2024-06-13 07:36:20.960374;438;131;2;0;0;0
2024-06-13 07:36:21.468737;438;131;2;0;0;0
2024-06-13 07:36:22.478756;432;122;0;0;0;0
2024-06-13 07:36:22.985683;432;122;0;0;0;0
2024-06-13 07:36:23.493754;459;129;0;0;0;0
2024-06-13 07:36:24.000801;459;129;0;0;0;0
2024-06-13 07:36:24.508704;459;129;0;0;0;0
2024-06-13 07:36:25.016716;477;133;2;0;0;0
2024-06-13 07:36:25.524491;477;133;2;0;0;0
2024-06-13 07:36:26.039483;477;133;2;0;0;0
2024-06-13 07:36:26.547340;498;140;2;0;0;0
2024-06-13 07:36:27.067985;498;140;2;0;0;0
2024-06-13 07:36:28.076602;498;143;2;0;0;0
2024-06-13 07:36:28.587581;498;143;2;0;0;0
2024-06-13 07:36:29.596409;498;143;2;0;0;0
2024-06-13 07:36:30.097129;498;143;2;0;0;0
2024-06-13 07:36:30.605416;525;154;6;0;0;0
2024-06-13 07:36:31.113419;525;154;6;0;0;0
2024-06-13 07:36:31.626589;525;154;6;0;0;0
2024-06-13 07:36:32.134097;519;152;6;0;0;0
