zeitstempel;Particles > 0.3um / 0.1L air;Particles > 0.5um / 0.1L air;Particles > 1.0um / 0.1L air;Particles > 2.5um / 0.1L air;Particles > 5.0um / 0.1L air;Particles > 10.0um / 0.1L air
2024-06-13 07:33:52.203375;546;156;13;2;0;0
2024-06-13 07:33:52.714646;552;158;15;2;0;0
2024-06-13 07:33:53.225323;552;158;15;2;0;0
2024-06-13 07:33:53.731023;552;158;15;2;0;0
2024-06-13 07:33:54.242593;546;156;15;2;0;0
2024-06-13 07:33:54.753555;546;156;15;2;0;0
2024-06-13 07:33:55.264504;546;156;15;2;0;0
2024-06-13 07:33:55.780369;504;142;8;2;0;0
2024-06-13 07:33:56.292368;504;142;8;2;0;0
2024-06-13 07:33:56.802965;504;142;8;2;0;0
2024-06-13 07:33:57.338827;504;151;8;2;0;0
2024-06-13 07:33:57.846409;504;151;8;2;0;0
2024-06-13 07:33:58.360558;504;151;8;2;0;0
2024-06-13 07:33:58.867514;492;147;8;0;0;0
2024-06-13 07:33:59.379363;492;147;8;0;0;0
2024-06-13 07:33:59.901310;492;147;8;0;0;0
2024-06-13 07:34:00.411713;465;143;6;0;0;0
2024-06-13 07:34:01.450773;465;143;6;0;0;0
2024-06-13 07:34:01.961992;465;143;6;0;0;0
2024-06-13 07:34:02.473344;450;136;4;0;0;0
2024-06-13 07:34:02.989448;450;136;4;0;0;0
2024-06-13 07:34:03.501007;450;136;4;0;0;0
2024-06-13 07:34:04.507970;408;126;4;0;0;0
2024-06-13 07:34:05.019054;408;126;4;0;0;0
2024-06-13 07:34:05.530870;408;126;4;0;0;0
2024-06-13 07:34:06.048882;465;142;4;0;0;0
2024-06-13 07:34:06.562028;465;142;4;0;0;0
2024-06-13 07:34:07.073150;465;142;4;0;0;0
2024-06-13 07:34:07.587152;480;149;8;0;0;0
2024-06-13 07:34:08.092459;480;149;8;0;0;0
2024-06-13 07:34:08.604912;480;149;8;0;0;0
2024-06-13 07:34:09.115793;459;140;6;0;0;0
2024-06-13 07:34:09.634280;459;140;6;0;0;0
2024-06-13 07:34:10.145529;459;140;6;0;0;0
2024-06-13 07:34:10.657085;507;156;8;0;0;0
2024-06-13 07:34:11.171177;507;156;8;0;0;0
2024-06-13 07:34:11.685927;507;156;8;0;0;0
2024-06-13 07:34:12.225087;549;168;8;0;0;0
2024-06-13 07:34:13.236276;549;168;8;0;0;0
2024-06-13 07:34:13.750902;549;168;8;0;0;0
2024-06-13 07:34:14.274569;522;156;8;0;0;0
2024-06-13 07:34:14.784741;522;156;8;0;0;0
2024-06-13 07:34:15.296356;522;156;8;0;0;0
2024-06-13 07:34:15.801741;585;170;6;0;0;0
2024-06-13 07:34:16.312654;585;170;6;0;0;0
