zeitstempel;Particles > 0.3um / 0.1L air;Particles > 0.5um / 0.1L air;Particles > 1.0um / 0.1L air;Particles > 2.5um / 0.1L air;Particles > 5.0um / 0.1L air;Particles > 10.0um / 0.1L air
2024-06-13 16:19:52.008871;306;99;4;0;0;0
2024-06-13 16:19:52.517118;306;99;4;0;0;0
2024-06-13 16:19:53.023522;306;99;4;0;0;0
2024-06-13 16:19:53.529117;285;87;4;0;0;0
2024-06-13 16:19:54.039044;285;87;4;0;0;0
2024-06-13 16:19:55.049674;276;84;4;0;0;0
2024-06-13 16:19:55.557281;276;84;4;0;0;0
2024-06-13 16:19:56.065120;276;84;4;0;0;0
2024-06-13 16:19:57.074885;243;73;4;0;0;0
2024-06-13 16:19:57.577587;243;73;4;0;0;0
2024-06-13 16:19:58.116746;243;73;4;0;0;0
2024-06-13 16:19:58.621221;234;73;0;0;0;0
2024-06-13 16:19:59.127926;234;73;0;0;0;0
2024-06-13 16:19:59.635251;234;73;0;0;0;0
2024-06-13 16:20:00.142491;204;63;0;0;0;0
2024-06-13 16:20:00.649320;204;63;0;0;0;0
2024-06-13 16:20:02.175032;192;59;0;0;0;0
2024-06-13 16:20:02.711449;192;59;0;0;0;0
2024-06-13 16:20:03.214875;192;59;0;0;0;0
2024-06-13 16:20:04.222948;198;61;0;0;0;0
2024-06-13 16:20:04.729825;198;61;0;0;0;0
2024-06-13 16:20:05.240879;207;64;0;0;0;0
2024-06-13 16:20:05.748514;207;64;0;0;0;0
2024-06-13 16:20:06.256015;207;64;0;0;0;0
2024-06-13 16:20:06.762999;207;64;0;0;0;0
2024-06-13 16:20:07.269059;186;57;0;0;0;0
2024-06-13 16:20:07.774478;186;57;0;0;0;0
2024-06-13 16:20:09.287448;207;64;0;0;0;0
2024-06-13 16:20:09.796170;207;64;0;0;0;0
2024-06-13 16:20:10.303440;207;64;0;0;0;0
2024-06-13 16:20:11.307089;192;64;0;0;0;0
2024-06-13 16:20:11.814322;192;64;0;0;0;0
2024-06-13 16:20:12.321948;207;69;0;0;0;0
2024-06-13 16:20:12.832660;207;69;0;0;0;0
2024-06-13 16:20:13.339664;207;69;0;0;0;0
2024-06-13 16:20:13.847333;207;69;0;0;0;0
