zeitstempel;Latitude;Longitude;Altitude [m];Geschwindigkeit [Km/h];Horizontale Abnahme der Genauigkeit;Number of Satellites
2024-06-13 16:27:11.183218;49.787281;9.978745;418.80;0.00;500;4
2024-06-13 16:27:11.691556;49.787281;9.978745;418.80;0.00;500;4
2024-06-13 16:27:12.198452;49.787281;9.978745;418.80;0.00;500;4
2024-06-13 16:27:13.205632;49.787285;9.978746;418.50;0.00;500;4
2024-06-13 16:27:13.713195;49.787285;9.978746;418.50;0.00;500;4
2024-06-13 16:27:14.221222;49.787285;9.978746;418.50;0.00;500;4
2024-06-13 16:27:14.728909;49.787285;9.978746;418.50;0.00;500;4
2024-06-13 16:27:15.236994;49.787285;9.978746;418.50;0.00;500;4
2024-06-13 16:27:16.245254;49.787285;9.978746;416.50;0.00;310;5
2024-06-13 16:27:16.753135;49.787285;9.978746;416.50;0.00;310;5
2024-06-13 16:27:17.261779;49.787285;9.978746;416.50;0.00;310;5
2024-06-13 16:27:18.270160;49.787296;9.978747;415.60;0.00;240;8
2024-06-13 16:27:18.778387;49.787296;9.978747;415.60;0.00;240;8
2024-06-13 16:27:19.285849;49.787296;9.978747;415.60;0.00;240;8
2024-06-13 16:27:19.794219;49.787296;9.978747;415.60;0.00;240;8
2024-06-13 16:27:20.302028;49.787296;9.978747;415.60;0.00;240;8
2024-06-13 16:27:20.808726;49.787296;9.978747;415.60;0.00;240;8
2024-06-13 16:27:21.816793;49.787296;9.978747;415.60;0.00;240;8
2024-06-13 16:27:22.325395;49.787296;9.978747;415.60;0.00;240;8
2024-06-13 16:27:22.833602;49.787296;9.978747;415.60;0.00;240;8
2024-06-13 16:27:23.341316;49.787296;9.978747;415.60;0.00;240;8
2024-06-13 16:27:23.847954;49.787296;9.978747;415.60;0.00;240;8
2024-06-13 16:27:24.355052;49.787296;9.978747;415.60;0.00;240;8
2024-06-13 16:27:25.367238;49.787296;9.978747;415.60;0.00;240;8
2024-06-13 16:27:25.875214;49.787296;9.978747;415.60;0.00;240;8
2024-06-13 16:27:26.383250;49.787296;9.978747;415.60;0.00;240;8
2024-06-13 16:27:27.392568;49.787334;9.978736;412.10;0.00;240;8
2024-06-13 16:27:27.901664;49.787334;9.978736;412.10;0.00;240;8
2024-06-13 16:27:28.408504;49.787334;9.978736;412.10;0.00;240;8
2024-06-13 16:27:29.414958;49.787342;9.978735;411.20;0.00;240;8
2024-06-13 16:27:29.923439;49.787342;9.978735;411.20;0.00;240;8
2024-06-13 16:27:30.431501;49.787342;9.978735;411.20;0.00;240;8
2024-06-13 16:27:30.939051;49.787342;9.978735;411.20;0.00;240;8
2024-06-13 16:27:31.447455;49.787342;9.978735;411.20;0.00;240;8
2024-06-13 16:27:31.955854;49.787342;9.978735;411.20;0.00;240;8
2024-06-13 16:27:32.463959;49.787342;9.978735;411.20;0.00;240;8
2024-06-13 16:27:33.473366;49.787342;9.978735;411.20;0.00;240;8
2024-06-13 16:27:33.981547;49.787342;9.978735;411.20;0.00;240;8
2024-06-13 16:27:34.489959;49.787342;9.978735;411.20;0.00;240;8
2024-06-13 16:27:34.994987;49.787361;9.978704;411.10;0.00;240;8
2024-06-13 16:27:35.502930;49.787361;9.978704;411.10;0.00;240;8
2024-06-13 16:27:36.010735;49.787361;9.978704;411.10;0.00;240;8
2024-06-13 16:27:36.527206;49.787361;9.978704;411.10;0.00;240;8
2024-06-13 16:27:37.535906;49.787361;9.978704;411.10;0.00;240;8
2024-06-13 16:27:38.044353;49.787361;9.978704;411.10;0.00;240;8
2024-06-13 16:27:38.552627;49.787361;9.978704;411.10;0.00;240;8
2024-06-13 16:27:39.057684;49.787361;9.978704;411.10;0.00;240;8
2024-06-13 16:27:39.565625;49.787361;9.978704;411.10;0.00;240;8
2024-06-13 16:27:40.073388;49.787361;9.978704;411.10;0.00;240;8
2024-06-13 16:27:40.581534;49.787361;9.978704;411.10;0.00;240;8
2024-06-13 16:27:41.590907;49.787361;9.978704;411.10;0.00;240;8
2024-06-13 16:27:42.099214;49.787369;9.978683;410.60;0.00;240;8
2024-06-13 16:27:42.606081;49.787369;9.978683;410.60;0.00;240;8
2024-06-13 16:27:43.111340;49.787369;9.978683;410.60;0.00;240;8
2024-06-13 16:27:43.619604;49.787369;9.978683;410.60;0.00;240;8
2024-06-13 16:27:44.628283;49.787369;9.978683;410.60;0.00;240;8
2024-06-13 16:27:45.135835;49.787369;9.978683;410.60;0.00;240;8
