zeitstempel;Particles > 0.3um / 0.1L air;Particles > 0.5um / 0.1L air;Particles > 1.0um / 0.1L air;Particles > 2.5um / 0.1L air;Particles > 5.0um / 0.1L air;Particles > 10.0um / 0.1L air
2024-06-13 16:19:52.009879;246;65;4;0;0;0
2024-06-13 16:19:52.518119;210;55;4;0;0;0
2024-06-13 16:19:53.023522;210;55;4;0;0;0
2024-06-13 16:19:53.529117;210;55;4;0;0;0
2024-06-13 16:19:54.042040;231;62;4;0;0;0
2024-06-13 16:19:55.050669;231;62;4;0;0;0
2024-06-13 16:19:55.558281;222;55;4;0;0;0
2024-06-13 16:19:56.066118;222;55;4;0;0;0
2024-06-13 16:19:57.074885;222;55;4;0;0;0
2024-06-13 16:19:57.609943;210;51;4;0;0;0
2024-06-13 16:19:58.118805;210;51;4;0;0;0
2024-06-13 16:19:58.621221;210;51;4;0;0;0
2024-06-13 16:19:59.127926;279;74;4;0;0;0
2024-06-13 16:19:59.635251;279;74;4;0;0;0
2024-06-13 16:20:00.142491;279;74;4;0;0;0
2024-06-13 16:20:00.665061;249;69;4;0;0;0
2024-06-13 16:20:02.176032;249;69;4;0;0;0
2024-06-13 16:20:02.712449;219;66;0;0;0;0
2024-06-13 16:20:03.214875;219;66;0;0;0;0
2024-06-13 16:20:04.222948;204;61;0;0;0;0
2024-06-13 16:20:04.729825;204;61;0;0;0;0
2024-06-13 16:20:05.241879;204;61;0;0;0;0
2024-06-13 16:20:05.749514;249;71;0;0;0;0
2024-06-13 16:20:06.257015;249;71;0;0;0;0
2024-06-13 16:20:06.764000;249;71;0;0;0;0
2024-06-13 16:20:07.269059;249;71;0;0;0;0
2024-06-13 16:20:07.774478;249;71;0;0;0;0
2024-06-13 16:20:09.288448;285;83;2;0;0;0
2024-06-13 16:20:09.797170;285;83;2;0;0;0
2024-06-13 16:20:10.304440;285;83;2;0;0;0
2024-06-13 16:20:11.307089;285;83;2;0;0;0
2024-06-13 16:20:11.814322;285;83;2;0;0;0
2024-06-13 16:20:12.321948;285;83;2;0;0;0
2024-06-13 16:20:12.833660;324;95;4;0;0;0
2024-06-13 16:20:13.340658;324;95;4;0;0;0
2024-06-13 16:20:13.848343;324;95;4;0;0;0
2024-06-13 16:20:14.355244;375;109;4;0;0;0
2024-06-13 16:20:14.858774;375;109;4;0;0;0
2024-06-13 16:20:15.366433;375;109;4;0;0;0
2024-06-13 16:20:15.873002;306;84;4;0;0;0
2024-06-13 16:20:16.380245;306;84;4;0;0;0
2024-06-13 16:20:16.888666;306;84;4;0;0;0
2024-06-13 16:20:17.896851;315;87;8;0;0;0
2024-06-13 16:20:18.403840;315;87;8;0;0;0
2024-06-13 16:20:19.419042;330;90;8;0;0;0
2024-06-13 16:20:19.926416;330;90;8;0;0;0
2024-06-13 16:20:20.428712;330;90;8;0;0;0
2024-06-13 16:20:21.435668;351;97;8;0;0;0
2024-06-13 16:20:21.943682;351;97;8;0;0;0
2024-06-13 16:20:22.451181;351;97;8;0;0;0
2024-06-13 16:20:22.959638;342;94;10;2;2;2
2024-06-13 16:20:23.467750;342;94;10;2;2;2
2024-06-13 16:20:23.976034;342;94;10;2;2;2
2024-06-13 16:20:24.484441;342;92;10;2;2;2
2024-06-13 16:20:24.992383;342;92;10;2;2;2
2024-06-13 16:20:25.500643;342;92;10;2;2;2
2024-06-13 16:20:26.008472;312;82;8;2;2;2
2024-06-13 16:20:27.020051;312;82;8;2;2;2
2024-06-13 16:20:27.527818;306;77;8;2;2;2
2024-06-13 16:20:28.033898;306;77;8;2;2;2
2024-06-13 16:20:29.042783;306;77;8;2;2;2
2024-06-13 16:20:29.550628;252;67;6;2;2;2
2024-06-13 16:20:30.059632;252;67;6;2;2;2
2024-06-13 16:20:30.567599;252;67;6;2;2;2
2024-06-13 16:20:31.070640;213;57;6;2;2;2
2024-06-13 16:20:31.578316;213;57;6;2;2;2
