zeitstempel;Particles > 0.3um / 0.1L air;Particles > 0.5um / 0.1L air;Particles > 1.0um / 0.1L air;Particles > 2.5um / 0.1L air;Particles > 5.0um / 0.1L air;Particles > 10.0um / 0.1L air
2024-06-13 16:19:52.010879;267;89;0;0;0;0
2024-06-13 16:19:52.519116;267;89;0;0;0;0
2024-06-13 16:19:53.023522;267;89;0;0;0;0
2024-06-13 16:19:53.529117;267;89;0;0;0;0
2024-06-13 16:19:54.042040;288;92;0;0;0;0
2024-06-13 16:19:55.051672;276;88;0;0;0;0
2024-06-13 16:19:55.559289;276;88;0;0;0;0
2024-06-13 16:19:56.067128;276;88;0;0;0;0
2024-06-13 16:19:57.074885;276;86;0;0;0;0
2024-06-13 16:19:57.609943;276;86;0;0;0;0
2024-06-13 16:19:58.119834;276;86;0;0;0;0
2024-06-13 16:19:58.621221;282;88;2;0;0;0
2024-06-13 16:19:59.127926;282;88;2;0;0;0
2024-06-13 16:19:59.635251;282;88;2;0;0;0
2024-06-13 16:20:00.142491;222;68;2;0;0;0
2024-06-13 16:20:00.667478;222;68;2;0;0;0
2024-06-13 16:20:02.177034;195;59;2;0;0;0
2024-06-13 16:20:02.713439;195;59;2;0;0;0
2024-06-13 16:20:03.214875;195;59;2;0;0;0
2024-06-13 16:20:04.222948;207;61;2;0;0;0
2024-06-13 16:20:04.729825;207;61;2;0;0;0
2024-06-13 16:20:05.242872;186;54;2;0;0;0
2024-06-13 16:20:05.750514;186;54;2;0;0;0
2024-06-13 16:20:06.258015;186;54;2;0;0;0
2024-06-13 16:20:06.765000;186;54;2;0;0;0
2024-06-13 16:20:07.269059;186;54;2;0;0;0
2024-06-13 16:20:07.774478;186;54;2;0;0;0
2024-06-13 16:20:09.289448;225;67;2;0;0;0
2024-06-13 16:20:09.798170;225;67;2;0;0;0
2024-06-13 16:20:10.305440;225;67;2;0;0;0
2024-06-13 16:20:11.312627;198;60;2;0;0;0
2024-06-13 16:20:11.814322;198;60;2;0;0;0
2024-06-13 16:20:12.321948;198;60;2;0;0;0
2024-06-13 16:20:12.834660;198;60;2;0;0;0
2024-06-13 16:20:13.341657;198;60;2;0;0;0
2024-06-13 16:20:13.849333;198;56;2;0;0;0
2024-06-13 16:20:14.357244;198;56;2;0;0;0
2024-06-13 16:20:14.858774;198;56;2;0;0;0
2024-06-13 16:20:15.366433;198;56;2;0;0;0
2024-06-13 16:20:15.873002;177;47;0;0;0;0
2024-06-13 16:20:16.380245;177;47;0;0;0;0
2024-06-13 16:20:16.888666;177;43;0;0;0;0
2024-06-13 16:20:17.899885;177;43;0;0;0;0
2024-06-13 16:20:18.406892;177;43;0;0;0;0
2024-06-13 16:20:19.419042;159;37;0;0;0;0
2024-06-13 16:20:19.926416;159;37;0;0;0;0
2024-06-13 16:20:20.428712;171;43;0;0;0;0
2024-06-13 16:20:21.435668;171;43;0;0;0;0
2024-06-13 16:20:21.943682;171;43;0;0;0;0
2024-06-13 16:20:22.451181;204;54;0;0;0;0
2024-06-13 16:20:22.959638;204;54;0;0;0;0
2024-06-13 16:20:23.467750;204;54;0;0;0;0
2024-06-13 16:20:23.976034;243;63;0;0;0;0
2024-06-13 16:20:24.484441;243;63;0;0;0;0
2024-06-13 16:20:24.992383;243;63;0;0;0;0
2024-06-13 16:20:25.500643;243;63;0;0;0;0
2024-06-13 16:20:26.008472;243;63;2;0;0;0
2024-06-13 16:20:27.021051;243;63;2;0;0;0
2024-06-13 16:20:27.528806;270;67;2;0;0;0
2024-06-13 16:20:28.034898;270;67;2;0;0;0
2024-06-13 16:20:29.043770;270;67;2;0;0;0
2024-06-13 16:20:29.552616;270;67;2;0;0;0
2024-06-13 16:20:30.060632;270;67;2;0;0;0
2024-06-13 16:20:30.568610;291;76;2;0;0;0
2024-06-13 16:20:31.070640;291;76;2;0;0;0
2024-06-13 16:20:31.578316;291;76;2;0;0;0
2024-06-13 16:20:32.085988;324;87;4;0;0;0
2024-06-13 16:20:32.622313;324;87;4;0;0;0
2024-06-13 16:20:33.636752;324;87;4;0;0;0
2024-06-13 16:20:33.663112;324;87;4;0;0;0
2024-06-13 16:20:34.664990;351;100;6;0;0;0
2024-06-13 16:20:35.178137;351;100;6;0;0;0
2024-06-13 16:20:36.186398;363;104;6;0;0;0
2024-06-13 16:20:36.695173;363;104;6;0;0;0
2024-06-13 16:20:37.196256;363;104;6;0;0;0
2024-06-13 16:20:38.204006;384;109;8;0;0;0
2024-06-13 16:20:38.716052;384;109;8;0;0;0
2024-06-13 16:20:39.219969;363;102;8;0;0;0
2024-06-13 16:20:39.727687;363;102;8;0;0;0
2024-06-13 16:20:40.235516;363;102;8;0;0;0
2024-06-13 16:20:40.743657;357;99;8;0;0;0
2024-06-13 16:20:41.252055;357;99;8;0;0;0
2024-06-13 16:20:41.760253;357;99;8;0;0;0
2024-06-13 16:20:42.269036;357;99;8;0;0;0
2024-06-13 16:20:42.777462;330;90;6;0;0;0
2024-06-13 16:20:43.292204;330;90;6;0;0;0
2024-06-13 16:20:44.301702;330;90;6;0;0;0
2024-06-13 16:20:45.303531;318;93;6;0;0;0
2024-06-13 16:20:45.809295;318;93;6;0;0;0
2024-06-13 16:20:46.314416;339;95;10;0;0;0
2024-06-13 16:20:47.328468;339;95;10;0;0;0
2024-06-13 16:20:47.836741;318;90;10;0;0;0
2024-06-13 16:20:48.344700;318;90;10;0;0;0
2024-06-13 16:20:48.846421;318;90;10;0;0;0
