zeitstempel;Latitude;Longitude;Altitude [m];Geschwindigkeit [Km/h];Horizontale Abnahme der Genauigkeit;Number of Satellites
2024-06-17 16:23:35.067902;0.000000;0.000000;0.00;0.00;202400;6
2024-06-17 16:23:35.576056;0.000000;0.000000;0.00;0.00;2550;0
2024-06-17 16:23:36.084349;0.000000;0.000000;0.00;0.00;2550;0
2024-06-17 16:23:36.593289;0.000000;0.000000;0.00;0.00;2550;0
2024-06-17 16:23:37.100902;0.000000;0.000000;0.00;0.00;2550;0
2024-06-17 16:23:37.608628;0.000000;0.000000;0.00;0.00;2550;0
2024-06-17 16:23:38.116178;0.000000;0.000000;0.00;0.00;2550;0
2024-06-17 16:23:39.137888;0.000000;0.000000;0.00;0.00;2550;0
2024-06-17 16:23:39.645472;0.000000;0.000000;0.00;0.00;2550;0
2024-06-17 16:23:40.153067;0.000000;0.000000;0.00;0.00;2550;0
2024-06-17 16:23:40.662426;0.000000;0.000000;0.00;0.00;2550;0
2024-06-17 16:23:41.170042;0.000000;0.000000;0.00;0.00;2550;0
2024-06-17 16:23:41.677484;0.000000;0.000000;0.00;0.00;2550;0
2024-06-17 16:23:42.184636;0.000000;0.000000;0.00;0.00;2550;0
2024-06-17 16:23:42.693056;0.000000;0.000000;0.00;0.00;2550;0
2024-06-17 16:23:43.221572;0.000000;0.000000;0.00;0.00;2550;0
2024-06-17 16:23:44.246795;0.000000;0.000000;0.00;0.00;2550;0
2024-06-17 16:23:44.754583;0.000000;0.000000;0.00;0.00;2550;0
2024-06-17 16:23:45.262391;0.000000;0.000000;0.00;0.00;2550;0
2024-06-17 16:23:46.270257;0.000000;0.000000;0.00;0.00;2550;0
2024-06-17 16:23:46.778657;0.000000;0.000000;0.00;0.00;2550;0
2024-06-17 16:23:47.286750;0.000000;0.000000;0.00;0.00;2550;0
2024-06-17 16:23:47.794504;0.000000;0.000000;0.00;0.00;2550;0
2024-06-17 16:23:48.301263;0.000000;0.000000;0.00;0.00;2550;0
2024-06-17 16:23:48.809298;0.000000;0.000000;0.00;0.00;2550;0
2024-06-17 16:23:49.317445;0.000000;0.000000;0.00;0.00;2550;0
2024-06-17 16:23:49.825317;0.000000;0.000000;0.00;0.00;2550;0
2024-06-17 16:23:50.334479;0.000000;0.000000;0.00;0.00;2550;0
2024-06-17 16:23:50.842628;0.000000;0.000000;0.00;0.00;2550;0
2024-06-17 16:23:51.350293;0.000000;0.000000;0.00;0.00;2550;0
2024-06-17 16:23:51.858270;0.000000;0.000000;0.00;0.00;2550;0
2024-06-17 16:23:52.381062;0.000000;0.000000;0.00;0.00;2550;0
2024-06-17 16:23:53.406397;0.000000;0.000000;0.00;0.00;2550;0
2024-06-17 16:23:53.914532;0.000000;0.000000;0.00;0.00;2550;0
2024-06-17 16:23:54.424002;0.000000;0.000000;0.00;0.00;2550;0
2024-06-17 16:23:55.432279;0.000000;0.000000;0.00;0.00;2550;0
2024-06-17 16:23:55.940782;0.000000;0.000000;0.00;0.00;2550;0
2024-06-17 16:23:56.448031;0.000000;0.000000;0.00;0.00;2550;0
2024-06-17 16:23:56.955891;0.000000;0.000000;0.00;0.00;2550;0
2024-06-17 16:23:57.463781;0.000000;0.000000;0.00;0.00;2550;0
2024-06-17 16:23:57.972031;0.000000;0.000000;0.00;0.00;2550;0
2024-06-17 16:23:58.479277;0.000000;0.000000;0.00;0.00;2550;0
2024-06-17 16:23:58.985779;0.000000;0.000000;0.00;0.00;2550;0
2024-06-17 16:23:59.493630;0.000000;0.000000;0.00;0.00;2550;0
2024-06-17 16:24:00.000041;0.000000;0.000000;0.00;0.00;2550;0
2024-06-17 16:24:00.504711;0.000000;0.000000;0.00;0.00;2550;0
2024-06-17 16:24:01.009431;0.000000;0.000000;0.00;0.00;2550;0
2024-06-17 16:24:01.517161;0.000000;0.000000;0.00;0.00;2550;0
2024-06-17 16:24:02.025658;0.000000;0.000000;0.00;0.00;2550;0
2024-06-17 16:24:02.534377;0.000000;0.000000;0.00;0.00;2550;0
2024-06-17 16:24:03.542716;0.000000;0.000000;0.00;0.00;2550;0
2024-06-17 16:24:04.051150;0.000000;0.000000;0.00;0.00;2550;0
2024-06-17 16:24:04.557823;0.000000;0.000000;0.00;0.00;2550;0
2024-06-17 16:24:05.065651;0.000000;0.000000;0.00;0.00;2550;0
2024-06-17 16:24:05.595585;0.000000;0.000000;0.00;0.00;2550;0
2024-06-17 16:24:06.609849;0.000000;0.000000;0.00;0.00;2550;0
2024-06-17 16:24:07.118112;0.000000;0.000000;0.00;0.00;2550;0
2024-06-17 16:24:07.626208;0.000000;0.000000;0.00;0.00;2550;0
2024-06-17 16:24:08.133657;0.000000;0.000000;0.00;0.00;2550;0
2024-06-17 16:24:08.640070;0.000000;0.000000;0.00;0.00;2550;0
2024-06-17 16:24:09.148273;0.000000;0.000000;0.00;0.00;2550;0
2024-06-17 16:24:09.655484;0.000000;0.000000;0.00;0.00;2550;0
2024-06-17 16:24:10.163150;0.000000;0.000000;0.00;0.00;2550;0
2024-06-17 16:24:11.172333;0.000000;0.000000;0.00;0.00;2550;0
2024-06-17 16:24:11.679678;0.000000;0.000000;0.00;0.00;2550;0
2024-06-17 16:24:12.187075;0.000000;0.000000;0.00;0.00;2550;0
2024-06-17 16:24:12.693735;0.000000;0.000000;0.00;0.00;2550;0
2024-06-17 16:24:13.201480;0.000000;0.000000;0.00;0.00;2550;0
2024-06-17 16:24:13.709235;0.000000;0.000000;0.00;0.00;2550;0
2024-06-17 16:24:14.217072;0.000000;0.000000;0.00;0.00;2550;0
2024-06-17 16:24:15.225207;0.000000;0.000000;0.00;0.00;2550;0
2024-06-17 16:24:15.731347;0.000000;0.000000;0.00;0.00;2550;0
2024-06-17 16:24:16.236585;49.787113;9.978637;358.30;0.00;160;8
2024-06-17 16:24:16.745360;49.787113;9.978637;358.30;0.00;160;8
2024-06-17 16:24:17.253115;49.787113;9.978637;358.30;0.00;160;8
2024-06-17 16:24:18.260384;49.787117;9.978625;357.90;0.00;160;8
2024-06-17 16:24:18.768357;49.787117;9.978625;357.90;0.00;160;8
2024-06-17 16:24:19.274323;49.787117;9.978625;357.90;0.00;160;8
2024-06-17 16:24:19.780411;49.787117;9.978625;357.90;0.00;160;8
2024-06-17 16:24:20.288514;49.787117;9.978625;357.90;0.00;160;8
2024-06-17 16:24:21.296467;49.787117;9.978608;355.60;0.00;160;9
2024-06-17 16:24:21.802556;49.787117;9.978608;355.60;0.00;160;9
2024-06-17 16:24:22.310134;49.787117;9.978608;355.60;0.00;160;9
2024-06-17 16:24:22.815991;49.787117;9.978608;355.60;0.00;160;9
2024-06-17 16:24:23.323373;49.787117;9.978608;355.60;0.00;160;9
2024-06-17 16:24:24.331769;49.787121;9.978596;355.20;0.00;160;9
2024-06-17 16:24:24.840090;49.787121;9.978596;355.20;0.00;160;9
2024-06-17 16:24:25.348533;49.787121;9.978596;355.20;0.00;160;9
2024-06-17 16:24:26.358166;49.787125;9.978592;355.00;0.00;160;9
2024-06-17 16:24:26.866289;49.787125;9.978592;355.00;0.00;160;9
2024-06-17 16:24:27.373661;49.787125;9.978592;355.00;0.00;160;9
2024-06-17 16:24:27.881291;49.787125;9.978592;355.00;0.00;160;9
2024-06-17 16:24:28.388378;49.787125;9.978592;355.00;0.00;160;9
2024-06-17 16:24:28.896337;49.787125;9.978592;355.00;0.00;160;9
2024-06-17 16:24:29.903797;49.787125;9.978592;355.00;0.00;160;9
2024-06-17 16:24:30.411897;49.787125;9.978592;355.00;0.00;160;9
2024-06-17 16:24:30.917052;49.787125;9.978592;355.00;0.00;160;9
2024-06-17 16:24:31.423314;49.787125;9.978592;355.00;0.00;160;9
2024-06-17 16:24:32.431264;49.787132;9.978581;354.50;0.00;170;9
2024-06-17 16:24:32.939189;49.787132;9.978581;354.50;0.00;170;9
2024-06-17 16:24:33.447213;49.787132;9.978581;354.50;0.00;170;9
2024-06-17 16:24:33.954168;49.787132;9.978581;354.50;0.00;170;9
2024-06-17 16:24:34.460615;49.787132;9.978581;354.50;0.00;170;9
2024-06-17 16:24:35.468363;49.787140;9.978574;354.50;0.00;170;9
2024-06-17 16:24:35.976492;49.787140;9.978574;354.50;0.00;170;9
2024-06-17 16:24:36.484715;49.787140;9.978574;354.50;0.00;170;9
2024-06-17 16:24:36.991930;49.787140;9.978574;354.50;0.00;170;9
2024-06-17 16:24:37.498908;49.787140;9.978574;354.50;0.00;170;9
2024-06-17 16:24:38.004109;49.787140;9.978574;354.50;0.00;170;9
2024-06-17 16:24:38.510183;49.787140;9.978574;354.50;0.00;170;9
2024-06-17 16:24:39.518519;49.787148;9.978565;354.60;0.00;140;10
2024-06-17 16:24:40.026524;49.787148;9.978565;354.60;0.00;140;10
2024-06-17 16:24:40.533581;49.787148;9.978565;354.60;0.00;140;10
2024-06-17 16:24:41.540984;49.787155;9.978559;354.70;0.00;140;10
2024-06-17 16:24:42.048184;49.787155;9.978559;354.70;0.00;140;10
2024-06-17 16:24:42.555566;49.787155;9.978559;354.70;0.00;140;10
2024-06-17 16:24:43.063549;49.787159;9.978555;354.80;0.00;140;10
2024-06-17 16:24:43.573184;49.787159;9.978555;354.80;0.00;140;10
2024-06-17 16:24:44.596062;49.787159;9.978555;354.80;0.00;140;10
2024-06-17 16:24:45.104136;49.787159;9.978555;354.80;0.00;140;10
2024-06-17 16:24:45.610770;49.787159;9.978555;354.80;0.00;140;10
2024-06-17 16:24:46.116128;49.787159;9.978551;355.00;0.00;120;12
2024-06-17 16:24:47.122736;49.787159;9.978551;355.00;0.00;120;12
2024-06-17 16:24:47.630914;49.787159;9.978551;355.00;0.00;120;12
2024-06-17 16:24:48.138637;49.787159;9.978552;354.90;0.00;120;12
2024-06-17 16:24:48.645130;49.787159;9.978552;354.90;0.00;120;12
2024-06-17 16:24:49.153562;49.787159;9.978552;354.90;0.00;120;12
2024-06-17 16:24:50.162485;49.787159;9.978552;354.90;0.00;120;12
2024-06-17 16:24:50.670860;49.787159;9.978552;354.90;0.00;120;12
2024-06-17 16:24:51.178111;49.787159;9.978552;354.90;0.00;120;12
2024-06-17 16:24:51.685971;49.787159;9.978552;354.90;0.00;120;12
2024-06-17 16:24:52.193964;49.787159;9.978552;354.90;0.00;120;12
2024-06-17 16:24:52.700653;49.787159;9.978552;354.90;0.00;120;12
2024-06-17 16:24:53.208421;49.787159;9.978552;354.90;0.00;120;12
2024-06-17 16:24:53.713917;49.787159;9.978552;354.90;0.00;120;12
2024-06-17 16:24:54.218942;49.787159;9.978552;354.90;0.00;120;12
2024-06-17 16:24:55.246223;49.787159;9.978552;354.90;0.00;120;12
2024-06-17 16:24:55.753860;49.787159;9.978552;354.90;0.00;120;12
