zeitstempel;Particles > 0.3um / 0.1L air;Particles > 0.5um / 0.1L air;Particles > 1.0um / 0.1L air;Particles > 2.5um / 0.1L air;Particles > 5.0um / 0.1L air;Particles > 10.0um / 0.1L air
2024-06-17 16:21:02.470908;90;30;0;0;0;0
2024-06-17 16:21:02.982469;90;30;0;0;0;0
2024-06-17 16:21:03.493629;102;34;0;0;0;0
2024-06-17 16:21:04.504728;102;34;0;0;0;0
2024-06-17 16:21:05.015951;102;34;0;0;0;0
2024-06-17 16:21:05.526569;75;25;0;0;0;0
2024-06-17 16:21:06.037171;75;25;0;0;0;0
2024-06-17 16:21:06.540527;75;25;0;0;0;0
2024-06-17 16:21:07.057954;69;23;0;0;0;0
2024-06-17 16:21:07.579828;69;23;0;0;0;0
2024-06-17 16:21:08.085354;69;23;0;0;0;0
2024-06-17 16:21:08.602990;63;21;0;0;0;0
2024-06-17 16:21:09.123578;63;21;0;0;0;0
2024-06-17 16:21:09.643592;63;21;0;0;0;0
2024-06-17 16:21:10.163954;57;19;0;0;0;0
2024-06-17 16:21:10.684358;57;19;0;0;0;0
2024-06-17 16:21:11.208004;57;19;0;0;0;0
2024-06-17 16:21:11.746035;57;19;0;0;0;0
2024-06-17 16:21:12.750215;51;17;0;0;0;0
2024-06-17 16:21:13.261020;51;17;0;0;0;0
2024-06-17 16:21:14.305163;72;24;0;0;0;0
2024-06-17 16:21:14.817172;72;24;0;0;0;0
2024-06-17 16:21:15.331029;72;24;0;0;0;0
2024-06-17 16:21:15.842420;57;19;0;0;0;0
2024-06-17 16:21:16.346582;57;19;0;0;0;0
2024-06-17 16:21:16.857330;57;19;0;0;0;0
2024-06-17 16:21:17.367945;51;17;0;0;0;0
2024-06-17 16:21:18.386965;51;17;0;0;0;0
2024-06-17 16:21:18.897750;51;17;0;0;0;0
2024-06-17 16:21:19.408379;39;13;0;0;0;0
2024-06-17 16:21:19.919984;39;13;0;0;0;0
2024-06-17 16:21:20.423332;39;13;0;0;0;0
2024-06-17 16:21:20.934116;54;18;2;0;0;0
2024-06-17 16:21:21.444693;54;18;2;0;0;0
2024-06-17 16:21:21.955693;54;18;2;0;0;0
2024-06-17 16:21:22.474884;60;20;2;0;0;0
2024-06-17 16:21:22.986104;60;20;2;0;0;0
2024-06-17 16:21:23.497001;60;20;2;0;0;0
2024-06-17 16:21:24.500985;72;24;2;0;0;0
2024-06-17 16:21:25.011718;72;24;2;0;0;0
2024-06-17 16:21:25.522278;72;24;2;0;0;0
2024-06-17 16:21:26.033155;72;24;2;0;0;0
2024-06-17 16:21:26.551457;72;24;2;0;0;0
2024-06-17 16:21:27.061648;72;24;2;0;0;0
2024-06-17 16:21:27.572899;78;26;2;0;0;0
2024-06-17 16:21:28.083003;78;26;2;0;0;0
2024-06-17 16:21:28.587526;78;26;2;0;0;0
2024-06-17 16:21:29.105925;90;30;2;0;0;0
2024-06-17 16:21:29.614601;90;30;2;0;0;0
2024-06-17 16:21:30.120702;90;30;2;0;0;0
2024-06-17 16:21:30.638095;75;25;2;0;0;0
2024-06-17 16:21:31.148367;75;25;2;0;0;0
2024-06-17 16:21:31.658846;75;25;2;0;0;0
2024-06-17 16:21:32.669781;81;25;2;0;0;0
2024-06-17 16:21:33.181098;81;25;2;0;0;0
2024-06-17 16:21:34.192909;87;27;2;0;0;0
2024-06-17 16:21:34.696152;87;27;2;0;0;0
2024-06-17 16:21:35.206972;87;27;2;0;0;0
2024-06-17 16:21:36.219282;93;29;2;0;0;0
2024-06-17 16:21:36.738009;93;29;2;0;0;0
2024-06-17 16:21:37.248765;93;29;2;0;0;0
2024-06-17 16:21:37.759865;78;22;0;0;0;0
2024-06-17 16:21:38.273178;78;22;0;0;0;0
2024-06-17 16:21:38.784353;78;22;0;0;0;0
2024-06-17 16:21:39.295141;93;24;0;0;0;0
2024-06-17 16:21:39.805539;93;24;0;0;0;0
2024-06-17 16:21:41.311494;87;22;0;0;0;0
2024-06-17 16:21:41.821618;87;22;0;0;0;0
2024-06-17 16:21:42.339230;87;22;0;0;0;0
2024-06-17 16:21:43.350515;87;22;0;0;0;0
2024-06-17 16:21:43.860866;87;22;0;0;0;0
2024-06-17 16:21:44.370737;81;20;0;0;0;0
2024-06-17 16:21:44.881588;81;20;0;0;0;0
2024-06-17 16:21:45.391703;81;20;0;0;0;0
2024-06-17 16:21:45.901791;69;16;0;0;0;0
2024-06-17 16:21:46.405965;69;16;0;0;0;0
2024-06-17 16:21:46.916823;69;16;0;0;0;0
2024-06-17 16:21:48.435581;69;16;0;0;0;0
2024-06-17 16:21:48.945913;69;16;0;0;0;0
2024-06-17 16:21:49.456822;57;14;0;0;0;0
2024-06-17 16:21:49.979937;57;14;0;0;0;0
2024-06-17 16:21:50.483634;57;14;0;0;0;0
2024-06-17 16:21:51.494980;57;14;0;0;0;0
2024-06-17 16:21:52.005525;57;14;0;0;0;0
2024-06-17 16:21:52.540070;57;14;0;0;0;0
2024-06-17 16:21:53.051565;51;12;0;0;0;0
2024-06-17 16:21:53.562366;51;12;0;0;0;0
2024-06-17 16:21:54.082647;51;12;0;0;0;0
2024-06-17 16:21:55.094431;39;10;0;0;0;0
2024-06-17 16:21:55.606498;39;10;0;0;0;0
2024-06-17 16:21:56.121469;18;6;0;0;0;0
2024-06-17 16:21:57.128706;18;6;0;0;0;0
2024-06-17 16:21:57.639159;18;6;0;0;0;0
2024-06-17 16:21:58.160118;18;6;0;0;0;0
2024-06-17 16:21:58.676592;18;6;0;0;0;0
2024-06-17 16:21:59.188369;18;6;0;0;0;0
2024-06-17 16:21:59.699181;18;6;0;0;0;0
2024-06-17 16:22:00.214905;18;6;0;0;0;0
2024-06-17 16:22:00.738919;18;6;0;0;0;0
2024-06-17 16:22:02.246273;39;13;0;0;0;0
2024-06-17 16:22:02.756517;39;13;0;0;0;0
2024-06-17 16:22:03.267162;51;15;0;0;0;0
2024-06-17 16:22:04.286069;51;15;0;0;0;0
2024-06-17 16:22:04.796766;45;13;0;0;0;0
2024-06-17 16:22:05.307300;45;13;0;0;0;0
2024-06-17 16:22:05.818051;45;13;0;0;0;0
2024-06-17 16:22:06.341650;45;13;0;0;0;0
2024-06-17 16:22:06.854792;45;13;0;0;0;0
2024-06-17 16:22:07.366317;45;13;0;0;0;0
2024-06-17 16:22:07.876894;60;18;0;0;0;0
2024-06-17 16:22:09.388919;60;18;0;0;0;0
2024-06-17 16:22:09.897509;66;18;0;0;0;0
2024-06-17 16:22:10.403176;66;18;0;0;0;0
2024-06-17 16:22:11.409714;66;18;0;0;0;0
2024-06-17 16:22:11.914564;66;18;0;0;0;0
2024-06-17 16:22:12.426233;66;18;0;0;0;0
2024-06-17 16:22:12.931883;66;18;0;0;0;0
2024-06-17 16:22:13.437831;66;18;0;0;0;0
2024-06-17 16:22:13.943466;66;18;0;0;0;0
2024-06-17 16:22:14.446146;66;18;0;0;0;0
2024-06-17 16:22:14.953377;72;20;0;0;0;0
2024-06-17 16:22:15.961651;72;20;0;0;0;0
2024-06-17 16:22:16.480191;84;24;0;0;0;0
2024-06-17 16:22:17.491618;84;24;0;0;0;0
2024-06-17 16:22:18.000886;63;17;0;0;0;0
2024-06-17 16:22:18.503236;63;17;0;0;0;0
2024-06-17 16:22:19.509046;63;17;0;0;0;0
2024-06-17 16:22:20.017023;57;17;0;0;0;0
2024-06-17 16:22:20.528764;57;17;0;0;0;0
2024-06-17 16:22:21.035641;57;17;0;0;0;0
2024-06-17 16:22:21.542530;57;17;0;0;0;0
2024-06-17 16:22:22.048749;57;17;0;0;0;0
2024-06-17 16:22:23.050821;57;17;0;0;0;0
2024-06-17 16:22:23.557616;57;17;0;0;0;0
2024-06-17 16:22:24.082677;57;17;0;0;0;0
2024-06-17 16:22:25.088695;42;12;0;0;0;0
2024-06-17 16:22:25.595473;42;12;0;0;0;0
2024-06-17 16:22:26.102619;42;12;0;0;0;0
2024-06-17 16:22:26.612332;48;14;0;0;0;0
2024-06-17 16:22:27.115918;48;14;0;0;0;0
2024-06-17 16:22:27.628491;48;14;0;0;0;0
2024-06-17 16:22:28.652858;75;23;0;0;0;0
2024-06-17 16:22:29.161498;75;23;0;0;0;0
2024-06-17 16:22:30.169379;81;25;0;0;0;0
2024-06-17 16:22:30.678000;81;25;0;0;0;0
2024-06-17 16:22:31.186473;81;25;0;0;0;0
2024-06-17 16:22:32.195300;90;25;0;0;0;0
2024-06-17 16:22:32.697510;90;25;0;0;0;0
2024-06-17 16:22:33.205237;78;21;0;0;0;0
2024-06-17 16:22:33.713243;78;21;0;0;0;0
2024-06-17 16:22:34.221402;78;21;0;0;0;0
2024-06-17 16:22:34.735196;78;21;0;0;0;0
2024-06-17 16:22:35.243570;78;21;0;0;0;0
2024-06-17 16:22:35.750791;78;21;0;0;0;0
2024-06-17 16:22:37.260281;78;19;0;0;0;0
2024-06-17 16:22:37.769273;78;19;0;0;0;0
2024-06-17 16:22:38.277523;78;19;0;0;0;0
2024-06-17 16:22:39.285194;78;19;0;0;0;0
2024-06-17 16:22:39.793000;78;19;0;0;0;0
2024-06-17 16:22:40.295864;105;26;0;0;0;0
2024-06-17 16:22:40.803958;105;26;0;0;0;0
2024-06-17 16:22:41.312036;105;26;0;0;0;0
2024-06-17 16:22:41.819937;105;26;0;0;0;0
2024-06-17 16:22:42.333159;105;26;0;0;0;0
2024-06-17 16:22:42.842332;105;26;0;0;0;0
2024-06-17 16:22:44.345449;99;24;0;0;0;0
2024-06-17 16:22:44.853289;99;24;0;0;0;0
2024-06-17 16:22:45.361665;72;15;0;0;0;0
2024-06-17 16:22:46.374596;72;15;0;0;0;0
2024-06-17 16:22:46.883352;72;15;0;0;0;0
2024-06-17 16:22:47.392116;66;13;0;0;0;0
2024-06-17 16:22:47.899835;66;13;0;0;0;0
2024-06-17 16:22:48.407727;66;13;0;0;0;0
2024-06-17 16:22:48.915634;57;13;0;0;0;0
2024-06-17 16:22:49.424511;57;13;0;0;0;0
2024-06-17 16:22:49.931943;57;13;0;0;0;0
2024-06-17 16:22:51.436161;63;15;0;0;0;0
2024-06-17 16:22:51.944508;63;15;0;0;0;0
2024-06-17 16:22:52.457304;63;15;0;0;0;0
2024-06-17 16:22:52.964445;63;15;0;0;0;0
2024-06-17 16:22:53.480643;69;17;0;0;0;0
2024-06-17 16:22:54.486563;69;17;0;0;0;0
2024-06-17 16:22:54.994482;69;17;0;0;0;0
2024-06-17 16:22:55.502613;69;17;0;0;0;0
2024-06-17 16:22:56.015067;69;17;0;0;0;0
2024-06-17 16:22:56.522976;69;17;0;0;0;0
2024-06-17 16:22:57.031576;63;17;0;0;0;0
2024-06-17 16:22:58.039162;63;17;0;0;0;0
2024-06-17 16:22:58.542161;69;19;0;0;0;0
2024-06-17 16:22:59.552167;69;19;0;0;0;0
2024-06-17 16:23:00.058995;69;19;0;0;0;0
2024-06-17 16:23:00.569852;63;19;0;0;0;0
2024-06-17 16:23:01.078917;63;19;0;0;0;0
2024-06-17 16:23:01.603220;63;19;0;0;0;0
2024-06-17 16:23:02.617113;69;21;0;0;0;0
2024-06-17 16:23:03.136770;69;21;0;0;0;0
2024-06-17 16:23:03.640053;69;21;0;0;0;0
2024-06-17 16:23:04.147990;69;21;0;0;0;0
2024-06-17 16:23:04.660579;69;21;0;0;0;0
2024-06-17 16:23:05.167969;69;21;0;0;0;0
2024-06-17 16:23:05.676559;57;17;0;0;0;0
2024-06-17 16:23:06.185136;57;17;0;0;0;0
2024-06-17 16:23:07.187983;57;15;0;0;0;0
2024-06-17 16:23:07.695630;57;15;0;0;0;0
2024-06-17 16:23:08.203427;57;15;0;0;0;0
2024-06-17 16:23:08.714914;57;15;0;0;0;0
2024-06-17 16:23:09.222653;57;15;0;0;0;0
2024-06-17 16:23:09.730267;57;15;0;0;0;0
2024-06-17 16:23:10.238856;51;15;0;0;0;0
2024-06-17 16:23:10.740939;51;15;0;0;0;0
2024-06-17 16:23:11.249524;51;15;0;0;0;0
2024-06-17 16:23:11.759572;51;15;0;0;0;0
2024-06-17 16:23:12.771038;51;15;0;0;0;0
2024-06-17 16:23:13.278104;51;15;0;0;0;0
2024-06-17 16:23:14.281686;30;8;0;0;0;0
2024-06-17 16:23:14.789659;30;8;0;0;0;0
2024-06-17 16:23:15.298265;30;8;0;0;0;0
2024-06-17 16:23:16.312584;24;6;0;0;0;0
2024-06-17 16:23:16.819969;24;6;0;0;0;0
2024-06-17 16:23:17.327421;36;10;2;2;2;0
2024-06-17 16:23:17.836382;36;10;2;2;2;0
2024-06-17 16:23:18.343678;36;10;2;2;2;0
2024-06-17 16:23:18.850938;30;8;2;2;2;0
2024-06-17 16:23:19.358131;30;8;2;2;2;0
2024-06-17 16:23:19.866138;30;8;2;2;2;0
2024-06-17 16:23:21.369507;57;17;2;2;2;0
2024-06-17 16:23:21.881500;57;17;2;2;2;0
2024-06-17 16:23:22.390514;69;17;2;2;2;0
2024-06-17 16:23:23.397814;69;17;2;2;2;0
2024-06-17 16:23:23.906812;69;17;2;2;2;0
2024-06-17 16:23:24.409613;75;21;2;2;2;0
2024-06-17 16:23:24.919037;75;21;2;2;2;0
2024-06-17 16:23:25.425618;75;21;2;2;2;0
2024-06-17 16:23:25.933631;102;30;2;2;2;0
2024-06-17 16:23:26.446493;102;30;2;2;2;0
2024-06-17 16:23:26.955150;102;30;2;2;2;0
2024-06-17 16:23:27.963219;96;28;2;2;2;0
2024-06-17 16:23:28.478345;96;28;2;2;2;0
2024-06-17 16:23:29.493836;102;30;2;2;2;0
2024-06-17 16:23:30.001186;102;30;2;2;2;0
2024-06-17 16:23:30.506658;108;32;2;2;2;0
2024-06-17 16:23:31.511971;108;32;2;2;2;0
2024-06-17 16:23:32.019978;108;32;2;2;2;0
2024-06-17 16:23:32.532821;123;34;2;2;2;0
2024-06-17 16:23:33.040116;123;34;2;2;2;0
2024-06-17 16:23:33.548049;123;34;2;2;2;0
2024-06-17 16:23:34.057069;123;34;2;2;2;0
2024-06-17 16:23:34.559469;111;30;0;0;0;0
2024-06-17 16:23:35.067902;111;30;0;0;0;0
2024-06-17 16:23:35.576056;111;30;0;0;0;0
2024-06-17 16:23:36.084349;111;30;0;0;0;0
2024-06-17 16:23:36.597289;111;30;0;0;0;0
2024-06-17 16:23:37.104889;111;30;0;0;0;0
2024-06-17 16:23:37.612615;84;21;0;0;0;0
2024-06-17 16:23:38.132703;84;21;0;0;0;0
2024-06-17 16:23:39.137888;108;30;0;0;0;0
2024-06-17 16:23:39.645472;108;30;0;0;0;0
2024-06-17 16:23:40.153067;108;30;0;0;0;0
2024-06-17 16:23:40.666420;123;33;0;0;0;0
2024-06-17 16:23:41.174027;123;33;0;0;0;0
2024-06-17 16:23:41.681476;123;33;0;0;0;0
2024-06-17 16:23:42.188636;123;33;0;0;0;0
2024-06-17 16:23:42.708689;117;26;0;0;0;0
2024-06-17 16:23:43.221572;117;26;0;0;0;0
2024-06-17 16:23:44.246795;144;35;4;2;2;2
2024-06-17 16:23:44.758585;144;35;4;2;2;2
2024-06-17 16:23:45.266360;144;35;4;2;2;2
2024-06-17 16:23:46.275244;159;40;6;2;2;2
2024-06-17 16:23:46.783636;159;40;6;2;2;2
