zeitstempel;Particles > 0.3um / 0.1L air;Particles > 0.5um / 0.1L air;Particles > 1.0um / 0.1L air;Particles > 2.5um / 0.1L air;Particles > 5.0um / 0.1L air;Particles > 10.0um / 0.1L air
2024-06-17 16:21:02.472910;78;16;0;0;0;0
2024-06-17 16:21:02.984469;78;16;0;0;0;0
2024-06-17 16:21:03.495629;66;16;0;0;0;0
2024-06-17 16:21:04.506743;66;16;0;0;0;0
2024-06-17 16:21:05.017951;66;16;0;0;0;0
2024-06-17 16:21:05.528569;78;18;0;0;0;0
2024-06-17 16:21:06.039187;78;18;0;0;0;0
2024-06-17 16:21:06.540527;78;18;0;0;0;0
2024-06-17 16:21:07.057954;90;22;0;0;0;0
2024-06-17 16:21:07.579828;90;22;0;0;0;0
2024-06-17 16:21:08.085354;90;22;0;0;0;0
2024-06-17 16:21:08.607970;96;22;0;0;0;0
2024-06-17 16:21:09.127579;96;22;0;0;0;0
2024-06-17 16:21:09.647593;96;22;0;0;0;0
2024-06-17 16:21:10.167954;90;22;0;0;0;0
2024-06-17 16:21:11.186427;90;22;0;0;0;0
2024-06-17 16:21:11.213012;90;22;0;0;0;0
2024-06-17 16:21:11.748035;90;22;0;0;0;0
2024-06-17 16:21:12.750215;96;26;4;0;0;0
2024-06-17 16:21:13.261020;96;26;4;0;0;0
2024-06-17 16:21:14.308165;96;28;4;0;0;0
2024-06-17 16:21:14.819187;96;28;4;0;0;0
2024-06-17 16:21:15.334013;96;28;4;0;0;0
2024-06-17 16:21:15.844421;96;26;4;0;0;0
2024-06-17 16:21:16.346582;96;26;4;0;0;0
2024-06-17 16:21:16.857330;96;26;4;0;0;0
2024-06-17 16:21:17.367945;96;26;4;0;0;0
2024-06-17 16:21:18.387965;96;26;4;0;0;0
2024-06-17 16:21:18.899750;96;26;4;0;0;0
2024-06-17 16:21:19.411396;102;28;4;0;0;0
2024-06-17 16:21:19.921998;102;28;4;0;0;0
2024-06-17 16:21:20.423332;102;28;4;0;0;0
2024-06-17 16:21:20.934116;114;30;4;0;0;0
2024-06-17 16:21:21.444693;114;30;4;0;0;0
2024-06-17 16:21:21.955693;114;30;4;0;0;0
2024-06-17 16:21:22.476901;120;32;4;0;0;0
2024-06-17 16:21:22.988104;120;32;4;0;0;0
2024-06-17 16:21:23.499018;120;32;4;0;0;0
2024-06-17 16:21:24.500985;108;28;4;0;0;0
2024-06-17 16:21:25.011718;108;28;4;0;0;0
2024-06-17 16:21:25.522278;108;28;4;0;0;0
2024-06-17 16:21:26.033155;102;28;4;0;0;0
2024-06-17 16:21:26.552445;102;28;4;0;0;0
2024-06-17 16:21:27.062638;102;28;4;0;0;0
2024-06-17 16:21:27.573900;90;24;4;0;0;0
2024-06-17 16:21:28.085000;90;24;4;0;0;0
2024-06-17 16:21:28.587526;90;24;4;0;0;0
2024-06-17 16:21:29.107234;72;18;0;0;0;0
2024-06-17 16:21:29.614601;72;18;0;0;0;0
2024-06-17 16:21:30.120702;72;18;0;0;0;0
2024-06-17 16:21:30.640114;66;16;0;0;0;0
2024-06-17 16:21:31.150383;66;16;0;0;0;0
2024-06-17 16:21:31.660851;66;16;0;0;0;0
2024-06-17 16:21:32.671798;54;14;0;0;0;0
2024-06-17 16:21:33.182082;54;14;0;0;0;0
2024-06-17 16:21:34.194925;60;14;0;0;0;0
2024-06-17 16:21:34.696152;60;14;0;0;0;0
2024-06-17 16:21:35.206972;60;14;0;0;0;0
2024-06-17 16:21:36.228289;54;12;0;0;0;0
2024-06-17 16:21:36.738993;54;12;0;0;0;0
2024-06-17 16:21:37.250765;54;12;0;0;0;0
2024-06-17 16:21:37.760851;36;8;0;0;0;0
2024-06-17 16:21:38.275179;36;8;0;0;0;0
2024-06-17 16:21:38.786368;36;8;0;0;0;0
2024-06-17 16:21:39.297156;36;10;0;0;0;0
2024-06-17 16:21:39.807559;36;10;0;0;0;0
2024-06-17 16:21:41.311494;54;14;0;0;0;0
2024-06-17 16:21:41.821618;54;14;0;0;0;0
2024-06-17 16:21:42.341246;54;14;0;0;0;0
2024-06-17 16:21:43.352516;60;14;0;0;0;0
2024-06-17 16:21:43.861850;60;14;0;0;0;0
2024-06-17 16:21:44.372737;72;18;0;0;0;0
2024-06-17 16:21:44.882573;72;18;0;0;0;0
2024-06-17 16:21:45.392686;72;18;0;0;0;0
2024-06-17 16:21:45.903794;72;18;0;0;0;0
2024-06-17 16:21:46.405965;72;18;0;0;0;0
2024-06-17 16:21:46.916823;72;18;0;0;0;0
2024-06-17 16:21:48.436565;72;18;0;0;0;0
2024-06-17 16:21:48.947914;72;18;0;0;0;0
