zeitstempel;Particles > 0.3um / 0.1L air;Particles > 0.5um / 0.1L air;Particles > 1.0um / 0.1L air;Particles > 2.5um / 0.1L air;Particles > 5.0um / 0.1L air;Particles > 10.0um / 0.1L air
2024-06-17 16:21:02.468905;162;48;0;0;0;0
2024-06-17 16:21:02.980467;162;48;0;0;0;0
2024-06-17 16:21:03.491612;135;41;0;0;0;0
2024-06-17 16:21:04.502728;135;41;0;0;0;0
2024-06-17 16:21:05.013951;135;41;0;0;0;0
2024-06-17 16:21:05.524569;156;48;0;0;0;0
2024-06-17 16:21:06.036187;156;48;0;0;0;0
2024-06-17 16:21:06.540527;156;48;0;0;0;0
2024-06-17 16:21:07.057954;156;48;0;0;0;0
2024-06-17 16:21:07.570340;156;48;0;0;0;0
2024-06-17 16:21:08.085354;156;48;0;0;0;0
2024-06-17 16:21:08.597459;72;22;0;0;0;0
2024-06-17 16:21:09.116577;72;22;0;0;0;0
2024-06-17 16:21:09.636590;72;22;0;0;0;0
2024-06-17 16:21:10.158952;66;20;0;0;0;0
2024-06-17 16:21:10.680530;66;20;0;0;0;0
2024-06-17 16:21:11.200701;66;20;0;0;0;0
2024-06-17 16:21:11.744018;66;20;0;0;0;0
2024-06-17 16:21:12.750215;66;20;0;0;0;0
2024-06-17 16:21:13.261020;66;20;0;0;0;0
2024-06-17 16:21:14.303162;51;15;0;0;0;0
2024-06-17 16:21:14.815173;51;15;0;0;0;0
2024-06-17 16:21:15.329028;51;15;0;0;0;0
2024-06-17 16:21:15.841436;63;19;0;0;0;0
2024-06-17 16:21:16.346582;63;19;0;0;0;0
2024-06-17 16:21:16.857330;63;19;0;0;0;0
2024-06-17 16:21:17.367945;96;30;0;0;0;0
2024-06-17 16:21:18.384965;96;30;0;0;0;0
2024-06-17 16:21:18.895733;96;30;0;0;0;0
2024-06-17 16:21:19.406380;105;33;0;0;0;0
2024-06-17 16:21:19.917978;105;33;0;0;0;0
2024-06-17 16:21:20.423332;105;33;0;0;0;0
2024-06-17 16:21:20.934116;111;35;0;0;0;0
2024-06-17 16:21:21.444693;111;35;0;0;0;0
2024-06-17 16:21:21.955693;111;35;0;0;0;0
2024-06-17 16:21:22.471885;90;30;0;0;0;0
2024-06-17 16:21:22.984086;90;30;0;0;0;0
2024-06-17 16:21:23.496018;90;30;0;0;0;0
2024-06-17 16:21:24.500985;102;34;0;0;0;0
2024-06-17 16:21:25.011718;102;34;0;0;0;0
2024-06-17 16:21:25.522278;102;34;0;0;0;0
2024-06-17 16:21:26.033155;129;39;0;0;0;0
2024-06-17 16:21:26.549444;129;39;0;0;0;0
2024-06-17 16:21:27.059634;129;39;0;0;0;0
2024-06-17 16:21:27.570899;141;43;0;0;0;0
2024-06-17 16:21:28.082000;141;43;0;0;0;0
2024-06-17 16:21:28.587526;141;43;0;0;0;0
2024-06-17 16:21:29.098418;147;43;0;0;0;0
2024-06-17 16:21:29.614601;147;43;0;0;0;0
2024-06-17 16:21:30.120702;147;43;0;0;0;0
2024-06-17 16:21:30.636093;141;41;0;0;0;0
2024-06-17 16:21:31.147382;141;41;0;0;0;0
2024-06-17 16:21:31.657863;141;41;0;0;0;0
2024-06-17 16:21:32.668795;129;37;0;0;0;0
2024-06-17 16:21:33.179083;129;37;0;0;0;0
2024-06-17 16:21:34.190908;96;26;0;0;0;0
2024-06-17 16:21:34.696152;96;26;0;0;0;0
2024-06-17 16:21:35.206972;96;26;0;0;0;0
2024-06-17 16:21:36.219282;75;19;0;0;0;0
2024-06-17 16:21:36.735991;75;19;0;0;0;0
2024-06-17 16:21:37.757849;90;24;0;0;0;0
2024-06-17 16:21:38.270178;90;24;0;0;0;0
2024-06-17 16:21:38.783368;90;24;0;0;0;0
2024-06-17 16:21:39.293141;84;22;0;0;0;0
2024-06-17 16:21:39.803539;84;22;0;0;0;0
2024-06-17 16:21:41.311494;78;20;0;0;0;0
2024-06-17 16:21:41.821618;78;20;0;0;0;0
2024-06-17 16:21:42.337229;78;20;0;0;0;0
2024-06-17 16:21:43.348498;45;13;0;0;0;0
2024-06-17 16:21:43.858849;45;13;0;0;0;0
2024-06-17 16:21:44.369736;33;9;0;0;0;0
2024-06-17 16:21:44.879572;33;9;0;0;0;0
2024-06-17 16:21:45.389688;33;9;0;0;0;0
2024-06-17 16:21:45.900808;33;9;0;0;0;0
2024-06-17 16:21:46.405965;33;9;0;0;0;0
2024-06-17 16:21:46.916823;33;9;0;0;0;0
2024-06-17 16:21:48.433566;39;11;2;2;0;0
2024-06-17 16:21:48.943897;39;11;2;2;0;0
2024-06-17 16:21:49.454804;60;13;2;2;0;0
2024-06-17 16:21:49.978087;60;13;2;2;0;0
2024-06-17 16:21:50.483634;60;13;2;2;0;0
2024-06-17 16:21:51.494980;60;13;2;2;0;0
2024-06-17 16:21:52.005525;60;13;2;2;0;0
2024-06-17 16:21:52.537086;60;13;2;2;0;0
2024-06-17 16:21:53.049566;60;13;2;2;0;0
2024-06-17 16:21:53.560352;60;13;2;2;0;0
2024-06-17 16:21:54.080646;60;13;2;2;0;0
2024-06-17 16:21:55.092413;39;6;2;2;0;0
2024-06-17 16:21:55.604481;39;6;2;2;0;0
2024-06-17 16:21:56.118468;45;8;2;2;0;0
2024-06-17 16:21:57.128706;45;8;2;2;0;0
2024-06-17 16:21:57.639159;72;15;4;2;0;0
2024-06-17 16:21:58.160118;72;15;4;2;0;0
2024-06-17 16:21:58.675609;72;15;4;2;0;0
2024-06-17 16:21:59.186380;78;17;4;2;0;0
2024-06-17 16:21:59.698181;78;17;4;2;0;0
2024-06-17 16:22:00.207638;78;17;4;2;0;0
2024-06-17 16:22:00.720629;111;28;4;2;0;0
2024-06-17 16:22:02.246273;111;28;4;2;0;0
2024-06-17 16:22:02.756517;111;30;4;2;0;0
2024-06-17 16:22:03.267162;111;30;4;2;0;0
2024-06-17 16:22:04.284069;111;30;4;2;0;0
2024-06-17 16:22:04.794750;105;28;2;0;0;0
2024-06-17 16:22:05.305298;105;28;2;0;0;0
2024-06-17 16:22:05.816036;105;28;2;0;0;0
2024-06-17 16:22:06.339634;90;28;2;0;0;0
2024-06-17 16:22:06.853808;90;28;2;0;0;0
2024-06-17 16:22:07.364316;90;28;2;0;0;0
2024-06-17 16:22:07.874910;90;28;2;0;0;0
2024-06-17 16:22:09.386918;90;28;2;0;0;0
2024-06-17 16:22:09.896509;111;35;2;0;0;0
