zeitstempel;Particles > 0.3um / 0.1L air;Particles > 0.5um / 0.1L air;Particles > 1.0um / 0.1L air;Particles > 2.5um / 0.1L air;Particles > 5.0um / 0.1L air;Particles > 10.0um / 0.1L air
2024-06-18 11:16:06.399245;321;90;0;0;0;0
2024-06-18 11:16:06.903453;297;85;0;0;0;0
2024-06-18 11:16:07.413004;297;85;0;0;0;0
2024-06-18 11:16:07.917119;297;85;0;0;0;0
2024-06-18 11:16:08.420932;312;92;0;0;0;0
2024-06-18 11:16:08.930238;312;92;0;0;0;0
2024-06-18 11:16:09.432924;312;92;0;0;0;0
2024-06-18 11:16:09.938755;348;99;4;0;0;0
2024-06-18 11:16:10.444426;348;99;4;0;0;0
2024-06-18 11:16:10.951073;348;99;4;0;0;0
2024-06-18 11:16:11.461876;333;92;4;0;0;0
2024-06-18 11:16:12.468102;333;92;4;0;0;0
2024-06-18 11:16:12.975217;333;92;4;0;0;0
2024-06-18 11:16:13.481450;291;78;4;0;0;0
2024-06-18 11:16:13.988564;291;78;4;0;0;0
2024-06-18 11:16:14.494678;291;78;4;0;0;0
2024-06-18 11:16:15.498119;312;88;4;0;0;0
2024-06-18 11:16:16.503706;312;88;4;0;0;0
2024-06-18 11:16:17.010062;276;81;4;0;0;0
2024-06-18 11:16:17.516235;276;81;4;0;0;0
2024-06-18 11:16:18.023118;276;81;4;0;0;0
2024-06-18 11:16:18.528179;276;81;4;0;0;0
2024-06-18 11:16:19.033307;276;81;4;0;0;0
2024-06-18 11:16:19.543658;276;81;4;0;0;0
2024-06-18 11:16:20.549886;261;76;4;0;0;0
2024-06-18 11:16:21.056999;261;76;4;0;0;0
2024-06-18 11:16:21.564221;285;79;6;0;0;0
2024-06-18 11:16:22.069336;285;79;6;0;0;0
2024-06-18 11:16:22.576450;285;79;6;0;0;0
2024-06-18 11:16:23.083563;285;79;6;0;0;0
2024-06-18 11:16:23.585371;285;81;8;0;0;0
2024-06-18 11:16:24.090272;285;81;8;0;0;0
2024-06-18 11:16:24.596954;285;81;8;0;0;0
2024-06-18 11:16:25.102461;255;69;8;0;0;0
2024-06-18 11:16:25.607886;255;69;8;0;0;0
2024-06-18 11:16:26.613461;255;69;8;0;0;0
2024-06-18 11:16:27.119260;234;60;4;0;0;0
