zeitstempel;Particles > 0.3um / 0.1L air;Particles > 0.5um / 0.1L air;Particles > 1.0um / 0.1L air;Particles > 2.5um / 0.1L air;Particles > 5.0um / 0.1L air;Particles > 10.0um / 0.1L air
2024-06-18 11:16:06.399245;291;85;8;0;0;0
2024-06-18 11:16:06.903453;237;71;8;0;0;0
2024-06-18 11:16:07.413768;237;71;8;0;0;0
2024-06-18 11:16:07.917119;237;71;8;0;0;0
2024-06-18 11:16:08.420932;204;62;6;0;0;0
2024-06-18 11:16:08.930914;204;62;6;0;0;0
2024-06-18 11:16:09.432924;204;62;6;0;0;0
2024-06-18 11:16:09.938755;258;77;6;0;0;0
2024-06-18 11:16:10.444426;258;77;6;0;0;0
2024-06-18 11:16:10.951073;258;77;6;0;0;0
2024-06-18 11:16:11.461876;231;68;4;0;0;0
2024-06-18 11:16:12.469103;231;68;4;0;0;0
2024-06-18 11:16:12.976217;231;68;4;0;0;0
2024-06-18 11:16:13.482450;252;72;4;0;0;0
2024-06-18 11:16:13.989565;252;72;4;0;0;0
2024-06-18 11:16:14.495678;252;72;4;0;0;0
2024-06-18 11:16:15.498119;252;74;4;0;0;0
2024-06-18 11:16:16.503706;252;74;4;0;0;0
2024-06-18 11:16:17.010062;240;70;4;0;0;0
2024-06-18 11:16:17.516235;240;70;4;0;0;0
2024-06-18 11:16:18.023118;240;70;4;0;0;0
2024-06-18 11:16:18.528179;246;72;4;0;0;0
2024-06-18 11:16:19.033307;246;72;4;0;0;0
2024-06-18 11:16:19.544658;246;72;4;0;0;0
2024-06-18 11:16:20.550884;234;66;0;0;0;0
2024-06-18 11:16:21.058001;234;66;0;0;0;0
2024-06-18 11:16:21.565222;228;63;0;0;0;0
2024-06-18 11:16:22.070334;228;63;0;0;0;0
2024-06-18 11:16:22.577450;228;63;0;0;0;0
2024-06-18 11:16:23.084562;228;63;0;0;0;0
2024-06-18 11:16:23.585371;222;63;2;0;0;0
2024-06-18 11:16:24.090272;222;63;2;0;0;0
2024-06-18 11:16:24.596954;222;63;2;0;0;0
2024-06-18 11:16:25.102461;216;61;2;0;0;0
2024-06-18 11:16:25.607886;216;61;2;0;0;0
2024-06-18 11:16:26.613461;216;61;2;0;0;0
2024-06-18 11:16:27.119260;174;50;2;0;0;0
2024-06-18 11:16:27.624373;174;50;2;0;0;0
2024-06-18 11:16:28.130144;174;50;2;0;0;0
2024-06-18 11:16:28.638570;168;48;2;0;0;0
2024-06-18 11:16:29.140887;168;48;2;0;0;0
2024-06-18 11:16:29.647672;168;48;2;0;0;0
2024-06-18 11:16:30.653724;153;46;2;0;0;0
2024-06-18 11:16:31.158664;153;46;2;0;0;0
2024-06-18 11:16:31.664289;153;46;2;0;0;0
2024-06-18 11:16:32.171144;192;59;2;0;0;0
2024-06-18 11:16:32.677113;192;59;2;0;0;0
2024-06-18 11:16:33.182512;192;59;2;0;0;0
2024-06-18 11:16:33.687958;219;63;4;0;0;0
2024-06-18 11:16:34.192913;219;63;4;0;0;0
2024-06-18 11:16:34.698960;219;63;4;0;0;0
2024-06-18 11:16:35.204233;228;63;4;0;0;0
2024-06-18 11:16:35.730005;228;63;4;0;0;0
2024-06-18 11:16:36.250535;228;63;4;0;0;0
2024-06-18 11:16:36.757625;249;67;4;0;0;0
2024-06-18 11:16:37.776379;249;67;4;0;0;0
2024-06-18 11:16:38.283494;249;67;4;0;0;0
2024-06-18 11:16:38.789607;261;72;4;0;0;0
2024-06-18 11:16:39.296722;261;72;4;0;0;0
2024-06-18 11:16:39.798464;261;72;4;0;0;0
2024-06-18 11:16:40.303786;255;70;2;0;0;0
2024-06-18 11:16:40.810181;255;70;2;0;0;0
2024-06-18 11:16:41.315711;255;70;2;0;0;0
2024-06-18 11:16:41.826621;315;88;4;0;0;0
2024-06-18 11:16:42.337738;315;88;4;0;0;0
2024-06-18 11:16:43.343964;315;88;4;0;0;0
2024-06-18 11:16:43.851077;336;93;4;0;0;0
2024-06-18 11:16:44.357191;336;93;4;0;0;0
2024-06-18 11:16:44.863304;336;93;4;0;0;0
2024-06-18 11:16:45.366609;369;104;6;2;0;0
