zeitstempel;Particles > 0.3um / 0.1L air;Particles > 0.5um / 0.1L air;Particles > 1.0um / 0.1L air;Particles > 2.5um / 0.1L air;Particles > 5.0um / 0.1L air;Particles > 10.0um / 0.1L air
2024-06-18 11:16:06.399245;255;70;2;0;0;0
2024-06-18 11:16:06.903453;291;79;2;0;0;0
2024-06-18 11:16:07.408999;291;79;2;0;0;0
2024-06-18 11:16:07.917119;291;79;2;0;0;0
2024-06-18 11:16:08.420932;327;91;2;0;0;0
2024-06-18 11:16:08.926289;327;91;2;0;0;0
2024-06-18 11:16:09.432924;327;91;2;0;0;0
2024-06-18 11:16:09.938755;306;84;2;0;0;0
2024-06-18 11:16:10.444426;306;84;2;0;0;0
2024-06-18 11:16:10.951073;306;84;2;0;0;0
2024-06-18 11:16:11.460875;294;80;2;0;0;0
2024-06-18 11:16:12.467102;294;80;2;0;0;0
2024-06-18 11:16:12.974216;294;80;2;0;0;0
2024-06-18 11:16:13.480450;273;73;2;0;0;0
2024-06-18 11:16:13.987563;273;73;2;0;0;0
2024-06-18 11:16:14.493677;273;73;2;0;0;0
2024-06-18 11:16:15.498119;204;55;0;0;0;0
2024-06-18 11:16:16.503706;219;62;0;0;0;0
2024-06-18 11:16:17.010062;219;62;0;0;0;0
2024-06-18 11:16:17.516235;219;62;0;0;0;0
2024-06-18 11:16:18.023118;219;62;0;0;0;0
2024-06-18 11:16:18.528179;198;58;0;0;0;0
2024-06-18 11:16:19.033307;198;58;0;0;0;0
2024-06-18 11:16:19.541659;198;58;0;0;0;0
2024-06-18 11:16:20.548884;267;81;0;0;0;0
2024-06-18 11:16:21.055998;267;81;0;0;0;0
2024-06-18 11:16:21.563220;246;77;0;0;0;0
2024-06-18 11:16:22.068334;246;77;0;0;0;0
2024-06-18 11:16:22.575449;246;77;0;0;0;0
2024-06-18 11:16:23.082563;246;77;0;0;0;0
2024-06-18 11:16:23.585371;246;80;0;0;0;0
2024-06-18 11:16:24.090272;246;80;0;0;0;0
2024-06-18 11:16:24.596954;246;80;0;0;0;0
2024-06-18 11:16:25.102461;237;73;0;0;0;0
2024-06-18 11:16:25.607886;237;73;0;0;0;0
2024-06-18 11:16:26.613461;258;80;0;0;0;0
2024-06-18 11:16:27.119260;258;80;0;0;0;0
2024-06-18 11:16:27.624373;258;80;0;0;0;0
2024-06-18 11:16:28.130144;258;80;0;0;0;0
2024-06-18 11:16:28.638570;279;84;0;0;0;0
2024-06-18 11:16:29.140887;279;84;0;0;0;0
2024-06-18 11:16:29.647672;294;89;0;0;0;0
2024-06-18 11:16:30.653724;294;89;0;0;0;0
2024-06-18 11:16:31.158664;294;89;0;0;0;0
2024-06-18 11:16:31.664289;294;89;0;0;0;0
2024-06-18 11:16:32.171144;327;98;7;0;0;0
2024-06-18 11:16:32.677113;327;98;7;0;0;0
2024-06-18 11:16:33.182512;327;98;7;0;0;0
2024-06-18 11:16:33.687958;312;93;7;0;0;0
2024-06-18 11:16:34.192913;312;93;7;0;0;0
2024-06-18 11:16:34.698960;312;93;7;0;0;0
2024-06-18 11:16:35.204233;312;95;7;0;0;0
2024-06-18 11:16:35.710463;312;95;7;0;0;0
2024-06-18 11:16:36.231944;312;95;7;0;0;0
2024-06-18 11:16:36.757625;249;74;7;0;0;0
2024-06-18 11:16:37.774378;249;74;7;0;0;0
2024-06-18 11:16:38.281492;228;67;7;0;0;0
2024-06-18 11:16:38.787607;228;67;7;0;0;0
2024-06-18 11:16:39.294720;228;67;7;0;0;0
2024-06-18 11:16:39.798464;219;62;7;0;0;0
2024-06-18 11:16:40.303786;219;62;7;0;0;0
2024-06-18 11:16:40.810181;219;62;7;0;0;0
2024-06-18 11:16:41.315711;219;62;7;0;0;0
2024-06-18 11:16:41.824621;213;62;7;0;0;0
2024-06-18 11:16:42.330735;213;62;7;0;0;0
2024-06-18 11:16:43.341963;213;62;7;0;0;0
2024-06-18 11:16:43.849078;201;58;7;0;0;0
2024-06-18 11:16:44.355191;201;58;7;0;0;0
2024-06-18 11:16:44.861304;201;58;7;0;0;0
2024-06-18 11:16:45.366609;159;47;7;0;0;0
2024-06-18 11:16:45.870011;159;47;7;0;0;0
2024-06-18 11:16:46.375304;159;47;7;0;0;0
2024-06-18 11:16:47.381909;144;42;7;0;0;0
2024-06-18 11:16:47.887590;144;42;7;0;0;0
2024-06-18 11:16:48.392890;153;47;2;0;0;0
2024-06-18 11:16:48.898276;153;47;2;0;0;0
2024-06-18 11:16:49.406997;153;47;2;0;0;0
2024-06-18 11:16:49.913111;153;47;2;0;0;0
2024-06-18 11:16:50.419224;168;52;2;0;0;0
2024-06-18 11:16:50.926339;168;52;2;0;0;0
2024-06-18 11:16:51.432560;168;52;2;0;0;0
2024-06-18 11:16:52.438787;189;54;2;0;0;0
2024-06-18 11:16:52.944900;189;54;2;0;0;0
2024-06-18 11:16:53.450334;189;54;2;0;0;0
2024-06-18 11:16:53.955448;219;61;2;0;0;0
2024-06-18 11:16:54.461562;219;61;2;0;0;0
2024-06-18 11:16:54.968676;219;61;2;0;0;0
2024-06-18 11:16:55.471657;252;72;2;0;0;0
2024-06-18 11:16:56.477741;252;72;2;0;0;0
2024-06-18 11:16:56.984628;252;72;2;0;0;0
2024-06-18 11:16:57.491193;225;65;2;0;0;0
2024-06-18 11:16:57.998306;225;65;2;0;0;0
2024-06-18 11:16:58.504421;225;65;2;0;0;0
2024-06-18 11:16:59.011536;204;58;2;0;0;0
2024-06-18 11:16:59.514274;204;58;2;0;0;0
2024-06-18 11:17:00.020099;204;58;2;0;0;0
2024-06-18 11:17:00.524936;225;62;2;0;0;0
2024-06-18 11:17:01.030767;225;62;2;0;0;0
2024-06-18 11:17:01.535735;225;62;2;0;0;0
2024-06-18 11:17:02.041256;273;73;4;2;0;0
2024-06-18 11:17:02.546934;273;73;4;2;0;0
2024-06-18 11:17:03.555782;273;73;4;2;0;0
2024-06-18 11:17:04.060895;273;71;4;2;0;0
2024-06-18 11:17:04.567009;273;71;4;2;0;0
2024-06-18 11:17:05.075123;252;64;2;2;0;0
2024-06-18 11:17:06.091465;252;64;2;2;0;0
2024-06-18 11:17:06.598579;252;64;2;2;0;0
2024-06-18 11:17:07.103692;252;64;2;2;0;0
2024-06-18 11:17:07.607164;264;66;2;2;0;0
2024-06-18 11:17:08.112678;264;66;2;2;0;0
2024-06-18 11:17:08.618043;264;66;2;2;0;0
2024-06-18 11:17:09.123173;270;73;2;2;0;0
2024-06-18 11:17:10.132937;270;73;2;2;0;0
2024-06-18 11:17:10.639050;270;76;2;2;0;0
2024-06-18 11:17:11.645457;270;76;2;2;0;0
2024-06-18 11:17:12.150569;264;72;2;2;0;0
2024-06-18 11:17:12.657684;264;72;2;2;0;0
2024-06-18 11:17:13.661126;264;72;2;2;0;0
2024-06-18 11:17:14.166147;300;81;2;2;0;0
2024-06-18 11:17:14.671893;300;81;2;2;0;0
2024-06-18 11:17:15.177365;300;81;2;2;0;0
2024-06-18 11:17:15.684905;300;83;2;2;0;0
2024-06-18 11:17:16.190788;300;83;2;2;0;0
2024-06-18 11:17:16.697241;300;83;2;2;0;0
2024-06-18 11:17:17.202345;312;90;2;2;0;0
2024-06-18 11:17:17.712071;312;90;2;2;0;0
2024-06-18 11:17:18.214911;312;90;2;2;0;0
2024-06-18 11:17:19.221171;276;83;0;0;0;0
2024-06-18 11:17:19.730174;276;83;0;0;0;0
2024-06-18 11:17:20.236289;276;83;0;0;0;0
2024-06-18 11:17:20.742402;291;90;0;0;0;0
2024-06-18 11:17:21.248516;291;90;0;0;0;0
2024-06-18 11:17:21.752076;291;90;0;0;0;0
