zeitstempel;Latitude;Longitude;Altitude [m];Geschwindigkeit [Km/h];Horizontale Abnahme der Genauigkeit;Number of Satellites
2024-06-19 16:12:39.987397;49.787182;9.978422;406.90;0.00;230;6
2024-06-19 16:12:40.494207;49.787182;9.978422;406.90;0.00;230;6
2024-06-19 16:12:41.002973;49.787182;9.978422;406.90;0.00;230;6
2024-06-19 16:12:42.010475;49.787189;9.978426;406.60;0.00;230;6
2024-06-19 16:12:42.519402;49.787189;9.978426;406.60;0.00;230;6
2024-06-19 16:12:43.026414;49.787189;9.978426;406.60;0.00;230;6
2024-06-19 16:12:43.534156;49.787189;9.978426;406.60;0.00;230;6
2024-06-19 16:12:44.041727;49.787189;9.978426;406.60;0.00;230;6
2024-06-19 16:12:45.049938;49.787338;9.978521;392.60;0.00;200;8
2024-06-19 16:12:45.558548;49.787338;9.978521;392.60;0.00;200;8
2024-06-19 16:12:46.067676;49.787338;9.978521;392.60;0.00;200;8
2024-06-19 16:12:47.075201;49.787426;9.978464;372.00;0.00;200;8
2024-06-19 16:12:47.583580;49.787426;9.978464;372.00;0.00;200;8
2024-06-19 16:12:48.091564;49.787426;9.978464;372.00;0.00;200;8
2024-06-19 16:12:48.600855;49.787426;9.978464;372.00;0.00;200;8
2024-06-19 16:12:49.109423;49.787426;9.978464;372.00;0.00;200;8
2024-06-19 16:12:49.640902;49.787426;9.978464;372.00;0.00;200;8
2024-06-19 16:12:50.664457;49.787426;9.978464;372.00;0.00;200;8
2024-06-19 16:12:51.172893;49.787426;9.978464;372.00;0.00;200;8
2024-06-19 16:12:51.681387;49.787426;9.978464;372.00;0.00;200;8
2024-06-19 16:12:52.187533;49.787426;9.978464;372.00;0.00;200;8
2024-06-19 16:12:53.196078;49.787434;9.978446;368.90;0.00;200;8
2024-06-19 16:12:53.705161;49.787434;9.978446;368.90;0.00;200;8
2024-06-19 16:12:54.213649;49.787434;9.978446;368.90;0.00;200;8
2024-06-19 16:12:55.222130;49.787430;9.978443;368.70;0.00;200;8
2024-06-19 16:12:55.730281;49.787430;9.978443;368.70;0.00;200;8
2024-06-19 16:12:56.238301;49.787430;9.978443;368.70;0.00;200;8
2024-06-19 16:12:57.245091;49.787430;9.978441;368.40;0.00;200;8
2024-06-19 16:12:57.753286;49.787430;9.978441;368.40;0.00;200;8
2024-06-19 16:12:58.261559;49.787430;9.978441;368.40;0.00;200;8
