zeitstempel;Particles > 0.3um / 0.1L air;Particles > 0.5um / 0.1L air;Particles > 1.0um / 0.1L air;Particles > 2.5um / 0.1L air;Particles > 5.0um / 0.1L air;Particles > 10.0um / 0.1L air
2024-06-19 16:08:45.878994;729;206;34;14;0;0
2024-06-19 16:08:46.397541;729;206;34;14;0;0
2024-06-19 16:08:46.908548;729;206;34;14;0;0
2024-06-19 16:08:47.421247;729;206;34;14;0;0
2024-06-19 16:08:47.931744;720;201;30;12;0;0
2024-06-19 16:08:48.443815;720;201;30;12;0;0
2024-06-19 16:08:48.955244;720;201;30;12;0;0
2024-06-19 16:08:49.467353;705;194;25;10;0;0
2024-06-19 16:08:50.003583;705;194;25;10;0;0
2024-06-19 16:08:50.507745;705;194;25;10;0;0
2024-06-19 16:08:51.519970;735;202;23;8;0;0
2024-06-19 16:08:52.031510;735;202;23;8;0;0
2024-06-19 16:08:52.550442;711;200;19;6;0;0
2024-06-19 16:08:53.561241;711;200;19;6;0;0
2024-06-19 16:08:54.072616;816;230;12;4;0;0
2024-06-19 16:08:54.576347;816;230;12;4;0;0
2024-06-19 16:08:55.592333;816;230;12;4;0;0
2024-06-19 16:08:56.100576;726;210;10;2;0;0
2024-06-19 16:08:56.609026;726;210;10;2;0;0
2024-06-19 16:08:57.116401;726;210;10;2;0;0
2024-06-19 16:08:57.625473;726;215;12;0;0;0
2024-06-19 16:08:58.132252;726;215;12;0;0;0
2024-06-19 16:08:58.634808;726;215;12;0;0;0
2024-06-19 16:08:59.141893;750;218;12;0;0;0
2024-06-19 16:08:59.649694;750;218;12;0;0;0
2024-06-19 16:09:00.156998;750;218;12;0;0;0
2024-06-19 16:09:00.667857;714;203;12;0;0;0
2024-06-19 16:09:01.674891;714;203;12;0;0;0
2024-06-19 16:09:02.182118;714;203;12;0;0;0
2024-06-19 16:09:02.689490;699;198;10;0;0;0
2024-06-19 16:09:03.696923;699;198;10;0;0;0
2024-06-19 16:09:04.205880;699;198;10;0;0;0
2024-06-19 16:09:04.714019;699;203;10;0;0;0
2024-06-19 16:09:05.721953;699;203;10;0;0;0
2024-06-19 16:09:06.230362;714;210;10;0;0;0
2024-06-19 16:09:06.737766;714;210;10;0;0;0
2024-06-19 16:09:07.746667;615;182;10;0;0;0
2024-06-19 16:09:08.255249;615;182;10;0;0;0
2024-06-19 16:09:08.757483;615;182;10;0;0;0
2024-06-19 16:09:09.265186;615;182;10;0;0;0
2024-06-19 16:09:09.773034;600;172;10;0;0;0
