zeitstempel;Particles > 0.3um / 0.1L air;Particles > 0.5um / 0.1L air;Particles > 1.0um / 0.1L air;Particles > 2.5um / 0.1L air;Particles > 5.0um / 0.1L air;Particles > 10.0um / 0.1L air
2024-06-19 16:08:45.878994;720;228;40;14;0;0
2024-06-19 16:08:46.398523;720;228;40;14;0;0
2024-06-19 16:08:46.910550;720;228;40;14;0;0
2024-06-19 16:08:47.422230;720;228;40;14;0;0
2024-06-19 16:08:47.933745;726;228;36;12;0;0
2024-06-19 16:08:48.445815;726;228;36;12;0;0
2024-06-19 16:08:48.958243;726;228;36;12;0;0
2024-06-19 16:08:49.469371;681;211;32;10;0;0
2024-06-19 16:08:50.005442;681;211;32;10;0;0
2024-06-19 16:08:50.507745;681;211;32;10;0;0
2024-06-19 16:08:51.519970;648;200;24;8;0;0
2024-06-19 16:08:52.031510;648;200;24;8;0;0
2024-06-19 16:08:52.551441;615;186;20;6;0;0
2024-06-19 16:08:53.563257;615;186;20;6;0;0
2024-06-19 16:08:54.074634;654;202;18;4;0;0
2024-06-19 16:08:54.576347;654;202;18;4;0;0
2024-06-19 16:08:55.592333;654;202;18;4;0;0
2024-06-19 16:08:56.100576;687;210;16;2;0;0
2024-06-19 16:08:56.610027;687;210;16;2;0;0
2024-06-19 16:08:57.117401;687;210;16;2;0;0
2024-06-19 16:08:57.626462;687;204;12;0;0;0
2024-06-19 16:08:58.133252;687;204;12;0;0;0
2024-06-19 16:08:58.634808;687;204;12;0;0;0
2024-06-19 16:08:59.141893;660;202;8;0;0;0
2024-06-19 16:08:59.649694;660;202;8;0;0;0
2024-06-19 16:09:00.156998;660;202;8;0;0;0
2024-06-19 16:09:00.668857;660;202;2;0;0;0
2024-06-19 16:09:01.675892;660;202;2;0;0;0
2024-06-19 16:09:02.183118;660;202;2;0;0;0
2024-06-19 16:09:02.690490;720;216;2;0;0;0
2024-06-19 16:09:03.697923;720;216;2;0;0;0
2024-06-19 16:09:04.206880;720;216;2;0;0;0
2024-06-19 16:09:04.715019;702;212;4;0;0;0
2024-06-19 16:09:05.722952;702;212;4;0;0;0
2024-06-19 16:09:06.231350;735;218;4;0;0;0
2024-06-19 16:09:06.738766;735;218;4;0;0;0
2024-06-19 16:09:07.747671;813;244;8;0;0;0
2024-06-19 16:09:08.256249;813;244;8;0;0;0
2024-06-19 16:09:08.757483;813;244;8;0;0;0
