zeitstempel;Particles > 0.3um / 0.1L air;Particles > 0.5um / 0.1L air;Particles > 1.0um / 0.1L air;Particles > 2.5um / 0.1L air;Particles > 5.0um / 0.1L air;Particles > 10.0um / 0.1L air
2024-06-19 16:08:45.878994;846;252;47;14;0;0
2024-06-19 16:08:46.395538;846;252;47;14;0;0
2024-06-19 16:08:46.907549;846;252;47;14;0;0
2024-06-19 16:08:47.419246;846;252;47;14;0;0
2024-06-19 16:08:47.930760;768;224;40;12;0;0
2024-06-19 16:08:48.441815;768;224;40;12;0;0
2024-06-19 16:08:48.953244;768;224;40;12;0;0
2024-06-19 16:08:49.465353;774;227;36;10;0;0
2024-06-19 16:08:49.977618;774;227;36;10;0;0
2024-06-19 16:08:50.507745;774;227;36;10;0;0
2024-06-19 16:08:51.519970;768;234;29;8;0;0
2024-06-19 16:08:52.031510;768;234;29;8;0;0
2024-06-19 16:08:52.548442;696;213;27;6;0;0
2024-06-19 16:08:53.560257;696;213;27;6;0;0
2024-06-19 16:08:54.070621;690;213;25;4;0;0
2024-06-19 16:08:54.576347;690;213;25;4;0;0
2024-06-19 16:08:55.592333;690;213;25;4;0;0
2024-06-19 16:08:56.100576;654;203;20;2;0;0
2024-06-19 16:08:56.608035;654;203;20;2;0;0
2024-06-19 16:08:57.115400;654;203;20;2;0;0
2024-06-19 16:08:57.623459;603;189;11;0;0;0
2024-06-19 16:08:58.131252;603;189;11;0;0;0
2024-06-19 16:08:58.634808;603;189;11;0;0;0
2024-06-19 16:08:59.141893;603;186;11;0;0;0
2024-06-19 16:08:59.649694;603;186;11;0;0;0
2024-06-19 16:09:00.156998;603;186;11;0;0;0
2024-06-19 16:09:00.665856;624;195;11;0;0;0
2024-06-19 16:09:01.673891;624;195;11;0;0;0
2024-06-19 16:09:02.181117;624;195;11;0;0;0
2024-06-19 16:09:02.688490;582;181;6;0;0;0
2024-06-19 16:09:03.695926;582;181;6;0;0;0
2024-06-19 16:09:04.204880;582;181;6;0;0;0
2024-06-19 16:09:04.713018;534;167;4;0;0;0
2024-06-19 16:09:05.720963;534;167;4;0;0;0
2024-06-19 16:09:06.229362;582;178;4;0;0;0
2024-06-19 16:09:06.736769;582;178;4;0;0;0
2024-06-19 16:09:07.745667;546;166;4;0;0;0
2024-06-19 16:09:08.253262;546;166;4;0;0;0
2024-06-19 16:09:08.757483;546;166;4;0;0;0
2024-06-19 16:09:09.265186;546;166;4;0;0;0
2024-06-19 16:09:09.773034;567;171;4;0;0;0
2024-06-19 16:09:10.280965;567;171;4;0;0;0
2024-06-19 16:09:10.793140;567;171;4;0;0;0
2024-06-19 16:09:11.301261;573;171;4;0;0;0
2024-06-19 16:09:11.810545;573;171;4;0;0;0
2024-06-19 16:09:12.318139;573;171;4;0;0;0
