zeitstempel;Latitude;Longitude;Altitude [m];Geschwindigkeit [Km/h];Horizontale Abnahme der Genauigkeit;Number of Satellites
2024-06-20 07:26:14.923453;49.787266;9.978260;336.80;0.00;190;8
2024-06-20 07:26:15.431564;49.787266;9.978260;336.80;0.00;190;8
2024-06-20 07:26:15.938859;49.787266;9.978260;336.80;0.00;190;8
2024-06-20 07:26:16.945387;49.787266;9.978259;336.70;0.00;180;9
2024-06-20 07:26:17.453172;49.787266;9.978259;336.70;0.00;180;9
2024-06-20 07:26:17.962182;49.787266;9.978259;336.70;0.00;180;9
2024-06-20 07:26:18.970525;49.787266;9.978259;336.60;0.00;180;9
2024-06-20 07:26:19.477499;49.787266;9.978259;336.60;0.00;180;9
2024-06-20 07:26:19.984962;49.787266;9.978259;336.60;0.00;180;9
2024-06-20 07:26:20.493127;49.787266;9.978259;336.60;0.00;180;9
2024-06-20 07:26:21.002293;49.787266;9.978259;336.60;0.00;180;9
2024-06-20 07:26:21.509723;49.787273;9.978262;336.70;0.00;180;9
2024-06-20 07:26:22.527013;49.787273;9.978262;336.70;0.00;180;9
2024-06-20 07:26:23.033476;49.787273;9.978262;336.70;0.00;180;9
2024-06-20 07:26:23.540803;49.787277;9.978266;337.00;0.00;180;9
2024-06-20 07:26:24.048890;49.787277;9.978266;337.00;0.00;180;9
2024-06-20 07:26:25.059451;49.787277;9.978266;337.00;0.00;180;9
2024-06-20 07:26:25.568450;49.787277;9.978266;337.00;0.00;180;9
2024-06-20 07:26:26.075910;49.787277;9.978266;337.00;0.00;180;9
2024-06-20 07:26:26.582671;49.787277;9.978270;337.50;0.00;180;9
2024-06-20 07:26:27.089801;49.787277;9.978270;337.50;0.00;180;9
2024-06-20 07:26:28.097494;49.787277;9.978270;337.50;0.00;180;9
2024-06-20 07:26:28.605152;49.787277;9.978270;337.50;0.00;180;9
2024-06-20 07:26:29.113470;49.787277;9.978270;337.50;0.00;180;9
2024-06-20 07:26:29.621482;49.787277;9.978274;337.80;0.00;180;9
2024-06-20 07:26:30.127507;49.787277;9.978274;337.80;0.00;180;9
2024-06-20 07:26:31.135395;49.787277;9.978274;337.80;0.00;180;9
2024-06-20 07:26:31.643508;49.787277;9.978274;337.80;0.00;180;9
2024-06-20 07:26:32.151505;49.787277;9.978274;337.80;0.00;180;9
2024-06-20 07:26:32.659692;49.787281;9.978276;337.90;0.00;150;10
2024-06-20 07:26:33.167725;49.787281;9.978276;337.90;0.00;150;10
2024-06-20 07:26:33.676552;49.787281;9.978276;337.90;0.00;150;10
2024-06-20 07:26:34.684832;49.787281;9.978277;338.10;0.00;150;10
2024-06-20 07:26:35.192928;49.787281;9.978277;338.10;0.00;150;10
2024-06-20 07:26:35.700589;49.787281;9.978277;338.10;0.00;150;10
2024-06-20 07:26:36.208688;49.787281;9.978277;338.10;0.00;150;10
2024-06-20 07:26:36.716082;49.787281;9.978277;338.10;0.00;150;10
2024-06-20 07:26:37.724041;49.787289;9.978277;338.10;0.00;150;10
2024-06-20 07:26:38.232029;49.787289;9.978277;338.10;0.00;150;10
2024-06-20 07:26:38.740025;49.787289;9.978277;338.10;0.00;150;10
2024-06-20 07:26:39.746729;49.787289;9.978275;337.90;0.00;150;10
2024-06-20 07:26:40.252411;49.787289;9.978275;337.90;0.00;150;10
2024-06-20 07:26:40.757484;49.787289;9.978275;337.90;0.00;150;10
2024-06-20 07:26:41.264249;49.787289;9.978275;337.90;0.00;150;10
2024-06-20 07:26:41.773237;49.787289;9.978275;337.90;0.00;150;10
2024-06-20 07:26:42.781899;49.787289;9.978271;336.90;0.00;150;10
2024-06-20 07:26:43.288568;49.787289;9.978271;336.90;0.00;150;10
2024-06-20 07:26:43.794809;49.787289;9.978271;336.90;0.00;150;10
2024-06-20 07:26:44.801261;49.787289;9.978268;336.10;0.00;150;11
2024-06-20 07:26:45.309922;49.787289;9.978268;336.10;0.00;150;11
2024-06-20 07:26:45.817617;49.787289;9.978268;336.10;0.00;150;11
