zeitstempel;temperature
2024-06-20 07:15:02.193298;21.50
2024-06-20 07:15:02.700638;21.50
2024-06-20 07:15:03.205401;21.50
2024-06-20 07:15:03.713428;21.50
2024-06-20 07:15:04.220301;21.50
2024-06-20 07:15:04.727228;21.50
2024-06-20 07:15:05.230828;21.50
2024-06-20 07:15:05.735831;21.50
2024-06-20 07:15:06.240213;21.50
2024-06-20 07:15:06.747419;21.50
2024-06-20 07:15:07.254757;21.50
2024-06-20 07:15:07.762559;21.50
2024-06-20 07:15:08.270015;21.50
2024-06-20 07:15:08.778286;21.50
2024-06-20 07:15:09.283203;21.50
2024-06-20 07:15:09.790334;21.50
2024-06-20 07:15:10.297883;21.50
2024-06-20 07:15:10.805810;21.50
2024-06-20 07:15:11.815475;21.50
2024-06-20 07:15:12.323773;21.50
2024-06-20 07:15:12.831726;21.50
2024-06-20 07:15:13.840167;21.50
2024-06-20 07:15:14.348414;21.50
2024-06-20 07:15:14.856306;21.50
2024-06-20 07:15:15.864703;21.50
2024-06-20 07:15:16.372718;21.50
2024-06-20 07:15:16.880294;21.50
2024-06-20 07:15:17.387896;21.50
2024-06-20 07:15:17.895884;21.50
2024-06-20 07:15:18.403650;21.50
2024-06-20 07:15:18.911843;21.50
2024-06-20 07:15:19.419570;21.50
2024-06-20 07:15:19.926788;21.50
2024-06-20 07:15:20.435242;21.50
2024-06-20 07:15:20.943225;21.50
2024-06-20 07:15:21.465997;21.50
2024-06-20 07:15:22.475392;21.50
2024-06-20 07:15:22.982487;21.50
2024-06-20 07:15:23.490386;21.50
2024-06-20 07:15:23.998228;21.50
2024-06-20 07:15:25.006299;21.50
2024-06-20 07:15:25.514192;21.50
2024-06-20 07:15:26.021924;21.50
2024-06-20 07:15:26.530168;21.50
2024-06-20 07:15:27.038122;21.50
2024-06-20 07:15:27.546158;21.50
2024-06-20 07:15:28.055351;21.50
2024-06-20 07:15:28.561408;21.50
2024-06-20 07:15:29.069766;21.50
2024-06-20 07:15:29.577744;21.50
2024-06-20 07:15:30.586446;21.50
2024-06-20 07:15:31.094860;21.50
2024-06-20 07:15:31.602642;21.50
2024-06-20 07:15:32.609920;21.50
2024-06-20 07:15:33.117074;21.50
2024-06-20 07:15:33.625196;21.50
2024-06-20 07:15:34.633482;21.50
2024-06-20 07:15:35.139969;21.50
2024-06-20 07:15:35.645735;21.50
2024-06-20 07:15:36.153084;21.50
2024-06-20 07:15:36.660715;21.50
2024-06-20 07:15:37.170205;21.50
2024-06-20 07:15:37.679801;21.50
2024-06-20 07:15:38.183703;21.50
2024-06-20 07:15:38.689776;21.50
2024-06-20 07:15:39.698006;21.50
2024-06-20 07:15:40.206109;21.50
2024-06-20 07:15:40.713828;21.50
2024-06-20 07:15:41.722265;21.50
2024-06-20 07:15:42.230156;21.50
2024-06-20 07:15:42.738124;21.50
2024-06-20 07:15:43.245775;21.50
2024-06-20 07:15:43.753886;21.50
2024-06-20 07:15:44.261632;21.50
2024-06-20 07:15:44.770137;21.50
2024-06-20 07:15:45.277523;21.50
2024-06-20 07:15:45.785768;21.50
2024-06-20 07:15:46.293162;21.50
2024-06-20 07:15:46.801080;21.50
2024-06-20 07:15:47.809207;21.50
2024-06-20 07:15:48.317225;21.50
2024-06-20 07:15:48.825057;21.50
2024-06-20 07:15:49.829841;21.50
2024-06-20 07:15:50.335428;21.50
2024-06-20 07:15:50.841182;21.60
2024-06-20 07:15:51.847621;21.60
2024-06-20 07:15:52.355567;21.60
2024-06-20 07:15:52.862877;21.60
2024-06-20 07:15:53.871558;21.60
2024-06-20 07:15:54.379748;21.60
2024-06-20 07:15:54.887272;21.60
2024-06-20 07:15:55.396700;21.60
2024-06-20 07:15:55.901949;21.50
2024-06-20 07:15:56.410124;21.50
2024-06-20 07:15:56.917180;21.50
2024-06-20 07:15:57.424806;21.50
2024-06-20 07:15:57.936245;21.60
2024-06-20 07:15:58.443706;21.60
2024-06-20 07:15:58.951803;21.60
2024-06-20 07:15:59.459347;21.60
2024-06-20 07:16:00.468073;21.60
2024-06-20 07:16:00.975500;21.60
2024-06-20 07:16:01.484429;21.60
2024-06-20 07:16:01.989053;21.60
2024-06-20 07:16:02.997757;21.60
2024-06-20 07:16:03.509014;21.60
2024-06-20 07:16:04.017012;21.60
2024-06-20 07:16:04.525082;21.60
2024-06-20 07:16:05.031925;21.60
2024-06-20 07:16:05.539972;21.60
2024-06-20 07:16:06.047798;21.60
2024-06-20 07:16:06.555597;21.60
2024-06-20 07:16:07.564802;21.60
2024-06-20 07:16:08.072695;21.60
2024-06-20 07:16:08.580680;21.60
2024-06-20 07:16:09.088498;21.60
2024-06-20 07:16:09.593875;21.60
2024-06-20 07:16:10.101999;21.60
2024-06-20 07:16:10.610129;21.60
2024-06-20 07:16:11.118698;21.60
2024-06-20 07:16:11.628893;21.60
2024-06-20 07:16:12.642217;21.60
2024-06-20 07:16:13.150591;21.60
2024-06-20 07:16:13.658275;21.60
2024-06-20 07:16:14.666503;21.60
2024-06-20 07:16:15.174088;21.60
2024-06-20 07:16:15.681358;21.60
2024-06-20 07:16:16.187209;21.60
2024-06-20 07:16:16.694720;21.60
2024-06-20 07:16:17.202354;21.60
2024-06-20 07:16:17.710449;21.60
2024-06-20 07:16:18.218738;21.60
2024-06-20 07:16:18.726976;21.60
2024-06-20 07:16:19.737804;21.60
2024-06-20 07:16:20.246050;21.60
2024-06-20 07:16:20.754326;21.60
2024-06-20 07:16:21.760459;21.60
2024-06-20 07:16:22.268737;21.60
2024-06-20 07:16:22.776975;21.60
2024-06-20 07:16:23.284671;21.60
2024-06-20 07:16:23.795695;21.60
2024-06-20 07:16:24.303504;21.60
2024-06-20 07:16:24.811866;21.60
2024-06-20 07:16:25.319983;21.60
2024-06-20 07:16:25.827432;21.60
2024-06-20 07:16:26.836981;21.60
2024-06-20 07:16:27.344693;21.60
2024-06-20 07:16:27.851972;21.60
2024-06-20 07:16:28.860286;21.60
2024-06-20 07:16:29.368056;21.60
2024-06-20 07:16:29.872421;21.60
2024-06-20 07:16:30.380156;21.60
2024-06-20 07:16:30.888419;21.60
2024-06-20 07:16:31.396506;21.60
2024-06-20 07:16:31.904348;21.60
2024-06-20 07:16:32.412079;21.60
2024-06-20 07:16:32.920348;21.60
2024-06-20 07:16:33.428185;21.60
2024-06-20 07:16:33.935731;21.60
2024-06-20 07:16:34.443963;21.60
2024-06-20 07:16:35.463269;21.60
2024-06-20 07:16:35.974142;21.60
2024-06-20 07:16:36.482183;21.60
2024-06-20 07:16:36.990154;21.60
2024-06-20 07:16:37.995316;21.60
2024-06-20 07:16:38.503217;21.60
2024-06-20 07:16:39.011374;21.60
2024-06-20 07:16:39.520456;21.60
2024-06-20 07:16:40.027944;21.60
2024-06-20 07:16:40.535265;21.60
2024-06-20 07:16:41.042538;21.60
2024-06-20 07:16:41.547505;21.60
2024-06-20 07:16:42.555985;21.60
2024-06-20 07:16:43.063636;21.60
2024-06-20 07:16:43.572753;21.60
2024-06-20 07:16:44.080367;21.60
2024-06-20 07:16:44.589784;21.60
2024-06-20 07:16:45.096922;21.60
2024-06-20 07:16:45.605497;21.60
2024-06-20 07:16:46.112905;21.60
2024-06-20 07:16:46.619221;21.60
2024-06-20 07:16:47.636923;21.60
2024-06-20 07:16:48.145138;21.60
2024-06-20 07:16:48.653198;21.60
2024-06-20 07:16:49.665827;21.60
2024-06-20 07:16:50.173042;21.60
2024-06-20 07:16:50.681785;21.60
2024-06-20 07:16:51.190106;21.60
2024-06-20 07:16:51.697771;21.60
2024-06-20 07:16:52.205414;21.60
2024-06-20 07:16:52.713442;21.60
2024-06-20 07:16:53.221356;21.60
2024-06-20 07:16:53.726726;21.60
2024-06-20 07:16:54.735595;21.60
2024-06-20 07:16:55.244036;21.60
2024-06-20 07:16:55.755000;21.60
2024-06-20 07:16:56.762917;21.60
2024-06-20 07:16:57.269851;21.60
2024-06-20 07:16:57.778037;21.60
2024-06-20 07:16:58.285713;21.60
2024-06-20 07:16:58.793546;21.60
2024-06-20 07:16:59.301310;21.60
2024-06-20 07:16:59.806826;21.60
2024-06-20 07:17:00.314960;21.60
2024-06-20 07:17:00.822695;21.60
2024-06-20 07:17:01.834969;21.60
2024-06-20 07:17:02.342066;21.60
2024-06-20 07:17:02.849885;21.60
2024-06-20 07:17:03.855970;21.60
