zeitstempel;Particles > 0.3um / 0.1L air;Particles > 0.5um / 0.1L air;Particles > 1.0um / 0.1L air;Particles > 2.5um / 0.1L air;Particles > 5.0um / 0.1L air;Particles > 10.0um / 0.1L air
2024-06-20 07:15:02.196270;222;62;4;0;0;0
2024-06-20 07:15:02.700638;222;62;4;0;0;0
2024-06-20 07:15:03.205401;222;62;4;0;0;0
2024-06-20 07:15:03.713428;222;64;4;0;0;0
2024-06-20 07:15:04.220301;222;64;4;0;0;0
2024-06-20 07:15:04.728229;222;64;4;0;0;0
2024-06-20 07:15:05.232857;141;42;4;0;0;0
2024-06-20 07:15:05.735831;141;42;4;0;0;0
2024-06-20 07:15:06.240213;141;42;4;0;0;0
2024-06-20 07:15:06.747419;162;49;4;0;0;0
2024-06-20 07:15:07.254757;162;49;4;0;0;0
2024-06-20 07:15:07.762559;162;49;4;0;0;0
2024-06-20 07:15:08.270015;162;49;4;0;0;0
2024-06-20 07:15:08.778286;183;53;4;0;0;0
2024-06-20 07:15:09.283203;183;53;4;0;0;0
2024-06-20 07:15:09.790334;183;53;4;0;0;0
2024-06-20 07:15:10.297883;177;49;4;0;0;0
2024-06-20 07:15:10.805810;177;49;4;0;0;0
2024-06-20 07:15:11.815475;177;49;4;0;0;0
2024-06-20 07:15:12.323773;156;42;4;0;0;0
2024-06-20 07:15:12.836730;156;42;4;0;0;0
2024-06-20 07:15:13.840167;225;64;6;0;0;0
2024-06-20 07:15:14.348414;225;64;6;0;0;0
2024-06-20 07:15:14.856306;225;64;6;0;0;0
2024-06-20 07:15:15.864703;210;59;6;0;0;0
2024-06-20 07:15:16.372718;210;59;6;0;0;0
2024-06-20 07:15:16.880294;210;59;6;0;0;0
2024-06-20 07:15:17.387896;216;59;6;0;0;0
2024-06-20 07:15:17.895884;216;59;6;0;0;0
2024-06-20 07:15:18.403650;216;59;6;0;0;0
2024-06-20 07:15:18.911843;231;64;8;0;0;0
2024-06-20 07:15:19.419570;231;64;8;0;0;0
2024-06-20 07:15:19.926788;231;64;8;0;0;0
2024-06-20 07:15:20.435242;225;62;8;0;0;0
2024-06-20 07:15:20.943225;225;62;8;0;0;0
2024-06-20 07:15:21.465997;225;62;8;0;0;0
2024-06-20 07:15:22.475392;255;69;4;0;0;0
2024-06-20 07:15:22.982487;255;69;4;0;0;0
2024-06-20 07:15:23.490386;246;66;4;0;0;0
2024-06-20 07:15:23.998228;246;66;4;0;0;0
2024-06-20 07:15:25.006299;246;66;4;0;0;0
2024-06-20 07:15:25.514192;261;74;4;0;0;0
2024-06-20 07:15:26.021924;261;74;4;0;0;0
2024-06-20 07:15:26.530168;261;74;4;0;0;0
2024-06-20 07:15:27.042630;261;74;4;0;0;0
2024-06-20 07:15:27.546158;276;81;4;0;0;0
2024-06-20 07:15:28.055351;276;81;4;0;0;0
2024-06-20 07:15:28.561408;282;83;4;0;0;0
2024-06-20 07:15:29.069766;282;83;4;0;0;0
2024-06-20 07:15:29.577744;282;83;4;0;0;0
2024-06-20 07:15:30.586446;201;59;2;0;0;0
2024-06-20 07:15:31.094860;201;59;2;0;0;0
2024-06-20 07:15:31.602642;201;59;2;0;0;0
2024-06-20 07:15:32.609920;201;59;2;0;0;0
2024-06-20 07:15:33.117074;201;59;2;0;0;0
2024-06-20 07:15:33.625196;231;69;2;0;0;0
2024-06-20 07:15:34.633482;231;69;2;0;0;0
2024-06-20 07:15:35.139969;231;69;2;0;0;0
2024-06-20 07:15:35.645735;216;64;0;0;0;0
2024-06-20 07:15:36.153084;216;64;0;0;0;0
2024-06-20 07:15:36.660715;216;64;0;0;0;0
2024-06-20 07:15:37.170205;222;66;0;0;0;0
2024-06-20 07:15:37.679801;222;66;0;0;0;0
2024-06-20 07:15:38.183703;222;66;0;0;0;0
2024-06-20 07:15:38.689776;177;54;0;0;0;0
2024-06-20 07:15:39.702511;177;54;0;0;0;0
2024-06-20 07:15:40.206109;177;54;0;0;0;0
2024-06-20 07:15:40.713828;165;50;0;0;0;0
2024-06-20 07:15:41.722265;165;50;0;0;0;0
2024-06-20 07:15:42.230156;141;42;0;0;0;0
2024-06-20 07:15:42.738124;141;42;0;0;0;0
2024-06-20 07:15:43.245775;141;42;0;0;0;0
2024-06-20 07:15:43.753886;141;42;0;0;0;0
2024-06-20 07:15:44.261632;141;39;0;0;0;0
2024-06-20 07:15:44.770137;141;39;0;0;0;0
2024-06-20 07:15:45.277523;141;39;0;0;0;0
2024-06-20 07:15:45.785768;162;46;2;0;0;0
2024-06-20 07:15:46.293162;162;46;2;0;0;0
2024-06-20 07:15:46.801080;162;46;2;0;0;0
2024-06-20 07:15:47.809207;168;48;2;0;0;0
2024-06-20 07:15:48.317225;168;48;2;0;0;0
2024-06-20 07:15:48.825057;168;48;2;0;0;0
2024-06-20 07:15:49.829841;198;53;2;0;0;0
2024-06-20 07:15:50.335428;198;53;2;0;0;0
2024-06-20 07:15:50.843182;156;41;2;0;0;0
2024-06-20 07:15:51.850620;156;41;2;0;0;0
2024-06-20 07:15:52.357568;156;41;2;0;0;0
2024-06-20 07:15:52.865877;177;48;4;0;0;0
2024-06-20 07:15:53.873558;177;48;4;0;0;0
2024-06-20 07:15:54.381744;171;46;4;0;0;0
2024-06-20 07:15:54.890260;171;46;4;0;0;0
2024-06-20 07:15:55.398702;171;46;4;0;0;0
2024-06-20 07:15:55.901949;192;51;6;0;0;0
2024-06-20 07:15:56.414636;192;51;6;0;0;0
2024-06-20 07:15:56.917180;192;51;6;0;0;0
2024-06-20 07:15:57.424806;204;53;6;0;0;0
2024-06-20 07:15:57.938228;204;53;6;0;0;0
2024-06-20 07:15:58.446695;204;53;6;0;0;0
2024-06-20 07:15:58.953803;219;56;6;0;0;0
2024-06-20 07:15:59.461348;219;56;6;0;0;0
2024-06-20 07:16:00.470086;219;56;6;0;0;0
2024-06-20 07:16:00.977501;210;54;6;0;0;0
2024-06-20 07:16:01.486428;210;54;6;0;0;0
2024-06-20 07:16:01.989053;210;54;6;0;0;0
2024-06-20 07:16:02.997757;225;57;4;0;0;0
2024-06-20 07:16:03.511016;225;57;4;0;0;0
2024-06-20 07:16:04.019019;225;57;4;0;0;0
2024-06-20 07:16:04.527082;270;69;4;0;0;0
2024-06-20 07:16:05.033924;270;69;4;0;0;0
2024-06-20 07:16:05.541959;270;69;4;0;0;0
2024-06-20 07:16:06.049797;240;67;4;0;0;0
2024-06-20 07:16:06.558597;240;67;4;0;0;0
2024-06-20 07:16:07.566804;261;74;4;0;0;0
2024-06-20 07:16:08.074695;261;74;4;0;0;0
2024-06-20 07:16:08.582680;261;74;4;0;0;0
2024-06-20 07:16:09.091486;240;62;2;0;0;0
2024-06-20 07:16:09.593875;240;62;2;0;0;0
2024-06-20 07:16:10.106017;240;62;2;0;0;0
2024-06-20 07:16:10.610129;240;62;2;0;0;0
2024-06-20 07:16:11.118698;255;67;2;0;0;0
2024-06-20 07:16:11.630893;255;67;2;0;0;0
2024-06-20 07:16:12.645221;234;62;0;0;0;0
2024-06-20 07:16:13.152579;234;62;0;0;0;0
2024-06-20 07:16:13.660263;234;62;0;0;0;0
2024-06-20 07:16:14.668493;249;67;0;0;0;0
2024-06-20 07:16:15.176075;249;67;0;0;0;0
2024-06-20 07:16:15.681358;249;67;0;0;0;0
2024-06-20 07:16:16.187209;234;64;0;0;0;0
2024-06-20 07:16:16.694720;234;64;0;0;0;0
2024-06-20 07:16:17.202354;234;64;0;0;0;0
2024-06-20 07:16:17.710449;234;64;0;0;0;0
2024-06-20 07:16:18.218738;234;64;0;0;0;0
2024-06-20 07:16:18.726976;234;64;0;0;0;0
2024-06-20 07:16:19.740803;192;52;0;0;0;0
2024-06-20 07:16:20.249034;192;52;0;0;0;0
2024-06-20 07:16:20.757313;192;52;0;0;0;0
2024-06-20 07:16:21.764965;153;42;0;0;0;0
2024-06-20 07:16:22.268737;153;42;0;0;0;0
2024-06-20 07:16:22.776975;144;39;0;0;0;0
2024-06-20 07:16:23.284671;144;39;0;0;0;0
2024-06-20 07:16:23.797691;144;39;0;0;0;0
2024-06-20 07:16:24.306492;144;39;0;0;0;0
2024-06-20 07:16:24.813851;135;34;0;0;0;0
2024-06-20 07:16:25.321982;135;34;0;0;0;0
2024-06-20 07:16:25.830419;135;34;0;0;0;0
2024-06-20 07:16:26.838982;135;39;2;0;0;0
2024-06-20 07:16:27.346694;135;39;2;0;0;0
2024-06-20 07:16:27.853958;135;39;2;0;0;0
2024-06-20 07:16:28.863274;126;36;2;0;0;0
2024-06-20 07:16:29.370058;126;36;2;0;0;0
2024-06-20 07:16:29.872421;141;41;2;0;0;0
2024-06-20 07:16:30.380156;141;41;2;0;0;0
2024-06-20 07:16:30.888419;141;41;2;0;0;0
2024-06-20 07:16:31.396506;141;43;2;0;0;0
2024-06-20 07:16:31.904348;141;43;2;0;0;0
2024-06-20 07:16:32.416085;141;43;2;0;0;0
2024-06-20 07:16:32.920348;135;41;2;0;0;0
2024-06-20 07:16:33.428185;135;41;2;0;0;0
2024-06-20 07:16:33.935731;135;41;2;0;0;0
2024-06-20 07:16:34.443963;129;41;2;0;0;0
2024-06-20 07:16:35.463269;129;41;2;0;0;0
2024-06-20 07:16:35.976125;129;41;2;0;0;0
2024-06-20 07:16:36.485170;135;43;2;0;0;0
2024-06-20 07:16:36.992153;135;43;2;0;0;0
2024-06-20 07:16:37.995316;135;43;2;0;0;0
2024-06-20 07:16:38.503217;150;46;2;0;0;0
2024-06-20 07:16:39.011374;150;46;2;0;0;0
2024-06-20 07:16:39.522457;150;46;2;0;0;0
2024-06-20 07:16:40.029934;195;59;2;0;0;0
2024-06-20 07:16:40.537266;195;59;2;0;0;0
2024-06-20 07:16:41.044537;195;59;2;0;0;0
2024-06-20 07:16:41.547505;204;64;2;0;0;0
2024-06-20 07:16:42.555985;204;64;2;0;0;0
2024-06-20 07:16:43.063636;204;61;0;0;0;0
2024-06-20 07:16:43.575753;204;61;0;0;0;0
2024-06-20 07:16:44.083377;204;61;0;0;0;0
2024-06-20 07:16:44.591784;258;79;0;0;0;0
2024-06-20 07:16:45.098922;258;79;0;0;0;0
2024-06-20 07:16:45.607491;258;79;0;0;0;0
2024-06-20 07:16:46.114905;258;79;0;0;0;0
2024-06-20 07:16:46.630483;237;72;0;0;0;0
2024-06-20 07:16:47.636923;237;72;0;0;0;0
2024-06-20 07:16:48.145138;210;63;0;0;0;0
2024-06-20 07:16:48.653198;210;63;0;0;0;0
2024-06-20 07:16:49.667817;210;63;0;0;0;0
2024-06-20 07:16:50.176045;240;73;0;0;0;0
2024-06-20 07:16:50.684785;240;73;0;0;0;0
2024-06-20 07:16:51.193088;240;73;0;0;0;0
2024-06-20 07:16:51.699760;270;78;2;0;0;0
2024-06-20 07:16:52.207412;270;78;2;0;0;0
2024-06-20 07:16:52.715430;270;78;2;0;0;0
2024-06-20 07:16:53.224344;306;85;2;0;0;0
2024-06-20 07:16:53.726726;306;85;2;0;0;0
2024-06-20 07:16:54.735595;306;85;2;0;0;0
2024-06-20 07:16:55.244036;315;90;2;0;0;0
2024-06-20 07:16:55.757000;315;90;2;0;0;0
2024-06-20 07:16:56.764917;258;73;2;0;0;0
2024-06-20 07:16:57.272850;258;73;2;0;0;0
2024-06-20 07:16:57.780037;258;73;2;0;0;0
2024-06-20 07:16:58.287712;258;73;2;0;0;0
2024-06-20 07:16:58.795542;258;73;2;0;0;0
2024-06-20 07:16:59.304328;258;73;2;0;0;0
2024-06-20 07:16:59.806826;258;73;2;0;0;0
2024-06-20 07:17:00.314960;243;69;2;0;0;0
2024-06-20 07:17:00.822695;243;69;2;0;0;0
2024-06-20 07:17:01.836958;219;61;4;0;0;0
2024-06-20 07:17:02.344067;219;61;4;0;0;0
2024-06-20 07:17:02.852873;219;61;4;0;0;0
2024-06-20 07:17:03.855970;240;65;4;0;0;0
2024-06-20 07:17:04.363994;240;65;4;0;0;0
2024-06-20 07:17:04.872101;240;65;4;0;0;0
2024-06-20 07:17:05.380413;246;65;4;0;0;0
2024-06-20 07:17:05.892790;246;65;4;0;0;0
2024-06-20 07:17:06.401842;246;65;4;0;0;0
2024-06-20 07:17:06.909328;231;55;4;0;0;0
2024-06-20 07:17:07.418293;231;55;4;0;0;0
2024-06-20 07:17:07.920755;231;55;4;0;0;0
2024-06-20 07:17:08.429255;216;55;2;0;0;0
2024-06-20 07:17:08.936667;216;55;2;0;0;0
2024-06-20 07:17:09.448776;216;55;2;0;0;0
2024-06-20 07:17:10.470282;186;50;2;0;0;0
2024-06-20 07:17:10.979052;186;50;2;0;0;0
2024-06-20 07:17:11.487647;186;50;2;0;0;0
2024-06-20 07:17:11.990623;177;42;2;0;0;0
2024-06-20 07:17:12.998932;177;42;2;0;0;0
2024-06-20 07:17:13.512276;177;42;2;0;0;0
2024-06-20 07:17:14.019348;198;49;2;0;0;0
2024-06-20 07:17:14.528290;198;49;2;0;0;0
2024-06-20 07:17:15.037097;198;49;2;0;0;0
2024-06-20 07:17:15.539490;204;51;4;0;0;0
2024-06-20 07:17:16.047583;204;51;4;0;0;0
2024-06-20 07:17:16.555391;204;51;4;0;0;0
2024-06-20 07:17:17.063543;219;58;4;0;0;0
2024-06-20 07:17:17.577499;219;58;4;0;0;0
2024-06-20 07:17:18.585999;198;51;2;0;0;0
2024-06-20 07:17:19.093426;198;51;2;0;0;0
2024-06-20 07:17:19.595751;198;51;2;0;0;0
2024-06-20 07:17:20.604059;189;51;2;0;0;0
2024-06-20 07:17:21.111834;189;51;2;0;0;0
2024-06-20 07:17:21.620477;189;51;2;0;0;0
2024-06-20 07:17:22.629112;204;55;2;0;0;0
2024-06-20 07:17:23.137500;204;55;2;0;0;0
2024-06-20 07:17:23.650351;210;60;2;0;0;0
2024-06-20 07:17:24.156028;210;60;2;0;0;0
2024-06-20 07:17:24.664807;210;60;2;0;0;0
2024-06-20 07:17:25.171219;201;57;2;0;0;0
2024-06-20 07:17:25.674033;201;57;2;0;0;0
2024-06-20 07:17:26.183013;201;57;2;0;0;0
2024-06-20 07:17:26.689032;201;57;2;0;0;0
2024-06-20 07:17:27.194441;231;67;2;0;0;0
2024-06-20 07:17:27.707474;231;67;2;0;0;0
2024-06-20 07:17:28.715149;231;72;2;0;0;0
2024-06-20 07:17:29.224070;231;72;2;0;0;0
2024-06-20 07:17:29.726750;231;72;2;0;0;0
2024-06-20 07:17:30.734947;231;72;4;2;2;2
