zeitstempel;Particles > 0.3um / 0.1L air;Particles > 0.5um / 0.1L air;Particles > 1.0um / 0.1L air;Particles > 2.5um / 0.1L air;Particles > 5.0um / 0.1L air;Particles > 10.0um / 0.1L air
2024-06-20 07:15:02.197269;294;76;0;0;0;0
2024-06-20 07:15:02.700638;294;76;0;0;0;0
2024-06-20 07:15:03.205401;294;76;0;0;0;0
2024-06-20 07:15:03.713428;273;69;0;0;0;0
2024-06-20 07:15:04.220301;273;69;0;0;0;0
2024-06-20 07:15:04.729228;273;69;0;0;0;0
2024-06-20 07:15:05.232857;219;53;0;0;0;0
2024-06-20 07:15:05.735831;219;53;0;0;0;0
2024-06-20 07:15:06.240213;219;53;0;0;0;0
2024-06-20 07:15:06.747419;204;53;0;0;0;0
2024-06-20 07:15:07.254757;204;53;0;0;0;0
2024-06-20 07:15:07.762559;204;53;0;0;0;0
2024-06-20 07:15:08.270015;204;53;0;0;0;0
2024-06-20 07:15:08.778286;177;45;0;0;0;0
2024-06-20 07:15:09.283203;177;45;0;0;0;0
2024-06-20 07:15:09.790334;177;45;0;0;0;0
2024-06-20 07:15:10.297883;195;53;0;0;0;0
2024-06-20 07:15:10.805810;195;53;0;0;0;0
2024-06-20 07:15:11.815475;195;53;0;0;0;0
2024-06-20 07:15:12.323773;195;53;0;0;0;0
2024-06-20 07:15:12.836730;195;53;0;0;0;0
2024-06-20 07:15:13.840167;201;53;0;0;0;0
2024-06-20 07:15:14.348414;201;53;0;0;0;0
2024-06-20 07:15:14.856306;201;53;0;0;0;0
2024-06-20 07:15:15.864703;219;62;4;0;0;0
2024-06-20 07:15:16.372718;219;62;4;0;0;0
2024-06-20 07:15:16.880294;219;62;4;0;0;0
2024-06-20 07:15:17.387896;231;66;4;0;0;0
2024-06-20 07:15:17.895884;231;66;4;0;0;0
2024-06-20 07:15:18.410155;231;66;4;0;0;0
2024-06-20 07:15:18.917856;258;75;6;0;0;0
2024-06-20 07:15:19.419570;258;75;6;0;0;0
2024-06-20 07:15:19.926788;258;75;6;0;0;0
2024-06-20 07:15:20.435242;258;78;8;0;0;0
2024-06-20 07:15:20.943225;258;78;8;0;0;0
2024-06-20 07:15:21.472246;258;78;8;0;0;0
2024-06-20 07:15:22.475392;264;80;10;0;0;0
2024-06-20 07:15:22.982487;264;80;10;0;0;0
2024-06-20 07:15:23.490386;273;80;10;0;0;0
2024-06-20 07:15:23.998228;273;80;10;0;0;0
2024-06-20 07:15:25.006299;273;80;10;0;0;0
2024-06-20 07:15:25.514192;279;84;10;0;0;0
2024-06-20 07:15:26.021924;279;84;10;0;0;0
2024-06-20 07:15:26.530168;279;84;10;0;0;0
2024-06-20 07:15:27.042630;279;84;10;0;0;0
2024-06-20 07:15:27.546158;273;82;10;0;0;0
2024-06-20 07:15:28.055351;273;82;10;0;0;0
2024-06-20 07:15:28.561408;267;80;10;0;0;0
2024-06-20 07:15:29.069766;267;80;10;0;0;0
2024-06-20 07:15:29.577744;267;80;10;0;0;0
2024-06-20 07:15:30.586446;273;82;10;0;0;0
2024-06-20 07:15:31.094860;273;82;10;0;0;0
2024-06-20 07:15:31.602642;273;82;10;0;0;0
2024-06-20 07:15:32.609920;255;78;6;0;0;0
2024-06-20 07:15:33.117074;255;78;6;0;0;0
2024-06-20 07:15:33.625196;282;85;6;0;0;0
2024-06-20 07:15:34.633482;282;85;6;0;0;0
2024-06-20 07:15:35.139969;282;85;6;0;0;0
2024-06-20 07:15:35.645735;255;73;4;0;0;0
2024-06-20 07:15:36.153084;255;73;4;0;0;0
2024-06-20 07:15:36.660715;255;73;4;0;0;0
2024-06-20 07:15:37.170205;234;66;2;0;0;0
