zeitstempel;Particles > 0.3um / 0.1L air;Particles > 0.5um / 0.1L air;Particles > 1.0um / 0.1L air;Particles > 2.5um / 0.1L air;Particles > 5.0um / 0.1L air;Particles > 10.0um / 0.1L air
2024-06-20 07:15:02.193298;345;108;2;0;0;0
2024-06-20 07:15:02.700638;345;108;2;0;0;0
2024-06-20 07:15:03.205401;345;108;2;0;0;0
2024-06-20 07:15:03.713428;351;110;4;0;0;0
2024-06-20 07:15:04.220301;351;110;4;0;0;0
2024-06-20 07:15:04.727228;351;110;4;0;0;0
2024-06-20 07:15:05.232857;303;94;4;0;0;0
2024-06-20 07:15:05.735831;303;94;4;0;0;0
2024-06-20 07:15:06.240213;303;94;4;0;0;0
2024-06-20 07:15:06.747419;303;97;2;0;0;0
2024-06-20 07:15:07.254757;303;97;2;0;0;0
2024-06-20 07:15:07.762559;303;97;2;0;0;0
2024-06-20 07:15:08.270015;303;97;2;0;0;0
2024-06-20 07:15:08.778286;324;97;2;0;0;0
2024-06-20 07:15:09.283203;324;97;2;0;0;0
2024-06-20 07:15:09.790334;324;97;2;0;0;0
2024-06-20 07:15:10.297883;315;94;2;0;0;0
2024-06-20 07:15:10.805810;315;94;2;0;0;0
2024-06-20 07:15:11.815475;315;94;2;0;0;0
2024-06-20 07:15:12.323773;315;94;2;0;0;0
2024-06-20 07:15:12.836730;315;94;2;0;0;0
2024-06-20 07:15:13.840167;309;92;2;0;0;0
2024-06-20 07:15:14.348414;309;92;2;0;0;0
2024-06-20 07:15:14.856306;309;92;2;0;0;0
2024-06-20 07:15:15.864703;309;92;4;2;0;0
2024-06-20 07:15:16.372718;309;92;4;2;0;0
2024-06-20 07:15:16.880294;318;92;4;2;0;0
2024-06-20 07:15:17.387896;318;92;4;2;0;0
2024-06-20 07:15:17.895884;318;92;4;2;0;0
2024-06-20 07:15:18.403650;318;92;4;2;0;0
2024-06-20 07:15:18.911843;285;81;4;2;0;0
2024-06-20 07:15:19.419570;285;81;4;2;0;0
2024-06-20 07:15:19.926788;285;81;4;2;0;0
2024-06-20 07:15:20.435242;258;72;2;2;0;0
2024-06-20 07:15:20.943225;258;72;2;2;0;0
2024-06-20 07:15:21.465997;258;72;2;2;0;0
2024-06-20 07:15:22.475392;291;81;2;2;0;0
2024-06-20 07:15:22.982487;291;81;2;2;0;0
2024-06-20 07:15:23.490386;318;90;2;2;0;0
2024-06-20 07:15:23.998228;318;90;2;2;0;0
2024-06-20 07:15:25.006299;318;90;2;2;0;0
2024-06-20 07:15:25.514192;306;90;4;2;0;0
2024-06-20 07:15:26.021924;306;90;4;2;0;0
2024-06-20 07:15:26.530168;306;90;4;2;0;0
2024-06-20 07:15:27.042630;300;83;6;2;0;0
2024-06-20 07:15:27.546158;300;83;6;2;0;0
2024-06-20 07:15:28.055351;300;83;6;2;0;0
2024-06-20 07:15:28.561408;294;81;6;2;0;0
2024-06-20 07:15:29.069766;294;81;6;2;0;0
2024-06-20 07:15:29.577744;294;81;6;2;0;0
2024-06-20 07:15:30.586446;267;74;6;2;0;0
2024-06-20 07:15:31.094860;267;74;6;2;0;0
2024-06-20 07:15:31.602642;267;74;6;2;0;0
2024-06-20 07:15:32.609920;282;79;4;0;0;0
2024-06-20 07:15:33.117074;282;79;4;0;0;0
2024-06-20 07:15:33.625196;294;84;4;0;0;0
2024-06-20 07:15:34.633482;294;84;4;0;0;0
2024-06-20 07:15:35.139969;294;84;4;0;0;0
2024-06-20 07:15:35.645735;279;79;4;0;0;0
2024-06-20 07:15:36.153084;279;79;4;0;0;0
2024-06-20 07:15:36.660715;279;79;4;0;0;0
2024-06-20 07:15:37.170205;327;93;4;0;0;0
2024-06-20 07:15:37.679801;327;93;4;0;0;0
2024-06-20 07:15:38.183703;327;93;4;0;0;0
2024-06-20 07:15:38.689776;315;91;4;0;0;0
2024-06-20 07:15:39.702511;315;91;4;0;0;0
2024-06-20 07:15:40.206109;315;91;4;0;0;0
2024-06-20 07:15:40.713828;303;86;4;0;0;0
2024-06-20 07:15:41.722265;303;86;4;0;0;0
2024-06-20 07:15:42.230156;273;77;2;0;0;0
2024-06-20 07:15:42.738124;273;77;2;0;0;0
2024-06-20 07:15:43.245775;273;77;2;0;0;0
2024-06-20 07:15:43.753886;288;87;0;0;0;0
2024-06-20 07:15:44.261632;288;87;0;0;0;0
2024-06-20 07:15:44.770137;288;87;0;0;0;0
2024-06-20 07:15:45.277523;288;87;0;0;0;0
2024-06-20 07:15:45.785768;288;87;0;0;0;0
2024-06-20 07:15:46.293162;288;87;0;0;0;0
2024-06-20 07:15:46.801080;288;87;0;0;0;0
2024-06-20 07:15:47.809207;309;94;0;0;0;0
2024-06-20 07:15:48.317225;309;94;0;0;0;0
2024-06-20 07:15:48.825057;309;94;0;0;0;0
2024-06-20 07:15:49.829841;288;87;0;0;0;0
2024-06-20 07:15:50.335428;288;87;0;0;0;0
2024-06-20 07:15:50.842183;255;78;0;0;0;0
2024-06-20 07:15:51.848620;255;78;0;0;0;0
2024-06-20 07:15:52.356568;276;85;0;0;0;0
2024-06-20 07:15:52.863877;276;85;0;0;0;0
2024-06-20 07:15:53.872558;276;85;0;0;0;0
2024-06-20 07:15:54.380744;234;71;2;0;0;0
2024-06-20 07:15:54.889260;234;71;2;0;0;0
2024-06-20 07:15:55.397702;234;71;2;0;0;0
2024-06-20 07:15:55.901949;225;66;2;0;0;0
2024-06-20 07:15:56.410124;225;66;2;0;0;0
2024-06-20 07:15:56.917180;225;66;2;0;0;0
2024-06-20 07:15:57.424806;210;64;4;0;0;0
2024-06-20 07:15:57.937241;210;64;4;0;0;0
2024-06-20 07:15:58.445695;210;64;4;0;0;0
2024-06-20 07:15:58.952803;198;62;4;0;0;0
2024-06-20 07:15:59.460347;198;62;4;0;0;0
2024-06-20 07:16:00.469084;168;52;4;0;0;0
2024-06-20 07:16:00.976501;168;52;4;0;0;0
2024-06-20 07:16:01.485428;168;52;4;0;0;0
2024-06-20 07:16:01.989053;168;52;4;0;0;0
2024-06-20 07:16:02.997757;159;49;4;0;0;0
2024-06-20 07:16:03.510014;159;49;4;0;0;0
2024-06-20 07:16:04.018013;159;49;4;0;0;0
2024-06-20 07:16:04.526081;165;51;4;0;0;0
2024-06-20 07:16:05.032924;165;51;4;0;0;0
2024-06-20 07:16:05.540960;156;46;4;0;0;0
2024-06-20 07:16:06.048805;156;46;4;0;0;0
2024-06-20 07:16:06.556597;156;46;4;0;0;0
